time,AL013
2021-01-01,1.76
2021-01-02,1.36
2021-01-03,0.65
2021-01-04,0.83
2021-01-05,1.0699999
2021-01-06,1.25
2021-01-07,1.09
2021-01-08,0.44
2021-01-09,-0.32
2021-01-10,-1.86
2021-01-11,-1.6899999
2021-01-12,1.18
2021-01-13,1.23
2021-01-14,0.88
2021-01-15,-0.38
2021-01-16,-1.3399999
2021-01-17,-0.48
2021-01-18,2.26
2021-01-19,2.4299998
2021-01-20,5.81
2021-01-21,7.75
2021-01-22,5.33
2021-01-23,3.03
2021-01-24,0.94
2021-01-25,0.34
2021-01-26,0.90999997
2021-01-27,0.78999996
2021-01-28,6.96
2021-01-29,8.429999
2021-01-30,4.5099998
2021-01-31,0.59999996
2021-02-01,4.15
2021-02-02,7.5099998
2021-02-03,9.61
2021-02-04,6.8399997
2021-02-05,6.3799996
2021-02-06,5.6299996
2021-02-07,3.8999999
2021-02-08,-2.9099998
2021-02-09,-6.8199997
2021-02-10,-8.5
2021-02-11,-6.43
2021-02-12,-6.6099997
2021-02-13,-6.04
2021-02-14,-3.81
2021-02-15,-0.5
2021-02-16,5.7599998
2021-02-17,7.62
2021-02-18,6.12
2021-02-19,7.23
2021-02-20,9.05
2021-02-21,10.469999
2021-02-22,8.309999
2021-02-23,12.36
2021-02-24,12.349999
2021-02-25,11.95
2021-02-26,6.64
2021-02-27,4.5099998
2021-02-28,4.15
2021-03-01,5.89
2021-03-02,7.31
2021-03-03,8.61
2021-03-04,8.75
2021-03-05,3.04
2021-03-06,1.54
2021-03-07,2.01
2021-03-08,2.32
2021-03-09,3.36
2021-03-10,6.1299996
2021-03-11,8.54
2021-03-12,6.39
2021-03-13,5.7799997
2021-03-14,3.6299999
2021-03-15,4.8599997
2021-03-16,4.58
2021-03-17,3.4399998
2021-03-18,2.6599998
2021-03-19,1.91
2021-03-20,1.55
2021-03-21,4.49
2021-03-22,4.5699997
2021-03-23,5.2999997
2021-03-24,7.14
2021-03-25,9.5199995
2021-03-26,10.29
2021-03-27,7.41
2021-03-28,9.889999
2021-03-29,13.41
2021-03-30,14.96
2021-03-31,16.869999
2021-04-01,16.83
2021-04-02,8.03
2021-04-03,7.0099998
2021-04-04,7.12
2021-04-05,3.84
2021-04-06,1.1899999
2021-04-07,1.56
2021-04-08,4.23
2021-04-09,9.389999
2021-04-10,10.929999
2021-04-11,8.95
2021-04-12,4.2599998
2021-04-13,3.6499999
2021-04-14,3.8
2021-04-15,4.29
2021-04-16,4.24
2021-04-17,6.8599997
2021-04-18,7.6299996
2021-04-19,7.98
2021-04-20,10.0199995
2021-04-21,12.2699995
2021-04-22,9.45
2021-04-23,9.73
2021-04-24,11.16
2021-04-25,9.4
2021-04-26,9.38
2021-04-27,10.25
2021-04-28,12.11
2021-04-29,11.01
2021-04-30,6.15
2021-05-01,8.63
2021-05-02,9.32
2021-05-03,9.059999
2021-05-04,9.639999
2021-05-05,7.56
2021-05-06,6.67
2021-05-07,8.22
2021-05-08,10.95
2021-05-09,19.84
2021-05-10,15.679999
2021-05-11,12.4
2021-05-12,12.059999
2021-05-13,11.469999
2021-05-14,11.429999
2021-05-15,10.55
2021-05-16,12.0
2021-05-17,10.99
2021-05-18,10.65
2021-05-19,10.49
2021-05-20,12.09
2021-05-21,13.139999
2021-05-22,11.67
2021-05-23,11.45
2021-05-24,12.009999
2021-05-25,10.25
2021-05-26,10.2
2021-05-27,11.07
2021-05-28,12.79
2021-05-29,15.009999
2021-05-30,15.309999
2021-05-31,15.87
2021-06-01,17.77
2021-06-02,20.189999
2021-06-03,19.82
2021-06-04,20.32
2021-06-05,17.83
2021-06-06,16.52
2021-06-07,16.15
2021-06-08,18.82
2021-06-09,20.52
2021-06-10,21.49
2021-06-11,21.82
2021-06-12,21.26
2021-06-13,18.1
2021-06-14,20.439999
2021-06-15,23.25
2021-06-16,24.98
2021-06-17,26.949999
2021-06-18,26.529999
2021-06-19,26.01
2021-06-20,22.789999
2021-06-21,20.52
2021-06-22,15.91
2021-06-23,18.66
2021-06-24,16.73
