time,AT124
2021-01-01,2.4850001
2021-01-02,3.21
2021-01-03,3.3049998
2021-01-04,2.8999999
2021-01-05,2.97
2021-01-06,2.165
2021-01-07,2.86
2021-01-08,1.4449999
2021-01-09,-0.35
2021-01-10,2.3
2021-01-11,5.12
2021-01-12,5.16
2021-01-13,3.83
2021-01-14,1.325
2021-01-15,1.005
2021-01-16,0.695
2021-01-17,4.035
2021-01-18,4.5550003
2021-01-19,7.4849997
2021-01-20,8.79
2021-01-21,6.825
2021-01-22,3.715
2021-01-23,3.1100001
2021-01-24,1.9699999
2021-01-25,2.5049999
2021-01-26,4.0299997
2021-01-27,4.58
2021-01-28,5.9849997
2021-01-29,8.21
2021-01-30,0.75
2021-01-31,-0.865
2021-02-01,1.7049999
2021-02-02,6.025
2021-02-03,8.395
2021-02-04,6.855
2021-02-05,7.21
2021-02-06,3.345
2021-02-07,-3.745
2021-02-08,-5.26
2021-02-09,-4.76
2021-02-10,-4.14
2021-02-11,-4.79
2021-02-12,-5.3599997
2021-02-13,-5.0
2021-02-14,-0.755
2021-02-15,3.27
2021-02-16,7.4399996
2021-02-17,9.3949995
2021-02-18,8.164999
2021-02-19,7.0
2021-02-20,12.349999
2021-02-21,11.445
2021-02-22,12.110001
2021-02-23,13.025
2021-02-24,13.25
2021-02-25,10.775
2021-02-26,5.9849997
2021-02-27,3.6549997
2021-02-28,4.41
2021-03-01,4.76
2021-03-02,6.4399996
2021-03-03,4.83
2021-03-04,4.055
2021-03-05,2.245
2021-03-06,1.15
2021-03-07,1.885
2021-03-08,4.6949997
2021-03-09,5.385
2021-03-10,6.2599998
2021-03-11,9.195
2021-03-12,6.77
2021-03-13,6.97
2021-03-14,6.535
2021-03-15,6.5
2021-03-16,5.365
2021-03-17,5.39
2021-03-18,4.545
2021-03-19,4.5
2021-03-20,4.25
2021-03-21,6.2
2021-03-22,5.535
2021-03-23,6.41
2021-03-24,7.45
2021-03-25,8.1
2021-03-26,9.37
2021-03-27,6.7649994
2021-03-28,9.5199995
2021-03-29,11.575
2021-03-30,12.725
2021-03-31,14.25
2021-04-01,9.505
2021-04-02,5.475
2021-04-03,7.0299997
2021-04-04,5.8199997
2021-04-05,3.8899999
2021-04-06,1.655
2021-04-07,3.205
2021-04-08,5.06
2021-04-09,7.79
2021-04-10,5.08
2021-04-11,4.1749997
2021-04-12,2.745
2021-04-13,4.075
2021-04-14,4.24
2021-04-15,4.575
2021-04-16,6.1049995
2021-04-17,6.6749997
2021-04-18,7.04
2021-04-19,8.6
2021-04-20,10.2
2021-04-21,7.8599997
2021-04-22,6.055
2021-04-23,7.255
2021-04-24,7.575
2021-04-25,6.7799997
2021-04-26,7.14
2021-04-27,8.799999
2021-04-28,10.275
2021-04-29,7.455
2021-04-30,7.3450003
2021-05-01,6.785
2021-05-02,6.255
2021-05-03,10.164999
2021-05-04,8.93
2021-05-05,6.7149997
2021-05-06,6.18
2021-05-07,6.495
2021-05-08,11.065001
2021-05-09,18.165
2021-05-10,15.584999
2021-05-11,13.094999
2021-05-12,11.539999
2021-05-13,12.049999
2021-05-14,11.385
2021-05-15,10.795
2021-05-16,11.68
2021-05-17,11.2699995
2021-05-18,11.844999
2021-05-19,10.754999
2021-05-20,12.18
2021-05-21,12.735
2021-05-22,10.355
2021-05-23,11.969999
2021-05-24,11.135
2021-05-25,10.115
2021-05-26,10.98
2021-05-27,10.32
2021-05-28,12.43
2021-05-29,13.205
2021-05-30,14.809999
2021-05-31,17.33
2021-06-01,19.22
2021-06-02,21.474998
2021-06-03,20.275
2021-06-04,19.865
2021-06-05,15.16
