time,BE32A
2021-01-01,2.4836364
2021-01-02,2.1190908
2021-01-03,3.0272727
2021-01-04,0.9890909
2021-01-05,2.6036363
2021-01-06,2.7581816
2021-01-07,2.160909
2021-01-08,-0.13272727
2021-01-09,1.3772727
2021-01-10,2.0990908
2021-01-11,1.7581818
2021-01-12,5.812727
2021-01-13,9.422727
2021-01-14,9.333636
2021-01-15,7.624545
2021-01-16,3.023636
2021-01-17,7.991818
2021-01-18,4.102727
2021-01-19,5.9836364
2021-01-20,9.075454
2021-01-21,10.872727
2021-01-22,9.254545
2021-01-23,7.4981813
2021-01-24,5.9481816
2021-01-25,6.105454
2021-01-26,2.3227272
2021-01-27,8.610909
2021-01-28,12.76
2021-01-29,12.187272
2021-01-30,11.784545
2021-01-31,11.03909
2021-02-01,11.658181
2021-02-02,12.493636
2021-02-03,11.760909
2021-02-04,10.749091
2021-02-05,9.826364
2021-02-06,9.660909
2021-02-07,6.76909
2021-02-08,6.033636
2021-02-09,5.9400005
2021-02-10,7.6463637
2021-02-11,3.7972724
2021-02-12,3.9809089
2021-02-13,2.0181818
2021-02-14,5.27
2021-02-15,10.257273
2021-02-16,11.075455
2021-02-17,11.623636
2021-02-18,11.3099985
2021-02-19,12.071817
2021-02-20,14.408181
2021-02-21,14.122727
2021-02-22,12.439091
2021-02-23,12.364547
2021-02-24,14.043636
2021-02-25,12.488181
2021-02-26,11.107273
2021-02-27,8.2472725
2021-02-28,8.624545
2021-03-01,11.397272
2021-03-02,12.006363
2021-03-03,12.5881815
2021-03-04,11.057272
2021-03-05,9.355454
2021-03-06,7.0327272
2021-03-07,7.573636
2021-03-08,8.26
2021-03-09,4.6627274
2021-03-10,5.360909
2021-03-11,11.471818
2021-03-12,9.695454
2021-03-13,10.386364
2021-03-14,8.872726
2021-03-15,9.735455
2021-03-16,10.377273
2021-03-17,11.008182
2021-03-18,7.318182
2021-03-19,8.494546
2021-03-20,6.5227275
2021-03-21,6.350909
2021-03-22,8.013636
2021-03-23,8.623636
2021-03-24,9.07
2021-03-25,11.713637
2021-03-26,10.967273
2021-03-27,9.364545
2021-03-28,10.78
2021-03-29,14.9
2021-03-30,16.72
2021-03-31,17.714546
2021-04-01,18.145454
2021-04-02,16.90727
2021-04-03,12.083634
2021-04-04,10.555454
2021-04-05,9.568182
2021-04-06,8.253635
2021-04-07,6.2509084
2021-04-08,9.086364
2021-04-09,12.754544
2021-04-10,13.785453
2021-04-11,11.535454
2021-04-12,7.640909
2021-04-13,8.182727
2021-04-14,8.785455
2021-04-15,8.288181
2021-04-16,8.105454
2021-04-17,9.363636
2021-04-18,10.099091
2021-04-19,9.554545
2021-04-20,14.003635
2021-04-21,14.067273
2021-04-22,15.262727
2021-04-23,17.145454
2021-04-24,18.114546
2021-04-25,17.516363
2021-04-26,16.155455
2021-04-27,15.676364
2021-04-28,14.651818
2021-04-29,11.487273
2021-04-30,12.644546
2021-05-01,11.319091
2021-05-02,10.043636
2021-05-03,10.400908
2021-05-04,11.495454
2021-05-05,12.445454
2021-05-06,13.023636
2021-05-07,13.357272
2021-05-08,18.78818
2021-05-09,19.224546
2021-05-10,15.146362
2021-05-11,13.711819
2021-05-12,13.610908
2021-05-13,12.836364
2021-05-14,12.791818
2021-05-15,13.0827265
2021-05-16,14.709091
2021-05-17,14.191817
2021-05-18,12.736364
2021-05-19,12.738181
2021-05-20,13.62091
2021-05-21,15.216363
2021-05-22,12.86818
2021-05-23,13.15
2021-05-24,13.66
2021-05-25,13.495456
2021-05-26,13.811817
2021-05-27,14.633636
2021-05-28,19.03818
2021-05-29,19.522728
2021-05-30,19.491817
2021-05-31,20.237272
2021-06-01,21.99182
2021-06-02,20.26
2021-06-03,19.785454
2021-06-04,17.902727
2021-06-05,16.597273
2021-06-06,17.653637
2021-06-07,19.318182
2021-06-08,20.22091
2021-06-09,20.859089
2021-06-10,20.736362
2021-06-11,22.652727
2021-06-12,24.255455
2021-06-13,24.745455
2021-06-14,24.651817
2021-06-15,24.460909
2021-06-16,25.69
2021-06-17,23.432726
2021-06-18,20.988182
2021-06-19,21.215454
2021-06-20,20.250908
2021-06-21,19.251818
2021-06-22,18.500908
2021-06-23,17.815454
2021-06-24,18.274544
2021-06-25,17.304546
2021-06-26,19.509998
2021-06-27,19.112726
2021-06-28,16.531818
2021-06-29,17.080908
2021-06-30,19.015455
2021-07-01,19.461819
2021-07-02,20.964544
2021-07-03,20.564545
2021-07-04,19.143635
2021-07-05,21.616364
2021-07-06,20.71
2021-07-07,18.344545
2021-07-08,17.710909
2021-07-09,17.57182
2021-07-10,17.818182
2021-07-11,20.343636
2021-07-12,20.099998
2021-07-13,17.344545
2021-07-14,18.793636
2021-07-15,19.802727
2021-07-16,19.99182
2021-07-17,20.744545
2021-07-18,23.119999
2021-07-19,24.472729
2021-07-20,25.859999
2021-07-21,25.410912
2021-07-22,25.680908
2021-07-23,24.971819
2021-07-24,20.803637
2021-07-25,20.627272
2021-07-26,20.314545
2021-07-27,19.645454
2021-07-28,20.026363
2021-07-29,19.38
2021-07-30,19.827272
2021-07-31,17.312727
2021-08-01,18.252728
2021-08-02,17.69
2021-08-03,18.10909
2021-08-04,19.211817
2021-08-05,19.391817
2021-08-06,19.532726
2021-08-07,18.860909
2021-08-08,18.135454
2021-08-09,19.557274
2021-08-10,20.533636
2021-08-11,21.776363
2021-08-12,23.880909
2021-08-13,23.099998
2021-08-14,24.922728
2021-08-15,23.235455
2021-08-16,20.022726
2021-08-17,18.385454
2021-08-18,17.994545
2021-08-19,18.676363
2021-08-20,19.604546
2021-08-21,20.789091
2021-08-22,20.711819
2021-08-23,19.200909
2021-08-24,20.754545
2021-08-25,20.503635
2021-08-26,21.133636
2021-08-27,19.67818
2021-08-28,18.57182
2021-08-29,18.57182
2021-08-30,18.699999
2021-08-31,19.728182
2021-09-01,20.59182
2021-09-02,21.67818
2021-09-03,21.149092
2021-09-04,21.351818
2021-09-05,22.210907
2021-09-06,24.769997
2021-09-07,26.260908
2021-09-08,25.231817
2021-09-09,21.55
2021-09-10,20.957273
2021-09-11,19.382727
2021-09-12,20.41
2021-09-13,22.805452
2021-09-14,23.187273
2021-09-15,21.48
2021-09-16,20.343636
2021-09-17,19.423635
2021-09-18,18.457273
2021-09-19,17.717272
2021-09-20,17.630909
2021-09-21,18.06
2021-09-22,17.587273
2021-09-23,17.6
2021-09-24,18.1
2021-09-25,19.892727
2021-09-26,19.276363
2021-09-27,18.93
2021-09-28,15.07818
2021-09-29,17.272728
2021-09-30,13.550909
2021-10-01,13.64909
2021-10-02,17.155455
2021-10-03,17.16909
2021-10-04,15.231817
2021-10-05,15.833634
2021-10-06,14.306363
2021-10-07,13.839999
2021-10-08,14.243636
2021-10-09,14.7645445
2021-10-10,13.727273
2021-10-11,13.202727
2021-10-12,12.668182
2021-10-13,11.830909
2021-10-14,11.616363
2021-10-15,12.640909
2021-10-16,12.792727
2021-10-17,14.056363
2021-10-18,15.985455
2021-10-19,18.881819
2021-10-20,18.792727
2021-10-21,15.76
2021-10-22,12.18909
2021-10-23,10.130909
2021-10-24,10.873636
2021-10-25,13.257272
2021-10-26,13.912726
2021-10-27,12.726363
2021-10-28,13.598182
2021-10-29,15.059091
2021-10-30,16.113636
2021-10-31,15.860909
2021-11-01,13.048182
2021-11-02,11.2245455
2021-11-03,9.744546
2021-11-04,8.053636
2021-11-05,8.542727
2021-11-06,6.926363
2021-11-07,8.883636
2021-11-08,9.965454
2021-11-09,8.145454
2021-11-10,7.0400004
2021-11-11,11.089999
2021-11-12,10.280909
2021-11-13,12.74
2021-11-14,11.754544
2021-11-15,9.814546
2021-11-16,8.627273
2021-11-17,9.84
2021-11-18,9.124545
2021-11-19,7.526364
2021-11-20,6.767273
2021-11-21,6.300909
2021-11-22,7.735454
2021-11-23,6.218181
