time,BE32B
2021-01-01,0.6418182
2021-01-02,0.7272727
2021-01-03,2.0381818
2021-01-04,0.051818177
2021-01-05,1.88
2021-01-06,1.8690909
2021-01-07,1.0836364
2021-01-08,-0.6654545
2021-01-09,0.5509091
2021-01-10,1.0372727
2021-01-11,0.04090908
2021-01-12,5.2554545
2021-01-13,9.24
2021-01-14,9.121818
2021-01-15,6.0
2021-01-16,2.1181817
2021-01-17,6.7545457
2021-01-18,3.8718178
2021-01-19,5.1309094
2021-01-20,8.309091
2021-01-21,9.739091
2021-01-22,7.7363634
2021-01-23,5.6745453
2021-01-24,3.6290908
2021-01-25,3.328182
2021-01-26,0.76909083
2021-01-27,7.147272
2021-01-28,11.900909
2021-01-29,11.185454
2021-01-30,10.914545
2021-01-31,10.281817
2021-02-01,11.1845455
2021-02-02,11.319091
2021-02-03,11.116364
2021-02-04,9.978181
2021-02-05,9.2190895
2021-02-06,8.478181
2021-02-07,4.962727
2021-02-08,3.4227273
2021-02-09,1.9436361
2021-02-10,3.19
2021-02-11,-0.47363636
2021-02-12,0.5527273
2021-02-13,-0.8418181
2021-02-14,2.83
2021-02-15,9.037272
2021-02-16,9.833636
2021-02-17,11.170909
2021-02-18,10.055454
2021-02-19,10.875455
2021-02-20,13.517273
2021-02-21,13.650909
2021-02-22,11.858182
2021-02-23,12.333636
2021-02-24,13.575454
2021-02-25,11.651818
2021-02-26,10.374545
2021-02-27,6.9818177
2021-02-28,6.6499996
2021-03-01,9.403637
2021-03-02,10.653637
2021-03-03,11.6618185
2021-03-04,10.359091
2021-03-05,7.5463634
2021-03-06,5.031818
2021-03-07,6.2609086
2021-03-08,5.5536366
2021-03-09,3.2918181
2021-03-10,3.9836364
2021-03-11,10.56
2021-03-12,7.926363
2021-03-13,9.452727
2021-03-14,7.0654545
2021-03-15,8.791818
2021-03-16,8.813636
2021-03-17,9.327272
2021-03-18,5.7999997
2021-03-19,7.0927277
2021-03-20,5.0572724
2021-03-21,4.6763635
2021-03-22,6.2281814
2021-03-23,7.2372727
2021-03-24,7.9818187
2021-03-25,10.096363
2021-03-26,10.336364
2021-03-27,7.4781814
2021-03-28,9.333636
2021-03-29,13.221818
2021-03-30,15.405454
2021-03-31,16.798182
2021-04-01,17.522728
2021-04-02,15.784546
2021-04-03,9.436364
2021-04-04,9.040909
2021-04-05,7.246364
2021-04-06,5.5518184
2021-04-07,4.7372727
2021-04-08,7.1136365
2021-04-09,10.914545
2021-04-10,12.520908
2021-04-11,9.791819
2021-04-12,5.835455
2021-04-13,6.0809093
2021-04-14,7.0754547
2021-04-15,6.259091
2021-04-16,6.320909
2021-04-17,8.637272
2021-04-18,8.561818
2021-04-19,8.538181
2021-04-20,12.9345455
2021-04-21,12.20909
2021-04-22,13.779092
2021-04-23,15.546363
2021-04-24,16.595453
2021-04-25,16.002728
2021-04-26,15.112726
2021-04-27,14.129999
2021-04-28,13.429091
2021-04-29,9.786364
2021-04-30,11.599999
2021-05-01,9.629999
2021-05-02,8.221818
2021-05-03,8.93909
2021-05-04,9.848182
2021-05-05,10.060909
2021-05-06,12.243636
2021-05-07,11.61
2021-05-08,17.916363
2021-05-09,19.01
2021-05-10,14.723636
2021-05-11,12.111819
2021-05-12,11.832727
2021-05-13,12.531818
2021-05-14,11.20091
2021-05-15,12.876362
2021-05-16,13.596363
2021-05-17,13.312726
2021-05-18,11.494545
2021-05-19,12.018182
2021-05-20,12.186362
2021-05-21,14.186364
2021-05-22,11.683636
2021-05-23,11.819999
2021-05-24,12.274545
2021-05-25,12.286363
2021-05-26,12.9063635
2021-05-27,13.665455
2021-05-28,17.223635
2021-05-29,18.614546
2021-05-30,18.082727
2021-05-31,18.567272
2021-06-01,21.23182
2021-06-02,20.339088
2021-06-03,19.171816
2021-06-04,17.689089
2021-06-05,15.839999
2021-06-06,16.492727
2021-06-07,18.448181
2021-06-08,19.513636
2021-06-09,20.180908
2021-06-10,20.035454
2021-06-11,22.323637
2021-06-12,23.310907
2021-06-13,23.042727
2021-06-14,23.42909
2021-06-15,23.924543
2021-06-16,24.903637
2021-06-17,22.495455
2021-06-18,20.083635
2021-06-19,20.165455
2021-06-20,18.891817
2021-06-21,18.155455
2021-06-22,17.175453
2021-06-23,16.401817
2021-06-24,17.482727
2021-06-25,16.653637
2021-06-26,19.01909
2021-06-27,18.694546
2021-06-28,16.04
2021-06-29,16.317272
2021-06-30,18.081818
2021-07-01,18.9
2021-07-02,19.48182
2021-07-03,19.682726
2021-07-04,18.203636
2021-07-05,19.82909
2021-07-06,18.74909
2021-07-07,17.506363
2021-07-08,16.288183
2021-07-09,16.170908
2021-07-10,16.360909
2021-07-11,19.094545
2021-07-12,19.3
2021-07-13,16.511818
2021-07-14,18.426363
2021-07-15,19.052727
2021-07-16,18.981817
2021-07-17,18.874544
2021-07-18,22.31091
2021-07-19,24.22091
2021-07-20,24.574547
2021-07-21,23.844545
2021-07-22,23.972725
2021-07-23,24.163635
2021-07-24,20.06091
2021-07-25,20.14818
2021-07-26,19.721819
2021-07-27,18.931818
2021-07-28,18.83
2021-07-29,18.216362
2021-07-30,17.839092
2021-07-31,16.373634
2021-08-01,17.073637
2021-08-02,16.694546
2021-08-03,17.025454
2021-08-04,18.359999
2021-08-05,17.852726
2021-08-06,18.542727
2021-08-07,17.446363
2021-08-08,16.926363
2021-08-09,18.259092
2021-08-10,19.472729
2021-08-11,20.771818
2021-08-12,23.477272
2021-08-13,23.06
2021-08-14,24.376366
2021-08-15,23.315454
2021-08-16,19.58091
2021-08-17,17.357271
2021-08-18,17.384544
2021-08-19,17.94091
2021-08-20,18.673637
2021-08-21,19.674543
2021-08-22,19.473635
2021-08-23,18.181818
2021-08-24,20.193636
2021-08-25,19.44091
2021-08-26,19.22091
2021-08-27,17.846363
2021-08-28,17.139091
2021-08-29,17.403637
2021-08-30,17.615454
2021-08-31,18.609999
2021-09-01,19.637272
2021-09-02,21.144545
2021-09-03,21.147272
2021-09-04,20.82
2021-09-05,21.971819
2021-09-06,24.555452
2021-09-07,25.34091
2021-09-08,24.6
2021-09-09,20.76909
2021-09-10,20.856363
2021-09-11,18.698181
2021-09-12,18.823637
2021-09-13,21.42818
2021-09-14,22.639091
2021-09-15,20.605455
2021-09-16,19.915453
2021-09-17,19.030909
2021-09-18,17.047272
2021-09-19,16.699091
2021-09-20,16.72909
2021-09-21,16.90091
2021-09-22,16.488182
2021-09-23,16.502728
2021-09-24,17.504545
2021-09-25,17.254545
2021-09-26,18.546364
2021-09-27,18.390907
2021-09-28,14.341819
2021-09-29,16.168182
2021-09-30,12.363636
2021-10-01,12.637272
2021-10-02,14.844544
2021-10-03,15.501819
2021-10-04,13.805454
2021-10-05,14.743636
2021-10-06,12.495454
2021-10-07,12.475454
2021-10-08,13.605454
2021-10-09,13.879999
2021-10-10,12.615455
2021-10-11,11.903637
2021-10-12,11.349999
2021-10-13,11.054545
2021-10-14,10.242727
2021-10-15,11.146363
2021-10-16,12.105454
2021-10-17,12.619091
2021-10-18,14.532727
2021-10-19,18.43091
2021-10-20,17.573637
2021-10-21,14.276363
2021-10-22,10.580001
2021-10-23,9.027273
2021-10-24,9.62909
2021-10-25,11.943637
2021-10-26,13.024545
2021-10-27,12.186362
2021-10-28,12.528182
2021-10-29,13.710908
2021-10-30,14.824546
2021-10-31,14.26909
2021-11-01,11.336364
2021-11-02,9.392727
2021-11-03,8.703636
2021-11-04,6.3
2021-11-05,7.7390914
2021-11-06,6.121818
2021-11-07,8.179999
2021-11-08,8.4063635
2021-11-09,7.2163634
2021-11-10,5.615454
2021-11-11,8.992727
2021-11-12,8.677273
2021-11-13,11.896362
2021-11-14,10.8327265
2021-11-15,8.400909
2021-11-16,7.4245453
2021-11-17,8.958182
2021-11-18,8.128182
2021-11-19,7.570909
2021-11-20,5.7272725
2021-11-21,5.59
2021-11-22,6.645455
2021-11-23,4.6827273
2021-11-24,3.9163635
2021-11-25,3.3390908
2021-11-26,4.7145457
2021-11-27,4.872727
2021-11-28,3.7836363
2021-11-29,1.67
2021-11-30,2.7863634
2021-12-01,8.772727
2021-12-02,4.668182
2021-12-03,4.188182
2021-12-04,8.836364
2021-12-05,5.568182
2021-12-06,6.145454
2021-12-07,7.4809093
2021-12-08,6.558182
2021-12-09,2.7645454
2021-12-10,8.239091
2021-12-11,4.9863634
2021-12-12,8.893637
2021-12-13,7.7409086
2021-12-14,5.1781816
2021-12-15,4.4645457
2021-12-16,5.170909
2021-12-17,5.842727
2021-12-18,4.5899997
2021-12-19,2.8727274
2021-12-20,2.0754545
2021-12-21,0.8109091
2021-12-22,0.71636355
2021-12-23,6.7690907
2021-12-24,9.847272
2021-12-25,9.607273
2021-12-26,10.265454
2021-12-27,11.230909
2021-12-28,12.127273
2021-12-29,13.231817
2021-12-30,14.286363
2021-12-31,10.519091
