time,BE32C
2021-01-01,4.434
2021-01-02,2.2999997
2021-01-03,2.1699998
2021-01-04,1.5280001
2021-01-05,1.0049999
2021-01-06,0.36
2021-01-07,0.08599998
2021-01-08,1.8469999
2021-01-09,2.85
2021-01-10,1.362
2021-01-11,0.9509999
2021-01-12,2.335
2021-01-13,8.263
2021-01-14,7.924
2021-01-15,6.8879995
2021-01-16,3.0970001
2021-01-17,5.321
2021-01-18,5.131
2021-01-19,3.9459996
2021-01-20,6.939
2021-01-21,10.146
2021-01-22,8.771999
2021-01-23,5.1159997
2021-01-24,5.878
2021-01-25,5.5439997
2021-01-26,2.81
2021-01-27,6.305
2021-01-28,10.898
2021-01-29,11.943999
2021-01-30,9.034
2021-01-31,9.183001
2021-02-01,10.613999
2021-02-02,10.945999
2021-02-03,11.231
2021-02-04,9.163
2021-02-05,11.376
2021-02-06,11.157999
2021-02-07,9.207
2021-02-08,6.114
2021-02-09,7.5870004
2021-02-10,8.259
2021-02-11,6.3079996
2021-02-12,4.676
2021-02-13,4.0700006
2021-02-14,1.666
2021-02-15,3.9959998
2021-02-16,7.4109993
2021-02-17,10.554999
2021-02-18,8.110999
2021-02-19,10.421999
2021-02-20,10.921
2021-02-21,10.554999
2021-02-22,11.455999
2021-02-23,12.204999
2021-02-24,11.751
2021-02-25,9.958
2021-02-26,11.138
2021-02-27,10.121
2021-02-28,10.256
2021-03-01,8.861
2021-03-02,8.115
2021-03-03,8.71
2021-03-04,9.601
2021-03-05,10.747
2021-03-06,9.344999
2021-03-07,9.078001
2021-03-08,9.797999
2021-03-09,8.504
2021-03-10,8.47
2021-03-11,9.789
2021-03-12,11.077001
2021-03-13,8.375
2021-03-14,9.215
2021-03-15,8.582999
2021-03-16,9.089
2021-03-17,8.168
2021-03-18,6.2679996
2021-03-19,5.828
2021-03-20,5.6799994
2021-03-21,7.215
2021-03-22,9.085
2021-03-23,9.708
2021-03-24,10.579
2021-03-25,11.45
2021-03-26,10.806999
2021-03-27,11.594
2021-03-28,11.643999
2021-03-29,12.301
2021-03-30,13.631
2021-03-31,13.539999
2021-04-01,12.9800005
2021-04-02,14.7699995
2021-04-03,14.720001
2021-04-04,12.8289995
2021-04-05,12.214
2021-04-06,10.387
2021-04-07,5.504
2021-04-08,7.241
2021-04-09,9.3619995
2021-04-10,9.763
2021-04-11,10.028999
2021-04-12,7.543
2021-04-13,8.844999
2021-04-14,9.922999
2021-04-15,9.02
2021-04-16,8.191
2021-04-17,9.211
2021-04-18,10.550999
2021-04-19,10.528999
2021-04-20,11.301
2021-04-21,11.379999
2021-04-22,12.438999
2021-04-23,14.213
2021-04-24,14.228
2021-04-25,13.4
2021-04-26,15.0199995
2021-04-27,14.778999
2021-04-28,13.250999
2021-04-29,14.336
2021-04-30,14.305
2021-05-01,11.163
2021-05-02,10.95
2021-05-03,12.434
2021-05-04,12.675
2021-05-05,15.338
2021-05-06,12.837999
2021-05-07,16.696
2021-05-08,16.071999
2021-05-09,17.059
2021-05-10,16.461998
2021-05-11,13.964
2021-05-12,12.941
2021-05-13,13.897
2021-05-14,13.7699995
2021-05-15,13.174001
2021-05-16,15.157999
2021-05-17,14.126001
2021-05-18,13.437001
2021-05-19,13.544001
2021-05-20,14.988998
2021-05-21,14.865
2021-05-22,14.806
2021-05-23,15.317999
2021-05-24,15.085999
2021-05-25,13.942999
2021-05-26,15.42
2021-05-27,18.144001
2021-05-28,19.163
2021-05-29,20.360998
2021-05-30,20.509998
2021-05-31,18.695
2021-06-01,17.389997
2021-06-02,18.134998
2021-06-03,18.537998
2021-06-04,19.215998
2021-06-05,19.891998
2021-06-06,19.666998
2021-06-07,20.273998
2021-06-08,21.163998
2021-06-09,22.445
2021-06-10,23.694
2021-06-11,24.453999
2021-06-12,24.909
2021-06-13,26.463999
2021-06-14,26.123999
2021-06-15,26.336996
2021-06-16,24.814999
2021-06-17,24.184
2021-06-18,23.730999
2021-06-19,23.113
2021-06-20,22.432
2021-06-21,22.588001
2021-06-22,21.116
2021-06-23,20.932001
2021-06-24,19.961998
2021-06-25,20.296
2021-06-26,21.547
2021-06-27,22.111
2021-06-28,21.332998
2021-06-29,20.560001
2021-06-30,19.82
2021-07-01,22.043
2021-07-02,24.255
2021-07-03,23.882
2021-07-04,22.001999
