time,BE32D
2021-01-01,-6.632555
2021-01-02,-6.629197
2021-01-03,-12.3609495
2021-01-04,-13.978759
2021-01-05,-14.904452
2021-01-06,-17.043211
2021-01-07,-15.467956
2021-01-08,-15.695255
2021-01-09,-14.7699995
2021-01-10,-11.899781
2021-01-11,-12.904452
2021-01-12,-10.120365
2021-01-13,-10.390292
2021-01-14,-14.720365
2021-01-15,-16.311678
2021-01-16,-14.539342
2021-01-17,-13.132408
2021-01-18,-10.873066
2021-01-19,-7.7434316
2021-01-20,-4.9384665
2021-01-21,-2.661095
2021-01-22,-1.4332117
2021-01-23,-3.6540143
2021-01-24,-9.064088
2021-01-25,-14.683795
2021-01-26,-15.314161
2021-01-27,-15.228979
2021-01-28,-16.429487
2021-01-29,-17.477882
2021-01-30,-14.189416
2021-01-31,-14.686204
2021-02-01,-18.558907
2021-02-02,-18.508614
2021-02-03,-17.488905
2021-02-04,-19.876059
2021-02-05,-17.412556
2021-02-06,-16.611315
2021-02-07,-17.395329
2021-02-08,-13.461751
2021-02-09,-16.904087
2021-02-10,-14.991899
2021-02-11,-19.763212
2021-02-12,-17.970219
2021-02-13,-16.611315
2021-02-14,-16.351313
2021-02-15,-13.180073
2021-02-16,-8.118394
2021-02-17,-6.9576645
2021-02-18,-5.9945254
2021-02-19,-4.4517517
2021-02-20,-0.7451095
2021-02-21,1.7355474
2021-02-22,0.529781
2021-02-23,0.85627735
2021-02-24,2.3425548
2021-02-25,1.5547445
2021-02-26,0.49379557
2021-02-27,0.50613135
2021-02-28,1.351095
2021-03-01,0.579197
2021-03-02,0.90642333
2021-03-03,-1.4402189
2021-03-04,-5.49416
2021-03-05,-4.497591
2021-03-06,-1.8002919
2021-03-07,-5.9654016
2021-03-08,-7.195766
2021-03-09,-3.3977373
2021-03-10,-7.888467
2021-03-11,-4.954599
2021-03-12,-3.4040875
2021-03-13,-5.38927
2021-03-14,-6.430657
2021-03-15,-3.6597807
2021-03-16,-5.3778834
2021-03-17,-7.121752
2021-03-18,-2.3458395
2021-03-19,-2.430292
2021-03-20,0.074087605
2021-03-21,-2.6358392
2021-03-22,1.1342336
2021-03-23,2.6886132
2021-03-24,1.660438
2021-03-25,-0.4243066
2021-03-26,-0.4110219
2021-03-27,0.1827007
2021-03-28,-1.749489
2021-03-29,2.3951094
2021-03-30,3.5772994
2021-03-31,-0.053211685
2021-04-01,-1.4927007
2021-04-02,-1.2367153
2021-04-03,-0.27948904
2021-04-04,0.25423354
2021-04-05,-4.7113137
2021-04-06,-2.2038684
2021-04-07,-3.150584
2021-04-08,-5.2563505
2021-04-09,-2.8262043
2021-04-10,-3.090949
2021-04-11,-3.4936497
2021-04-12,-3.2927737
2021-04-13,-3.150949
2021-04-14,-2.3516788
2021-04-15,-1.6730657
2021-04-16,-0.28868616
2021-04-17,1.370438
2021-04-18,2.8734305
2021-04-19,3.719197
2021-04-20,4.3815327
2021-04-21,-0.10656939
2021-04-22,-1.4846715
2021-04-23,-2.3250368
2021-04-24,-2.7465694
2021-04-25,-2.5784671
2021-04-26,-1.9125549
2021-04-27,-2.1218247
2021-04-28,-2.1170073
2021-04-29,-1.8874452
2021-04-30,-1.820584
2021-05-01,-0.9840146
2021-05-02,0.43496358
2021-05-03,-0.31043795
2021-05-04,-0.42065692
2021-05-05,-0.970365
2021-05-06,-2.0575182
2021-05-07,-1.6051097
2021-05-08,-0.090948954
2021-05-09,-0.014890518
2021-05-10,4.2940145
2021-05-11,6.788248
2021-05-12,4.2122626
2021-05-13,7.2486863
2021-05-14,8.804964
2021-05-15,5.938978
2021-05-16,4.632482
2021-05-17,3.8672266
2021-05-18,5.3862042
2021-05-19,5.7778096
2021-05-20,4.5567884
2021-05-21,4.8909483
2021-05-22,5.8822627
2021-05-23,5.4200735
2021-05-24,5.595693
2021-05-25,6.025766
2021-05-26,7.2431383
2021-05-27,7.2019706
2021-05-28,9.266497
2021-05-29,12.435474
2021-05-30,15.034598
2021-05-31,15.159634
2021-06-01,14.029708
2021-06-02,13.226351
2021-06-03,12.726642
2021-06-04,12.472627
2021-06-05,14.163577
2021-06-06,13.958101
2021-06-07,13.338759
2021-06-08,12.313357
2021-06-09,13.435401
2021-06-10,14.263064
2021-06-11,12.787081
2021-06-12,8.840656
2021-06-13,8.976715
2021-06-14,8.597153
2021-06-15,7.424453
2021-06-16,7.870073
2021-06-17,12.995547
2021-06-18,12.666934
2021-06-19,8.185839
2021-06-20,10.252116
2021-06-21,10.446203
2021-06-22,9.63
2021-06-23,12.91657
2021-06-24,13.975912
2021-06-25,13.685036
2021-06-26,14.530511
2021-06-27,14.788321
2021-06-28,14.980219
2021-06-29,12.506934
2021-06-30,11.755548
2021-07-01,14.18832
2021-07-02,16.36584
2021-07-03,18.343794
2021-07-04,16.091534
2021-07-05,14.880948
2021-07-06,14.8019705
2021-07-07,13.048394
2021-07-08,13.232335
2021-07-09,13.785037
2021-07-10,11.499927
2021-07-11,14.025766
2021-07-12,13.843648
2021-07-13,15.984598
2021-07-14,15.558614
2021-07-15,16.18832
2021-07-16,14.540584
2021-07-17,14.523796
2021-07-18,10.326715
2021-07-19,11.320073
2021-07-20,11.6427
2021-07-21,11.975839
2021-07-22,14.78146
2021-07-23,14.77489
2021-07-24,16.465036
2021-07-25,17.347956
2021-07-26,17.031385
2021-07-27,15.362846
2021-07-28,14.371823
2021-07-29,12.307518
2021-07-30,13.711971
2021-07-31,9.304745
2021-08-01,8.90832
2021-08-02,8.094307
2021-08-03,8.466715
2021-08-04,10.601751
2021-08-05,11.113869
2021-08-06,11.342773
2021-08-07,10.94124
2021-08-08,11.770584
2021-08-09,11.929708
2021-08-10,12.137299
2021-08-11,12.419343
2021-08-12,12.639489
2021-08-13,12.8562765
2021-08-14,8.94854
2021-08-15,9.503576
2021-08-16,9.317664
2021-08-17,10.498029
2021-08-18,9.070437
2021-08-19,8.430876
2021-08-20,7.3963504
2021-08-21,8.351825
2021-08-22,8.455693
2021-08-23,9.7052555
2021-08-24,10.340876
2021-08-25,10.2140875
2021-08-26,8.547445
2021-08-27,8.8794155
2021-08-28,10.373868
2021-08-29,11.924744
2021-08-30,11.118905
2021-08-31,10.443503
2021-09-01,10.107518
2021-09-02,11.054379
2021-09-03,6.9711676
2021-09-04,5.4484673
2021-09-05,7.5347447
2021-09-06,8.42416
2021-09-07,11.249781
2021-09-08,13.8826275
2021-09-09,13.335985
2021-09-10,11.7468605
2021-09-11,12.097517
2021-09-12,9.876349
2021-09-13,6.4199266
2021-09-14,5.968686
2021-09-15,6.678832
2021-09-16,6.503795
2021-09-17,4.68146
2021-09-18,4.820219
2021-09-19,5.2094154
2021-09-20,3.8556206
2021-09-21,5.817226
2021-09-22,8.542847
2021-09-23,5.948394
2021-09-24,2.970219
2021-09-25,5.536788
2021-09-26,6.8009486
2021-09-27,7.1602917
2021-09-28,7.3945255
2021-09-29,6.4099274
2021-09-30,5.876861
2021-10-01,6.629489
2021-10-02,7.119927
2021-10-03,7.5397806
2021-10-04,7.411897
2021-10-05,7.6292696
2021-10-06,6.028175
2021-10-07,5.5578837
2021-10-08,8.772335
2021-10-09,9.918321
2021-10-10,6.520365
2021-10-11,1.5627738
2021-10-12,0.7118978
2021-10-13,-0.6503649
2021-10-14,4.026788
2021-10-15,1.2599269
2021-10-16,0.015839403
2021-10-17,-1.9857663
2021-10-18,-3.039124
2021-10-19,-1.050292
2021-10-20,2.8110948
2021-10-21,0.14883205
2021-10-22,-0.20029199
2021-10-23,-0.007737264
2021-10-24,2.4108758
2021-10-25,4.969854
2021-10-26,1.6051095
2021-10-27,3.280438
2021-10-28,6.658175
2021-10-29,7.1060586
2021-10-30,5.90781
2021-10-31,4.126715
2021-11-01,4.637226
2021-11-02,4.2354746
2021-11-03,1.5675912
2021-11-04,0.08861314
2021-11-05,-1.6450363
2021-11-06,-2.3856204
2021-11-07,-2.102774
2021-11-08,-2.838686
2021-11-09,0.4858394
2021-11-10,0.07291969
2021-11-11,0.19218977
2021-11-12,-3.239927
2021-11-13,-3.1916058
2021-11-14,-4.65927
2021-11-15,-2.2929196
2021-11-16,1.1110219
2021-11-17,0.4438686
2021-11-18,-3.168029
2021-11-19,1.6451094
2021-11-20,-1.4440875
2021-11-21,-4.1657662
2021-11-22,-3.0623357
2021-11-23,-0.71620435
2021-11-24,-0.3533576
2021-11-25,-5.6042337
2021-11-26,-9.6557665
2021-11-27,-9.998978
2021-11-28,-12.512847
2021-11-29,-16.410583
2021-11-30,-12.965767
2021-12-01,-15.579269
2021-12-02,-12.154306
2021-12-03,-14.366497
2021-12-04,-11.220584
2021-12-05,-11.992481
2021-12-06,-15.488176
2021-12-07,-13.544379
2021-12-08,-10.251387
2021-12-09,-6.723868
2021-12-10,-6.7997074
2021-12-11,-5.3048906
2021-12-12,-4.1627736
2021-12-13,-3.3797083
2021-12-14,-4.04635
2021-12-15,-1.0833577
2021-12-16,-1.0844525
2021-12-17,-0.53963506
2021-12-18,1.8997082
2021-12-19,-1.4230657
2021-12-20,-4.1381016
2021-12-21,-7.439489
2021-12-22,-6.7751093
2021-12-23,-8.534087
2021-12-24,-13.310072
2021-12-25,-8.98073
2021-12-26,-8.030146
2021-12-27,-13.206204
2021-12-28,-11.630146
2021-12-29,-13.058906
2021-12-30,-8.300219
2021-12-31,-5.5342336
