time,BG314
2021-01-01,2.5657141
2021-01-02,0.35785717
2021-01-03,1.1985714
2021-01-04,1.1371429
2021-01-05,0.078571424
2021-01-06,-0.09357144
2021-01-07,-1.0657142
2021-01-08,-1.7764285
2021-01-09,-1.3950001
2021-01-10,-0.7628571
2021-01-11,-2.8742855
2021-01-12,-3.3199997
2021-01-13,-0.7207143
2021-01-14,0.38142857
2021-01-15,0.7864285
2021-01-16,1.6971427
2021-01-17,1.885
2021-01-18,3.3799999
2021-01-19,2.6992857
2021-01-20,3.002857
2021-01-21,7.1078568
2021-01-22,6.698571
2021-01-23,6.4792857
2021-01-24,8.401428
2021-01-25,9.362143
2021-01-26,10.418571
2021-01-27,12.448571
2021-01-28,10.585715
2021-01-29,9.768572
2021-01-30,9.489285
2021-01-31,9.497142
2021-02-01,10.839286
2021-02-02,9.6378565
2021-02-03,9.172143
2021-02-04,9.7300005
2021-02-05,10.627856
2021-02-06,7.750714
2021-02-07,6.5257144
2021-02-08,7.356429
2021-02-09,6.5514283
2021-02-10,8.515714
2021-02-11,8.605714
2021-02-12,9.576428
2021-02-13,8.995
2021-02-14,8.862143
2021-02-15,9.434286
2021-02-16,9.308572
2021-02-17,10.104285
2021-02-18,9.736428
2021-02-19,10.089999
2021-02-20,10.922143
2021-02-21,7.874286
2021-02-22,6.8542852
2021-02-23,7.2092853
2021-02-24,8.949999
2021-02-25,8.850714
2021-02-26,10.311429
2021-02-27,11.21
2021-02-28,8.227857
2021-03-01,7.56
2021-03-02,9.674286
2021-03-03,10.084285
2021-03-04,9.235713
2021-03-05,9.602142
2021-03-06,10.102858
2021-03-07,9.587857
2021-03-08,7.7442856
2021-03-09,7.279286
2021-03-10,7.1407137
2021-03-11,10.832857
2021-03-12,9.235713
2021-03-13,7.7935715
2021-03-14,8.517142
2021-03-15,9.632856
2021-03-16,10.830713
2021-03-17,11.590714
2021-03-18,6.785714
2021-03-19,5.8250003
2021-03-20,5.327143
2021-03-21,5.9549994
2021-03-22,7.8421426
2021-03-23,9.782143
2021-03-24,11.305
2021-03-25,12.060715
2021-03-26,11.64857
2021-03-27,11.267858
2021-03-28,12.872142
2021-03-29,14.756429
2021-03-30,14.761429
2021-03-31,15.187857
2021-04-01,16.074999
2021-04-02,12.789285
2021-04-03,12.79
2021-04-04,11.8
2021-04-05,13.078572
2021-04-06,13.947144
2021-04-07,11.753571
2021-04-08,12.374285
2021-04-09,9.959285
2021-04-10,12.341429
2021-04-11,10.687142
2021-04-12,9.512143
2021-04-13,10.686429
2021-04-14,13.622142
2021-04-15,11.968572
2021-04-16,10.109285
2021-04-17,8.405
2021-04-18,9.955
2021-04-19,12.810715
2021-04-20,13.254286
2021-04-21,12.029286
2021-04-22,12.304285
2021-04-23,12.629999
2021-04-24,12.280714
2021-04-25,11.065714
2021-04-26,13.480715
2021-04-27,13.459285
2021-04-28,13.308571
2021-04-29,11.612857
2021-04-30,10.285714
2021-05-01,10.179999
2021-05-02,11.7228565
2021-05-03,12.391428
2021-05-04,13.536428
2021-05-05,15.777143
2021-05-06,17.05
2021-05-07,18.64357
2021-05-08,19.182142
2021-05-09,13.892142
2021-05-10,10.8478565
2021-05-11,10.739285
2021-05-12,13.533571
2021-05-13,12.693571
2021-05-14,14.76
2021-05-15,17.369284
2021-05-16,18.261429
2021-05-17,17.960712
2021-05-18,18.286427
2021-05-19,17.380001
