time,CH056
2021-01-01,1.145
2021-01-02,-0.32
2021-01-03,0.775
2021-01-04,0.91499996
2021-01-05,1.4749999
2021-01-06,1.365
2021-01-07,0.35
2021-01-08,0.16
2021-01-09,-0.52
2021-01-10,-2.0249999
2021-01-11,-2.0
2021-01-12,1.555
2021-01-13,0.91999996
2021-01-14,0.29999998
2021-01-15,-1.3499999
2021-01-16,-3.9699998
2021-01-17,-0.0050000027
2021-01-18,1.775
2021-01-19,1.4
2021-01-20,5.93
2021-01-21,8.565
2021-01-22,4.775
2021-01-23,2.7399998
2021-01-24,0.54499996
2021-01-25,0.39499998
2021-01-26,0.66999996
2021-01-27,0.71
2021-01-28,6.84
2021-01-29,8.26
2021-01-30,4.605
2021-01-31,0.76
2021-02-01,4.6499996
2021-02-02,7.5999994
2021-02-03,9.440001
2021-02-04,6.715
2021-02-05,6.95
2021-02-06,5.995
2021-02-07,4.3149996
2021-02-08,-0.84000003
2021-02-09,-3.7999997
2021-02-10,-6.6949997
2021-02-11,-5.285
2021-02-12,-5.2999997
2021-02-13,-4.875
2021-02-14,-1.655
2021-02-15,2.01
2021-02-16,6.4449997
2021-02-17,7.135
2021-02-18,6.42
2021-02-19,6.72
2021-02-20,10.165
2021-02-21,10.95
2021-02-22,8.754999
2021-02-23,12.914999
2021-02-24,12.0199995
2021-02-25,11.375
2021-02-26,5.85
2021-02-27,4.455
2021-02-28,5.12
2021-03-01,7.075
2021-03-02,8.5
2021-03-03,8.61
2021-03-04,6.725
2021-03-05,3.435
2021-03-06,2.17
2021-03-07,2.595
2021-03-08,2.1950002
2021-03-09,3.105
2021-03-10,5.935
2021-03-11,8.014999
2021-03-12,5.74
2021-03-13,5.685
2021-03-14,3.565
2021-03-15,5.225
2021-03-16,4.13
2021-03-17,3.6299999
2021-03-18,3.32
2021-03-19,2.2150002
2021-03-20,2.7549999
2021-03-21,4.75
2021-03-22,4.175
2021-03-23,6.5599995
2021-03-24,7.6899996
2021-03-25,8.03
2021-03-26,9.61
2021-03-27,6.4249997
2021-03-28,8.96
2021-03-29,11.84
2021-03-30,14.545
2021-03-31,16.005001
2021-04-01,15.904999
2021-04-02,8.37
2021-04-03,7.245
2021-04-04,7.225
2021-04-05,2.71
2021-04-06,0.8249999
2021-04-07,1.62
2021-04-08,3.59
2021-04-09,8.69
2021-04-10,8.775
2021-04-11,6.8199997
2021-04-12,4.0599995
2021-04-13,3.885
2021-04-14,3.6599998
2021-04-15,4.06
2021-04-16,4.4849997
2021-04-17,7.5
2021-04-18,7.9249997
2021-04-19,8.360001
2021-04-20,9.764999
2021-04-21,11.934999
2021-04-22,9.61
2021-04-23,10.105
2021-04-24,11.495
2021-04-25,10.299999
2021-04-26,9.795
2021-04-27,10.629999
2021-04-28,11.559999
2021-04-29,9.855
2021-04-30,6.625
2021-05-01,8.405001
2021-05-02,8.174999
2021-05-03,8.215
2021-05-04,8.555
2021-05-05,6.7
2021-05-06,5.9249997
2021-05-07,7.8949995
2021-05-08,11.305
2021-05-09,18.744999
2021-05-10,14.525
2021-05-11,11.844999
2021-05-12,11.87
2021-05-13,10.719999
2021-05-14,10.705
2021-05-15,9.67
2021-05-16,11.184999
2021-05-17,10.289999
2021-05-18,9.985001
2021-05-19,9.1
2021-05-20,11.735
2021-05-21,12.24
2021-05-22,10.0
2021-05-23,10.625
2021-05-24,9.92
2021-05-25,8.805
2021-05-26,9.414999
2021-05-27,10.65
2021-05-28,12.584999
2021-05-29,15.04
2021-05-30,15.375
2021-05-31,15.84
2021-06-01,17.805
2021-06-02,19.32
2021-06-03,19.795
2021-06-04,20.079998
2021-06-05,16.325
2021-06-06,15.905
2021-06-07,17.215
2021-06-08,18.814999
2021-06-09,20.58
2021-06-10,21.355
2021-06-11,22.185
2021-06-12,19.904999
2021-06-13,18.235
2021-06-14,20.789999
2021-06-15,22.884998
2021-06-16,24.265
2021-06-17,25.375
2021-06-18,24.954998
2021-06-19,24.994999
2021-06-20,21.14
2021-06-21,19.814999
2021-06-22,15.7699995
2021-06-23,18.31
2021-06-24,16.285
2021-06-25,16.814999
2021-06-26,18.699999
2021-06-27,20.72
2021-06-28,20.68
2021-06-29,16.64
2021-06-30,14.0
2021-07-01,14.16
2021-07-02,17.02
2021-07-03,19.724998
2021-07-04,16.98
2021-07-05,17.68
2021-07-06,16.98
