time,CY000
2021-01-01,-0.24333332
2021-01-02,-1.3333333
2021-01-03,-0.38333333
2021-01-04,-0.95666665
2021-01-05,-1.5233334
2021-01-06,-1.5133333
2021-01-07,-2.6266668
2021-01-08,-1.8666664
2021-01-09,-2.823333
2021-01-10,-3.7366664
2021-01-11,-5.0499997
2021-01-12,-1.3633333
2021-01-13,-1.6933333
2021-01-14,-2.9833333
2021-01-15,-3.8099997
2021-01-16,-7.0866666
2021-01-17,-6.873333
2021-01-18,-1.84
2021-01-19,0.34
2021-01-20,3.4866667
2021-01-21,4.5266666
2021-01-22,3.9833333
2021-01-23,-0.8066667
2021-01-24,-1.8733333
2021-01-25,-3.21
2021-01-26,-2.9633331
2021-01-27,-1.8433332
2021-01-28,0.21999998
2021-01-29,0.9833333
2021-01-30,-2.4966667
2021-01-31,-5.5399995
2021-02-01,-3.1133335
2021-02-02,2.18
2021-02-03,5.85
2021-02-04,2.9499998
2021-02-05,0.96999997
2021-02-06,-0.9866667
2021-02-07,-5.903333
2021-02-08,-10.756667
2021-02-09,-12.666667
2021-02-10,-14.363332
2021-02-11,-9.326667
2021-02-12,-10.089999
2021-02-13,-9.353333
2021-02-14,-8.839999
2021-02-15,-6.3266664
2021-02-16,1.4066666
2021-02-17,3.37
2021-02-18,4.5366664
2021-02-19,4.066666
2021-02-20,5.4366665
2021-02-21,5.473333
2021-02-22,4.3433337
2021-02-23,9.003333
2021-02-24,10.226666
2021-02-25,10.003333
2021-02-26,3.4633331
2021-02-27,0.48000002
2021-02-28,1.68
2021-03-01,3.05
2021-03-02,5.35
2021-03-03,5.693333
2021-03-04,4.726667
2021-03-05,-2.0866666
2021-03-06,-2.33
2021-03-07,-1.3133332
2021-03-08,-1.9966666
2021-03-09,-1.4066666
2021-03-10,0.053333323
2021-03-11,4.1666665
2021-03-12,3.5733335
2021-03-13,3.5733335
2021-03-14,1.9366665
2021-03-15,1.4666666
2021-03-16,0.25666666
2021-03-17,-0.8433333
2021-03-18,-1.0666667
2021-03-19,-2.28
2021-03-20,-4.953333
2021-03-21,0.17
2021-03-22,0.16
2021-03-23,1.2566667
2021-03-24,4.3133335
2021-03-25,7.2033334
2021-03-26,7.956667
2021-03-27,4.1433334
2021-03-28,4.47
2021-03-29,10.829999
2021-03-30,11.759999
2021-03-31,13.173333
2021-04-01,11.393333
2021-04-02,2.9099998
2021-04-03,1.1833333
2021-04-04,2.0766666
2021-04-05,0.8899999
2021-04-06,-2.75
2021-04-07,-1.5766665
2021-04-08,-0.40333334
