time,CZ042
2021-01-01,-0.6492308
2021-01-02,-2.5210254
2021-01-03,-3.8894868
2021-01-04,-9.287691
2021-01-05,-13.941281
2021-01-06,-13.25282
2021-01-07,-6.1471796
2021-01-08,-7.35
2021-01-09,-9.804871
2021-01-10,-7.813589
2021-01-11,-3.3976922
2021-01-12,-5.3197436
2021-01-13,-12.51923
2021-01-14,-22.305126
2021-01-15,-17.10205
2021-01-16,-5.2771792
2021-01-17,-3.238205
2021-01-18,-4.4053845
2021-01-19,-2.702051
2021-01-20,-5.13282
2021-01-21,-6.600769
2021-01-22,-4.471282
2021-01-23,0.84923077
2021-01-24,0.385641
2021-01-25,-0.87948716
2021-01-26,-2.058718
2021-01-27,-3.8205128
2021-01-28,-7.3456407
2021-01-29,-8.333333
2021-01-30,-8.142307
2021-01-31,-10.4479475
2021-02-01,-11.140512
2021-02-02,-18.02128
2021-02-03,-17.461283
2021-02-04,-12.307692
2021-02-05,-17.35769
2021-02-06,-9.972564
2021-02-07,-7.3451285
2021-02-08,-13.066409
2021-02-09,-11.740256
2021-02-10,-14.537949
2021-02-11,-14.724102
2021-02-12,-10.836667
2021-02-13,-5.2561536
2021-02-14,-10.852307
2021-02-15,-10.815641
2021-02-16,-11.946923
2021-02-17,-21.425385
2021-02-18,-15.18718
2021-02-19,-5.575897
2021-02-20,-4.875897
2021-02-21,-6.4223075
2021-02-22,-9.775127
2021-02-23,-10.121538
2021-02-24,-3.666923
2021-02-25,1.6348718
2021-02-26,1.6848716
2021-02-27,0.21512818
2021-02-28,3.540769
2021-03-01,3.4630768
2021-03-02,1.6671796
2021-03-03,-0.01871794
2021-03-04,-5.824615
2021-03-05,-9.604359
2021-03-06,-3.2046154
2021-03-07,-6.4425635
2021-03-08,-9.70923
2021-03-09,-10.1523075
2021-03-10,-16.897436
2021-03-11,-9.346411
2021-03-12,-4.035128
2021-03-13,-1.6005129
2021-03-14,0.50564104
2021-03-15,-0.22923076
2021-03-16,-1.1833334
2021-03-17,-3.2710257
2021-03-18,-5.7017946
2021-03-19,-8.098461
2021-03-20,0.31051284
2021-03-21,-0.41051283
2021-03-22,-3.668205
2021-03-23,3.3384619
2021-03-24,3.2148716
2021-03-25,1.6084615
2021-03-26,1.7997434
2021-03-27,4.1315384
2021-03-28,4.697692
2021-03-29,2.9233332
2021-03-30,4.7133336
2021-03-31,3.5743587
2021-04-01,2.397436
2021-04-02,1.9684616
2021-04-03,1.5584615
2021-04-04,4.2797437
2021-04-05,1.1417948
2021-04-06,0.28692308
2021-04-07,0.80435896
2021-04-08,-0.6494872
2021-04-09,0.2548718
2021-04-10,1.5320512
2021-04-11,2.4571795
2021-04-12,4.647179
2021-04-13,3.7115386
2021-04-14,1.8248718
2021-04-15,2.4476924
2021-04-16,4.7694864
2021-04-17,6.3264103
2021-04-18,7.315641
2021-04-19,8.036409
2021-04-20,6.91923
2021-04-21,6.7484617
2021-04-22,3.4569228
2021-04-23,0.9105128
2021-04-24,0.63205135
2021-04-25,0.5782051
2021-04-26,1.0217948
2021-04-27,0.62
2021-04-28,-0.103846155
2021-04-29,0.51794875
2021-04-30,1.9974357
2021-05-01,0.90333325
2021-05-02,2.726923
2021-05-03,3.6343591
2021-05-04,5.193333
2021-05-05,3.3438458
2021-05-06,1.8987179
2021-05-07,1.7069229
2021-05-08,3.3853846
2021-05-09,5.9700003
2021-05-10,7.772821
2021-05-11,15.073845
2021-05-12,17.421282
2021-05-13,18.876154
2021-05-14,12.967436
2021-05-15,12.510513
2021-05-16,10.569231
2021-05-17,12.066409
2021-05-18,12.574103
2021-05-19,8.913333
2021-05-20,11.691794
2021-05-21,4.8030767
2021-05-22,4.523846
2021-05-23,5.0917945
2021-05-24,5.567436
2021-05-25,9.474616
2021-05-26,9.891794
2021-05-27,6.738461
2021-05-28,9.318718
2021-05-29,8.422564
2021-05-30,11.1866665
2021-05-31,11.426922
2021-06-01,14.203845
2021-06-02,16.068203
2021-06-03,17.57641
2021-06-04,18.16923
2021-06-05,17.713331
2021-06-06,18.086924
2021-06-07,18.011793
2021-06-08,17.188974
2021-06-09,17.968718
2021-06-10,17.976154
2021-06-11,19.423077
2021-06-12,15.384102
2021-06-13,13.257437
2021-06-14,13.988973
2021-06-15,12.9941025
2021-06-16,11.1810255
2021-06-17,16.292051
2021-06-18,19.331795
2021-06-19,17.163334
2021-06-20,19.341024
2021-06-21,22.754618
2021-06-22,21.118462
2021-06-23,18.423334
2021-06-24,17.750257
2021-06-25,18.986923
2021-06-26,19.006666
2021-06-27,17.513845
2021-06-28,17.286411
2021-06-29,17.535128
2021-06-30,15.683591
2021-07-01,16.985384
2021-07-02,18.915897
2021-07-03,21.476152
2021-07-04,22.441025
2021-07-05,22.366667
2021-07-06,21.351793
2021-07-07,21.342821
2021-07-08,19.971794
2021-07-09,20.789745
2021-07-10,20.548462
2021-07-11,21.306152
2021-07-12,20.58436
2021-07-13,20.703331
2021-07-14,21.356153
2021-07-15,22.424103
2021-07-16,16.945127
2021-07-17,18.494102
2021-07-18,16.226923
2021-07-19,14.17282
2021-07-20,13.514871
2021-07-21,12.979231
2021-07-22,14.414617
2021-07-23,13.798462
2021-07-24,15.276409
2021-07-25,18.721794
2021-07-26,20.127436
2021-07-27,22.237179
2021-07-28,21.6641
2021-07-29,19.181793
2021-07-30,15.859744
2021-07-31,15.412051
2021-08-01,15.131282
2021-08-02,12.805385
2021-08-03,12.535641
2021-08-04,13.040512
2021-08-05,13.260257
