time,DE40D
2021-01-01,-0.21
2021-01-02,1.02
2021-01-03,1.3399999
2021-01-04,1.22
2021-01-05,0.24
2021-01-06,-0.42
2021-01-07,-1.5
2021-01-08,-2.54
2021-01-09,-1.1
2021-01-10,-1.3399999
2021-01-11,-2.6799998
2021-01-12,-2.21
2021-01-13,3.36
2021-01-14,4.21
2021-01-15,1.37
2021-01-16,-2.05
2021-01-17,-0.57
2021-01-18,-1.4699999
2021-01-19,-0.06
2021-01-20,0.78999996
2021-01-21,2.28
2021-01-22,2.9399998
2021-01-23,3.1699998
2021-01-24,2.21
2021-01-25,0.14999999
2021-01-26,-0.01
2021-01-27,-0.26999998
2021-01-28,3.1699998
2021-01-29,4.6
2021-01-30,5.19
2021-01-31,4.0699997
2021-02-01,3.07
2021-02-02,4.0099998
2021-02-03,5.04
2021-02-04,6.77
2021-02-05,7.49
2021-02-06,7.0
2021-02-07,4.56
2021-02-08,3.6499999
2021-02-09,4.95
2021-02-10,4.15
2021-02-11,3.31
2021-02-12,1.1
2021-02-13,-1.81
2021-02-14,-2.84
2021-02-15,0.74
2021-02-16,3.8899999
2021-02-17,6.8999996
2021-02-18,5.43
2021-02-19,7.1499996
2021-02-20,6.81
2021-02-21,7.5299997
2021-02-22,7.8799996
2021-02-23,9.22
2021-02-24,10.11
2021-02-25,10.05
2021-02-26,9.75
2021-02-27,9.09
2021-02-28,6.3599997
2021-03-01,6.29
2021-03-02,6.5299997
2021-03-03,7.08
2021-03-04,7.39
2021-03-05,7.0699997
2021-03-06,4.72
2021-03-07,4.25
2021-03-08,5.2999997
2021-03-09,4.88
2021-03-10,4.73
2021-03-11,7.3999996
2021-03-12,7.31
2021-03-13,6.62
2021-03-14,5.45
2021-03-15,5.16
2021-03-16,5.74
2021-03-17,4.88
2021-03-18,2.6599998
2021-03-19,2.02
2021-03-20,1.55
2021-03-21,1.9
2021-03-22,4.5899997
2021-03-23,6.08
2021-03-24,7.48
2021-03-25,9.11
2021-03-26,9.5199995
2021-03-27,9.34
2021-03-28,9.719999
2021-03-29,12.24
2021-03-30,14.429999
2021-03-31,14.66
2021-04-01,15.19
2021-04-02,14.639999
2021-04-03,10.889999
2021-04-04,8.79
2021-04-05,8.73
2021-04-06,5.24
2021-04-07,1.99
2021-04-08,4.8199997
2021-04-09,7.7799997
2021-04-10,8.05
2021-04-11,8.2699995
2021-04-12,7.3799996
2021-04-13,5.98
2021-04-14,5.25
2021-04-15,4.95
2021-04-16,5.74
2021-04-17,6.68
2021-04-18,6.8399997
2021-04-19,7.54
2021-04-20,9.24
2021-04-21,9.44
2021-04-22,10.33
2021-04-23,12.139999
2021-04-24,13.71
2021-04-25,14.54
2021-04-26,12.389999
2021-04-27,11.2699995
2021-04-28,11.57
2021-04-29,11.17
2021-04-30,12.07
2021-05-01,10.9
2021-05-02,10.48
2021-05-03,10.33
2021-05-04,11.5199995
2021-05-05,11.34
2021-05-06,9.32
2021-05-07,11.96
2021-05-08,13.11
2021-05-09,14.509999
2021-05-10,14.009999
2021-05-11,11.61
2021-05-12,12.37
2021-05-13,11.36
2021-05-14,10.32
2021-05-15,8.91
2021-05-16,11.349999
