time,DE40H
2021-01-01,3.205
2021-01-02,4.7749996
2021-01-03,5.0
2021-01-04,4.2349997
2021-01-05,2.915
2021-01-06,3.1299999
2021-01-07,2.815
2021-01-08,1.425
2021-01-09,1.875
2021-01-10,2.0049999
2021-01-11,1.155
2021-01-12,1.365
2021-01-13,5.47
2021-01-14,5.755
2021-01-15,4.7799997
2021-01-16,1.9849999
2021-01-17,2.96
2021-01-18,2.165
2021-01-19,2.61
2021-01-20,4.265
2021-01-21,5.48
2021-01-22,6.9649997
2021-01-23,6.625
2021-01-24,6.0699997
2021-01-25,4.325
2021-01-26,3.9299998
2021-01-27,3.185
2021-01-28,6.045
2021-01-29,7.435
2021-01-30,7.22
2021-01-31,7.475
2021-02-01,6.68
2021-02-02,6.165
2021-02-03,6.59
2021-02-04,8.565
2021-02-05,9.52
2021-02-06,9.59
2021-02-07,8.23
2021-02-08,7.165
2021-02-09,8.85
2021-02-10,9.094999
2021-02-11,8.19
2021-02-12,4.215
2021-02-13,1.075
2021-02-14,0.65
2021-02-15,2.875
2021-02-16,5.9249997
2021-02-17,8.785
2021-02-18,7.92
2021-02-19,9.785
2021-02-20,9.46
2021-02-21,10.12
2021-02-22,10.035
2021-02-23,11.66
2021-02-24,12.875
2021-02-25,11.965
2021-02-26,11.42
2021-02-27,11.325
2021-02-28,9.719999
2021-03-01,8.48
2021-03-02,8.52
2021-03-03,9.469999
2021-03-04,8.75
2021-03-05,10.165
2021-03-06,8.26
2021-03-07,7.455
2021-03-08,8.24
2021-03-09,8.115
2021-03-10,8.04
2021-03-11,9.65
2021-03-12,10.815
2021-03-13,10.110001
2021-03-14,10.055
2021-03-15,9.0
2021-03-16,9.83
2021-03-17,8.51
2021-03-18,6.6099997
2021-03-19,5.6949997
2021-03-20,5.14
2021-03-21,5.3199997
2021-03-22,8.155
2021-03-23,8.915
2021-03-24,9.965
2021-03-25,10.885
2021-03-26,11.49
2021-03-27,11.974999
2021-03-28,11.959999
2021-03-29,13.855
2021-03-30,15.87
2021-03-31,16.314999
2021-04-01,16.414999
2021-04-02,16.945
2021-04-03,14.049999
2021-04-04,11.52
2021-04-05,11.11
2021-04-06,9.875
2021-04-07,6.08
2021-04-08,7.96
2021-04-09,10.815
2021-04-10,10.815001
2021-04-11,10.289999
