time,DE80K
2021-01-01,1.0999999
2021-01-02,2.425
2021-01-03,2.81
2021-01-04,3.52
2021-01-05,3.08
2021-01-06,2.5549998
2021-01-07,0.13
2021-01-08,-0.004999999
2021-01-09,1.3199999
2021-01-10,1.665
2021-01-11,5.255
2021-01-12,5.765
2021-01-13,2.2649999
2021-01-14,2.895
2021-01-15,0.24000001
2021-01-16,3.2999997
2021-01-17,4.74
2021-01-18,4.225
2021-01-19,8.17
2021-01-20,9.865
2021-01-21,4.755
2021-01-22,2.85
2021-01-23,1.49
2021-01-24,-0.615
2021-01-25,0.92999995
2021-01-26,2.695
2021-01-27,5.73
2021-01-28,7.245
2021-01-29,8.12
2021-01-30,4.0499997
2021-01-31,0.39
2021-02-01,3.4499998
2021-02-02,4.815
2021-02-03,7.8849998
2021-02-04,5.765
2021-02-05,8.08
2021-02-06,5.4049997
2021-02-07,1.48
2021-02-08,-1.0799999
2021-02-09,-0.775
2021-02-10,-0.265
2021-02-11,-1.8050001
2021-02-12,-1.0799999
2021-02-13,-1.6199999
2021-02-14,0.69
2021-02-15,6.8
2021-02-16,8.764999
2021-02-17,8.61
2021-02-18,8.21
2021-02-19,6.4700003
2021-02-20,10.695
2021-02-21,11.025
2021-02-22,8.865
2021-02-23,8.799999
2021-02-24,13.639999
2021-02-25,9.76
2021-02-26,6.875
2021-02-27,5.6899996
2021-02-28,6.0
2021-03-01,3.8449998
2021-03-02,5.42
2021-03-03,4.605
2021-03-04,5.135
2021-03-05,4.58
2021-03-06,3.475
2021-03-07,4.055
2021-03-08,5.39
2021-03-09,7.43
2021-03-10,7.2
2021-03-11,9.865
2021-03-12,7.0699997
2021-03-13,6.7749996
2021-03-14,7.375
2021-03-15,8.934999
2021-03-16,9.305
2021-03-17,7.8849998
2021-03-18,7.37
2021-03-19,7.825
2021-03-20,8.26
2021-03-21,7.9700003
2021-03-22,6.3799996
2021-03-23,6.9449997
2021-03-24,8.985
2021-03-25,8.58
2021-03-26,9.92
2021-03-27,6.4700003
2021-03-28,10.7
2021-03-29,13.33
2021-03-30,12.955
2021-03-31,14.84
2021-04-01,9.01
2021-04-02,7.0649996
2021-04-03,6.88
2021-04-04,7.7799997
2021-04-05,4.885
2021-04-06,3.26
2021-04-07,2.985
2021-04-08,7.6449995
2021-04-09,7.1549997
2021-04-10,5.06
2021-04-11,3.715
2021-04-12,4.2599998
2021-04-13,5.43
2021-04-14,5.66
2021-04-15,5.2699995
2021-04-16,5.385
2021-04-17,5.8599997
2021-04-18,6.3599997
2021-04-19,8.42
2021-04-20,9.224999
2021-04-21,8.934999
2021-04-22,6.3099995
2021-04-23,8.295
2021-04-24,8.809999
2021-04-25,7.4049997
2021-04-26,7.335
2021-04-27,7.8499994
2021-04-28,8.74
2021-04-29,6.29
2021-04-30,6.215
2021-05-01,6.325
2021-05-02,7.16
2021-05-03,8.57
2021-05-04,9.049999
2021-05-05,7.285
2021-05-06,6.45
2021-05-07,7.7299995
2021-05-08,10.059999
2021-05-09,15.98
2021-05-10,13.549999
2021-05-11,11.21
2021-05-12,11.809999
2021-05-13,12.174999
2021-05-14,9.639999
2021-05-15,10.365
2021-05-16,11.52
2021-05-17,11.78
2021-05-18,11.275
2021-05-19,12.129999
2021-05-20,9.51
2021-05-21,11.57
2021-05-22,10.474999
2021-05-23,9.014999
2021-05-24,10.445
2021-05-25,10.834999
2021-05-26,10.440001
2021-05-27,12.2
2021-05-28,13.36
2021-05-29,15.129999
2021-05-30,12.66
2021-05-31,13.895
2021-06-01,16.305
2021-06-02,17.63
2021-06-03,17.92
2021-06-04,15.08
2021-06-05,15.615
2021-06-06,16.265
2021-06-07,17.39
2021-06-08,17.29
2021-06-09,18.195
2021-06-10,18.789999
2021-06-11,19.215
2021-06-12,16.720001
2021-06-13,17.9
2021-06-14,20.16
2021-06-15,16.375
2021-06-16,20.275
2021-06-17,18.079998
2021-06-18,15.01
2021-06-19,13.76
2021-06-20,13.945
2021-06-21,12.775
2021-06-22,13.875
2021-06-23,14.059999
2021-06-24,16.335
2021-06-25,15.7699995
2021-06-26,15.58
2021-06-27,16.699999
2021-06-28,15.465
2021-06-29,15.879999
2021-06-30,14.365
2021-07-01,14.889999
2021-07-02,17.665
2021-07-03,18.75
2021-07-04,18.529999
2021-07-05,17.085
2021-07-06,16.585
2021-07-07,17.8
2021-07-08,18.045
2021-07-09,18.255001
2021-07-10,17.875
2021-07-11,17.015
2021-07-12,17.545
2021-07-13,17.904999
2021-07-14,18.555
2021-07-15,17.645
2021-07-16,18.235
2021-07-17,20.895
2021-07-18,22.734999
2021-07-19,21.52
2021-07-20,21.865
2021-07-21,21.415
2021-07-22,20.61
2021-07-23,17.735
2021-07-24,18.355
2021-07-25,18.765
2021-07-26,20.025
2021-07-27,19.465
2021-07-28,18.045
2021-07-29,16.705
2021-07-30,16.335
2021-07-31,17.605
2021-08-01,15.914999
2021-08-02,15.82
2021-08-03,16.145
2021-08-04,16.695
2021-08-05,17.224998
2021-08-06,18.125
2021-08-07,16.669998
2021-08-08,16.845
2021-08-09,17.025
2021-08-10,17.454998
2021-08-11,17.335
2021-08-12,17.77
2021-08-13,18.18
2021-08-14,18.11
2021-08-15,18.175
2021-08-16,15.875
2021-08-17,14.745
2021-08-18,17.59
2021-08-19,17.005001
2021-08-20,17.855
2021-08-21,18.130001
2021-08-22,17.789999
2021-08-23,17.634998
2021-08-24,16.825
2021-08-25,16.875
2021-08-26,16.075
2021-08-27,15.24
2021-08-28,16.0
2021-08-29,14.879999
2021-08-30,16.085
2021-08-31,15.68
2021-09-01,15.545
2021-09-02,16.314999
2021-09-03,16.26
2021-09-04,16.364998
2021-09-05,17.695
2021-09-06,19.8
2021-09-07,21.015
2021-09-08,20.994999
2021-09-09,20.349998
2021-09-10,20.295
2021-09-11,18.705
2021-09-12,15.69
2021-09-13,16.07
2021-09-14,16.755001
2021-09-15,16.945
2021-09-16,16.23
2021-09-17,16.289999
2021-09-18,17.835
2021-09-19,17.105
2021-09-20,15.825
2021-09-21,15.405
2021-09-22,15.634999
2021-09-23,16.605
2021-09-24,17.27
2021-09-25,18.445
2021-09-26,17.685
2021-09-27,15.83
2021-09-28,14.27
2021-09-29,12.145
2021-09-30,11.809999
2021-10-01,14.705
2021-10-02,10.48
2021-10-03,12.379999
2021-10-04,13.17
2021-10-05,12.08
2021-10-06,12.82
2021-10-07,15.025
2021-10-08,15.62
2021-10-09,13.795
2021-10-10,13.795
2021-10-11,11.71
2021-10-12,11.974999
2021-10-13,12.26
2021-10-14,13.12
2021-10-15,11.469999
2021-10-16,10.915
2021-10-17,12.5
2021-10-18,12.879999
2021-10-19,17.49
2021-10-20,15.119999
2021-10-21,9.014999
2021-10-22,8.985
2021-10-23,10.33
2021-10-24,12.139999
2021-10-25,12.535
2021-10-26,11.299999
2021-10-27,14.725
2021-10-28,13.8949995
2021-10-29,13.025
2021-10-30,10.744999
2021-10-31,9.385
2021-11-01,10.455
2021-11-02,7.49
2021-11-03,6.27
2021-11-04,7.4349995
2021-11-05,6.62
2021-11-06,10.179999
2021-11-07,10.07
2021-11-08,7.1549997
2021-11-09,12.059999
2021-11-10,11.6449995
2021-11-11,10.684999
2021-11-12,10.875
2021-11-13,11.955
2021-11-14,10.8
2021-11-15,10.184999
2021-11-16,7.965
2021-11-17,9.07
2021-11-18,9.675
2021-11-19,11.08
