time,DE80L
2021-01-01,0.8225
2021-01-02,2.6787498
2021-01-03,2.6650002
2021-01-04,3.5837498
2021-01-05,2.77625
2021-01-06,2.88875
2021-01-07,0.65124995
2021-01-08,-0.18374999
2021-01-09,0.82375
2021-01-10,0.91749996
2021-01-11,5.03625
2021-01-12,6.2075
2021-01-13,2.73875
2021-01-14,3.9699998
2021-01-15,1.19625
2021-01-16,3.35
2021-01-17,4.84375
2021-01-18,4.2887497
2021-01-19,8.1137495
2021-01-20,9.451249
2021-01-21,4.9799995
2021-01-22,3.1775
2021-01-23,1.4612501
2021-01-24,-0.6275
2021-01-25,1.05375
2021-01-26,2.6887498
2021-01-27,5.84
2021-01-28,7.935
2021-01-29,8.25875
2021-01-30,4.37625
2021-01-31,1.1475
2021-02-01,3.55
2021-02-02,5.61625
2021-02-03,8.3775
2021-02-04,5.8549995
2021-02-05,7.9287496
2021-02-06,5.29
2021-02-07,1.63875
2021-02-08,-1.4512501
2021-02-09,-0.71999997
2021-02-10,-0.635
2021-02-11,-1.9875
2021-02-12,-1.07375
2021-02-13,-1.815
2021-02-14,1.0374999
2021-02-15,6.6499996
2021-02-16,8.88625
2021-02-17,8.54125
2021-02-18,8.2675
2021-02-19,6.60625
2021-02-20,11.09625
2021-02-21,11.5725
2021-02-22,8.915
2021-02-23,9.434999
2021-02-24,13.24875
2021-02-25,10.154999
2021-02-26,6.7124996
2021-02-27,5.67125
2021-02-28,5.7599998
2021-03-01,4.7112503
2021-03-02,5.75625
2021-03-03,4.80875
2021-03-04,5.1225004
2021-03-05,4.09
2021-03-06,3.0025
2021-03-07,3.6474998
2021-03-08,5.01375
2021-03-09,7.58625
2021-03-10,6.835
2021-03-11,9.914999
2021-03-12,7.005
2021-03-13,7.0125
2021-03-14,7.13
2021-03-15,8.94875
2021-03-16,8.575
2021-03-17,7.5449996
2021-03-18,6.8062496
2021-03-19,7.6124997
2021-03-20,7.2175
2021-03-21,7.93375
2021-03-22,6.33875
2021-03-23,6.9487495
2021-03-24,8.487499
2021-03-25,8.33625
2021-03-26,10.043751
2021-03-27,6.475
2021-03-28,10.461248
2021-03-29,13.081249
2021-03-30,12.7
2021-03-31,14.429999
2021-04-01,9.48375
2021-04-02,7.0475
2021-04-03,6.705
2021-04-04,8.02
2021-04-05,5.1637497
2021-04-06,3.2725
2021-04-07,2.9799998
2021-04-08,7.5787497
2021-04-09,7.345
2021-04-10,5.44625
2021-04-11,4.1299996
2021-04-12,3.9412498
2021-04-13,5.1974998
2021-04-14,5.77625
2021-04-15,5.14
2021-04-16,5.3
2021-04-17,5.8799996
2021-04-18,6.6312504
2021-04-19,8.56875
2021-04-20,9.18
2021-04-21,8.839999
2021-04-22,6.43125
2021-04-23,8.1175
2021-04-24,8.887499
2021-04-25,7.43
2021-04-26,7.3624997
2021-04-27,7.935
2021-04-28,8.59375
2021-04-29,6.5775
2021-04-30,6.5049996
2021-05-01,6.1925
2021-05-02,7.45125
2021-05-03,8.8125
2021-05-04,9.63375
2021-05-05,7.43
2021-05-06,6.1437497
2021-05-07,7.7087493
2021-05-08,10.5199995
2021-05-09,15.676249
2021-05-10,13.745
2021-05-11,11.767499
2021-05-12,12.11625
2021-05-13,12.22875
2021-05-14,9.95625
2021-05-15,10.4
2021-05-16,11.38125
2021-05-17,11.977499
2021-05-18,10.841249
2021-05-19,12.317499
2021-05-20,9.66875
2021-05-21,11.605
2021-05-22,10.6475
2021-05-23,9.2425
2021-05-24,10.491249
2021-05-25,10.7275
2021-05-26,10.19625
2021-05-27,12.035
2021-05-28,13.187499
2021-05-29,15.015
2021-05-30,12.81875
2021-05-31,14.285
2021-06-01,16.717499
2021-06-02,18.397501
2021-06-03,18.458748
2021-06-04,15.018749
2021-06-05,15.6325
2021-06-06,16.206251
2021-06-07,17.365
2021-06-08,17.2125
2021-06-09,17.852499
2021-06-10,18.7375
2021-06-11,19.0125
2021-06-12,17.1075
2021-06-13,18.130001
2021-06-14,20.40375
2021-06-15,16.98375
2021-06-16,20.445
2021-06-17,18.6
2021-06-18,15.433749
2021-06-19,13.6675
2021-06-20,14.30875
2021-06-21,12.6175
2021-06-22,14.07875
2021-06-23,13.6725
2021-06-24,15.883749
2021-06-25,16.44375
2021-06-26,16.545
2021-06-27,17.30625
2021-06-28,16.137499
2021-06-29,15.9775
2021-06-30,14.52375
2021-07-01,14.78375
2021-07-02,17.9475
2021-07-03,18.66375
2021-07-04,18.321249
2021-07-05,17.22375
2021-07-06,16.65875
2021-07-07,17.5175
2021-07-08,17.58625
2021-07-09,18.05
2021-07-10,16.9525
2021-07-11,16.884998
2021-07-12,17.7475
2021-07-13,17.9725
2021-07-14,18.20875
2021-07-15,17.5375
2021-07-16,17.83625
2021-07-17,20.25875
2021-07-18,22.272497
2021-07-19,21.665
2021-07-20,21.769999
2021-07-21,21.638752
2021-07-22,20.606249
2021-07-23,18.05
2021-07-24,18.575
2021-07-25,18.93875
2021-07-26,19.536251
2021-07-27,19.2925
2021-07-28,18.18375
2021-07-29,16.974998
2021-07-30,16.5425
2021-07-31,17.59125
