time,DE80O
2021-01-01,1.89
2021-01-02,3.13
2021-01-03,3.1325
2021-01-04,3.6275
2021-01-05,2.5675
2021-01-06,2.8925
2021-01-07,1.3775
2021-01-08,0.42999998
2021-01-09,1.05
2021-01-10,1.105
2021-01-11,5.2625
2021-01-12,6.37
2021-01-13,2.8949997
2021-01-14,3.1525002
2021-01-15,1.3824999
2021-01-16,3.0774999
2021-01-17,5.2225
2021-01-18,4.8149996
2021-01-19,7.5849996
2021-01-20,9.825
2021-01-21,4.9275
2021-01-22,3.4175
2021-01-23,1.8725
2021-01-24,0.2175
2021-01-25,1.5699999
2021-01-26,3.1799998
2021-01-27,5.83
2021-01-28,6.9625
2021-01-29,7.5325003
2021-01-30,3.2725
2021-01-31,1.525
2021-02-01,3.4899998
2021-02-02,4.62
2021-02-03,7.4849997
2021-02-04,5.6649995
2021-02-05,7.625
2021-02-06,4.74
2021-02-07,0.90250003
2021-02-08,-1.4275
2021-02-09,-0.63
2021-02-10,-0.54999995
2021-02-11,-1.8275
2021-02-12,-1.5525
2021-02-13,-1.2249999
2021-02-14,1.5424999
2021-02-15,5.9824996
2021-02-16,8.26
2021-02-17,8.395
2021-02-18,8.2625
2021-02-19,6.6375
2021-02-20,10.634999
2021-02-21,10.992499
2021-02-22,9.3324995
2021-02-23,9.327499
2021-02-24,12.9225
2021-02-25,10.0875
2021-02-26,6.985
2021-02-27,5.4224997
2021-02-28,5.8
2021-03-01,3.725
2021-03-02,5.2025
2021-03-03,3.9650002
2021-03-04,4.8199997
2021-03-05,4.1425
2021-03-06,3.09
2021-03-07,3.9074998
2021-03-08,5.015
2021-03-09,7.3749995
2021-03-10,6.62
2021-03-11,9.63
2021-03-12,6.6575
2021-03-13,6.65
2021-03-14,6.9675
2021-03-15,7.9749994
2021-03-16,7.48
2021-03-17,7.055
2021-03-18,6.7425003
2021-03-19,6.8274994
2021-03-20,7.0924997
2021-03-21,7.3824997
2021-03-22,5.83
2021-03-23,6.52
2021-03-24,8.4275
2021-03-25,7.9300003
2021-03-26,9.747499
2021-03-27,6.725
2021-03-28,10.1175
2021-03-29,12.3775
2021-03-30,11.615
2021-03-31,13.7775
2021-04-01,8.2925
2021-04-02,6.4100003
2021-04-03,6.415
2021-04-04,7.4225
2021-04-05,4.42
2021-04-06,2.8225
2021-04-07,2.7675
2021-04-08,7.5575
2021-04-09,6.9225
2021-04-10,4.7574997
2021-04-11,3.52
2021-04-12,3.6525
2021-04-13,4.8075
2021-04-14,4.7524996
2021-04-15,4.785
2021-04-16,5.02
2021-04-17,5.25
2021-04-18,6.02
2021-04-19,8.049999
2021-04-20,8.17
2021-04-21,7.7874994
2021-04-22,5.4775
2021-04-23,6.9625
2021-04-24,7.765
2021-04-25,6.815
2021-04-26,6.77
2021-04-27,7.6925
2021-04-28,8.675
2021-04-29,6.62
2021-04-30,6.0424995
2021-05-01,5.785
2021-05-02,6.44
2021-05-03,8.52
2021-05-04,9.0075
2021-05-05,7.3824997
2021-05-06,5.925
2021-05-07,6.6349998
2021-05-08,10.0525
2021-05-09,14.93
2021-05-10,13.084999
2021-05-11,11.157499
2021-05-12,11.557499
2021-05-13,11.3975
2021-05-14,9.3275
2021-05-15,9.8625
2021-05-16,10.994999
2021-05-17,10.995001
2021-05-18,10.65
2021-05-19,11.57
2021-05-20,9.3425
2021-05-21,11.1825
2021-05-22,9.815
2021-05-23,9.0525
2021-05-24,10.7575
2021-05-25,10.3175
2021-05-26,10.0199995
2021-05-27,10.860001
2021-05-28,12.2175
2021-05-29,13.2925
2021-05-30,11.62
2021-05-31,12.6449995
2021-06-01,15.81
2021-06-02,16.695
2021-06-03,17.01
2021-06-04,14.79
2021-06-05,15.0275
2021-06-06,15.602499
2021-06-07,16.735
2021-06-08,16.845
2021-06-09,17.672499
2021-06-10,17.932499
2021-06-11,18.0525
2021-06-12,15.985001
2021-06-13,16.7925
2021-06-14,19.225
2021-06-15,15.002499
2021-06-16,20.2925
2021-06-17,17.6925
2021-06-18,14.7075
2021-06-19,13.07
2021-06-20,13.672499
2021-06-21,13.08
2021-06-22,13.945
2021-06-23,12.65
2021-06-24,15.335001
2021-06-25,15.6075
2021-06-26,15.3375
2021-06-27,16.3325
2021-06-28,15.51
2021-06-29,15.15
2021-06-30,14.004999
2021-07-01,13.915
2021-07-02,16.755
2021-07-03,18.0625
2021-07-04,17.855
2021-07-05,16.942501
2021-07-06,16.3675
2021-07-07,17.179998
2021-07-08,17.36
2021-07-09,17.414999
2021-07-10,17.064999
2021-07-11,16.88
2021-07-12,17.23
2021-07-13,16.605
2021-07-14,17.255
2021-07-15,16.4925
2021-07-16,16.707499
2021-07-17,18.78
2021-07-18,20.7525
2021-07-19,19.5075
2021-07-20,20.2475
2021-07-21,20.045
2021-07-22,18.84
2021-07-23,17.024998
2021-07-24,18.025
2021-07-25,18.502499
2021-07-26,19.162498
2021-07-27,18.235
2021-07-28,17.66
2021-07-29,16.275
2021-07-30,16.2275
2021-07-31,17.065
2021-08-01,15.2975
2021-08-02,14.9425
2021-08-03,16.145
2021-08-04,16.357498
2021-08-05,17.66
2021-08-06,18.3325
2021-08-07,16.6075
2021-08-08,17.037498
2021-08-09,16.967499
2021-08-10,17.165
2021-08-11,16.9325
2021-08-12,18.0225
2021-08-13,17.57
2021-08-14,17.974998
2021-08-15,18.195
2021-08-16,15.609999
2021-08-17,14.5175
2021-08-18,17.627499
2021-08-19,16.724998
2021-08-20,17.085
2021-08-21,17.965
2021-08-22,17.125
2021-08-23,16.8975
2021-08-24,17.01
2021-08-25,16.43
2021-08-26,15.9625
2021-08-27,15.467501
2021-08-28,15.9675
2021-08-29,14.657499
2021-08-30,16.0275
2021-08-31,15.799999
2021-09-01,15.719999
2021-09-02,16.1475
2021-09-03,16.1525
2021-09-04,16.175
2021-09-05,17.02
2021-09-06,18.9725
2021-09-07,20.329998
2021-09-08,20.1775
2021-09-09,20.0125
2021-09-10,19.832499
2021-09-11,18.8675
2021-09-12,15.527499
2021-09-13,15.662498
2021-09-14,16.5475
2021-09-15,16.575
2021-09-16,16.1875
2021-09-17,16.0275
2021-09-18,18.05
2021-09-19,17.9025
2021-09-20,15.5725
2021-09-21,14.997499
2021-09-22,15.164999
2021-09-23,16.095
2021-09-24,17.19
2021-09-25,17.65
2021-09-26,17.787498
2021-09-27,15.804999
2021-09-28,14.5375
2021-09-29,12.344999
2021-09-30,11.3825
2021-10-01,15.067499
2021-10-02,10.885
2021-10-03,12.48
2021-10-04,13.544999
2021-10-05,12.517499
2021-10-06,12.4325
2021-10-07,14.195001
2021-10-08,15.33
2021-10-09,12.935
2021-10-10,13.19
2021-10-11,11.622499
2021-10-12,11.7525
2021-10-13,11.3875
2021-10-14,13.327499
2021-10-15,11.58
2021-10-16,10.6075
2021-10-17,12.51
2021-10-18,13.0625
2021-10-19,17.2825
2021-10-20,14.842499
2021-10-21,9.162499
2021-10-22,8.932499
2021-10-23,10.532499
2021-10-24,12.0075
2021-10-25,12.3425
2021-10-26,11.15
2021-10-27,14.6449995
2021-10-28,13.914999
2021-10-29,13.044999
2021-10-30,11.277499
2021-10-31,9.967501
2021-11-01,9.559999
2021-11-02,7.075
2021-11-03,5.9749994
2021-11-04,7.6549997
2021-11-05,6.865
2021-11-06,10.129999
2021-11-07,9.43
2021-11-08,6.5224996
2021-11-09,11.0875
2021-11-10,11.1525
2021-11-11,10.5025
2021-11-12,11.072499
2021-11-13,11.754999
2021-11-14,10.63
2021-11-15,9.1375
2021-11-16,7.0975
2021-11-17,8.7175
2021-11-18,9.295
2021-11-19,10.759999
2021-11-20,8.8925
2021-11-21,6.9375
2021-11-22,6.2025
2021-11-23,5.5149994
2021-11-24,5.5
2021-11-25,4.6375
2021-11-26,4.7075
2021-11-27,3.4025
2021-11-28,2.07
2021-11-29,1.0675
2021-11-30,7.175
2021-12-01,8.6449995
2021-12-02,2.8574998
2021-12-03,3.725
2021-12-04,4.5125
2021-12-05,4.575
2021-12-06,3.115
2021-12-07,3.0
2021-12-08,5.55
2021-12-09,5.2574997
2021-12-10,4.975
2021-12-11,3.2575
2021-12-12,9.4625
2021-12-13,9.865
2021-12-14,9.422501
2021-12-15,9.33
2021-12-16,8.2
2021-12-17,5.6825
2021-12-18,6.2
2021-12-19,4.6825
2021-12-20,5.0025
2021-12-21,3.4475
2021-12-22,1.105
2021-12-23,4.5675
2021-12-24,6.3525
2021-12-25,4.6524997
2021-12-26,4.88
2021-12-27,7.1124997
2021-12-28,8.6225
2021-12-29,8.247499
2021-12-30,10.8775
2021-12-31,12.702499
