time,DE94E
2021-01-01,4.58
2021-01-02,5.9369993
2021-01-03,5.665
2021-01-04,2.688
2021-01-05,1.0020001
2021-01-06,1.9979999
2021-01-07,1.734
2021-01-08,2.179
2021-01-09,2.783
2021-01-10,1.7219999
2021-01-11,-0.16199999
2021-01-12,0.8540001
2021-01-13,1.849
2021-01-14,2.7969997
2021-01-15,1.4049999
2021-01-16,-0.49699998
2021-01-17,-2.1369998
2021-01-18,0.006999993
2021-01-19,2.498
2021-01-20,4.6549997
2021-01-21,9.043001
2021-01-22,9.080999
2021-01-23,6.1519995
2021-01-24,4.7130003
2021-01-25,2.7349997
2021-01-26,0.93099993
2021-01-27,0.8079999
2021-01-28,2.3379998
2021-01-29,7.396
2021-01-30,7.417
2021-01-31,5.3229995
2021-02-01,4.3310003
2021-02-02,6.447
2021-02-03,9.473999
2021-02-04,10.289
2021-02-05,9.309
2021-02-06,8.451
2021-02-07,9.761999
2021-02-08,5.5579996
2021-02-09,6.256
2021-02-10,5.356
2021-02-11,6.055
2021-02-12,-0.26299998
2021-02-13,-4.49
2021-02-14,-5.047
2021-02-15,-2.6939998
2021-02-16,0.67100006
2021-02-17,4.4799995
2021-02-18,5.7939997
2021-02-19,5.671
2021-02-20,7.695999
2021-02-21,7.0379996
2021-02-22,7.956
2021-02-23,9.514
2021-02-24,10.836
2021-02-25,11.545
2021-02-26,10.414999
2021-02-27,7.1200004
2021-02-28,3.936
2021-03-01,3.8969998
2021-03-02,5.52
2021-03-03,8.235
2021-03-04,5.8919997
2021-03-05,4.1649995
2021-03-06,0.81899995
2021-03-07,2.074
2021-03-08,4.702
2021-03-09,2.855
2021-03-10,3.181
2021-03-11,3.8849998
2021-03-12,5.9549994
2021-03-13,6.4690003
2021-03-14,3.3499997
2021-03-15,2.8109999
2021-03-16,1.867
2021-03-17,0.73999995
2021-03-18,-0.59999996
2021-03-19,-1.148
2021-03-20,-0.26999998
2021-03-21,0.658
2021-03-22,1.212
2021-03-23,0.995
2021-03-24,3.6129997
2021-03-25,5.63
2021-03-26,6.1979995
2021-03-27,6.1169996
2021-03-28,7.519
2021-03-29,8.835
2021-03-30,10.478999
2021-03-31,11.934
2021-04-01,14.644
2021-04-02,11.017
2021-04-03,8.259999
2021-04-04,4.443
2021-04-05,4.723
2021-04-06,2.873
2021-04-07,-0.13500002
2021-04-08,1.492
2021-04-09,3.591
2021-04-10,4.344
2021-04-11,6.6229997
2021-04-12,6.9759994
2021-04-13,3.227
2021-04-14,2.291
2021-04-15,2.867
2021-04-16,3.074
2021-04-17,3.6959999
2021-04-18,3.7199998
2021-04-19,3.616
2021-04-20,4.1379995
