time,DE94G
2021-01-01,8.715
2021-01-02,9.76
2021-01-03,9.664999
2021-01-04,6.75
2021-01-05,6.04
2021-01-06,7.425
2021-01-07,6.515
2021-01-08,6.7149997
2021-01-09,6.5
2021-01-10,6.4449997
2021-01-11,4.8199997
2021-01-12,5.37
2021-01-13,5.5249996
2021-01-14,6.045
2021-01-15,5.915
2021-01-16,4.3549995
2021-01-17,2.0149999
2021-01-18,3.255
2021-01-19,4.64
2021-01-20,7.7799997
2021-01-21,11.395
2021-01-22,12.79
2021-01-23,11.09
2021-01-24,9.025
2021-01-25,6.14
2021-01-26,5.3900003
2021-01-27,4.21
2021-01-28,5.5299997
2021-01-29,8.645
2021-01-30,11.349999
2021-01-31,9.139999
2021-02-01,8.295
2021-02-02,9.469999
2021-02-03,10.889999
2021-02-04,11.209999
2021-02-05,11.495
2021-02-06,11.379999
2021-02-07,13.0
2021-02-08,10.965
2021-02-09,11.174999
2021-02-10,10.860001
2021-02-11,10.52
2021-02-12,4.455
2021-02-13,1.98
2021-02-14,1.275
2021-02-15,2.2849998
2021-02-16,3.87
2021-02-17,6.31
2021-02-18,7.8949995
2021-02-19,8.94
2021-02-20,11.17
2021-02-21,10.039999
2021-02-22,10.414999
2021-02-23,11.11
2021-02-24,13.555
2021-02-25,13.690001
2021-02-26,11.945
2021-02-27,9.735001
2021-02-28,8.61
2021-03-01,8.014999
2021-03-02,9.08
2021-03-03,10.934999
2021-03-04,8.855
2021-03-05,9.299999
2021-03-06,5.7299995
2021-03-07,5.175
2021-03-08,7.46
2021-03-09,7.58
2021-03-10,7.415
2021-03-11,7.6449995
2021-03-12,10.735
2021-03-13,10.934999
2021-03-14,8.72
2021-03-15,7.7949996
2021-03-16,7.5199995
2021-03-17,6.17
2021-03-18,5.135
2021-03-19,4.3199997
2021-03-20,5.39
2021-03-21,5.505
2021-03-22,6.395
2021-03-23,6.3099995
2021-03-24,7.505
2021-03-25,9.295
2021-03-26,10.025
2021-03-27,11.094999
