time,DEA1B
2021-01-01,2.0275
2021-01-02,1.9399998
2021-01-03,0.81
2021-01-04,0.71
2021-01-05,1.7125
2021-01-06,1.745
2021-01-07,0.73
2021-01-08,0.74
2021-01-09,1.2575
2021-01-10,0.20749998
2021-01-11,0.9625
2021-01-12,1.6875
2021-01-13,1.3625
2021-01-14,1.185
2021-01-15,-0.53749996
2021-01-16,-1.8175
2021-01-17,-3.165
2021-01-18,-0.64
2021-01-19,2.56
2021-01-20,6.0225
2021-01-21,8.16
2021-01-22,6.2124996
2021-01-23,0.865
2021-01-24,0.6375
2021-01-25,0.745
2021-01-26,0.4425
2021-01-27,1.5224999
2021-01-28,1.26
2021-01-29,-1.4699999
2021-01-30,-1.77
2021-01-31,-7.4825
2021-02-01,-3.4925
2021-02-02,0.16499999
2021-02-03,3.245
2021-02-04,0.8175
2021-02-05,-0.0875
2021-02-06,-1.875
2021-02-07,-5.77
2021-02-08,-8.53
2021-02-09,-9.089999
2021-02-10,-8.4275
2021-02-11,-4.8849998
2021-02-12,-6.075
2021-02-13,-8.105
2021-02-14,-7.9199996
2021-02-15,-5.1475
2021-02-16,1.845
2021-02-17,4.5924997
2021-02-18,6.4049997
2021-02-19,5.545
2021-02-20,6.1975
2021-02-21,8.9475
2021-02-22,6.1699996
2021-02-23,10.4275
2021-02-24,12.2625
2021-02-25,11.2675
2021-02-26,7.3374996
2021-02-27,4.615
2021-02-28,2.485
2021-03-01,3.445
2021-03-02,1.42
2021-03-03,5.97
2021-03-04,3.33
2021-03-05,1.43
2021-03-06,0.98
2021-03-07,2.8149998
2021-03-08,1.4224999
2021-03-09,1.1975
2021-03-10,2.395
2021-03-11,6.52
2021-03-12,7.0675
2021-03-13,5.7574997
2021-03-14,4.96
2021-03-15,4.6225004
2021-03-16,4.34
2021-03-17,1.7674999
2021-03-18,2.0525
2021-03-19,0.3075
2021-03-20,1.05
2021-03-21,5.47
2021-03-22,4.99
2021-03-23,5.605
2021-03-24,7.5399995
2021-03-25,7.9924994
2021-03-26,9.7074995
2021-03-27,5.9925
2021-03-28,7.2275
2021-03-29,13.734999
2021-03-30,13.522499
2021-03-31,13.599999
2021-04-01,10.37
2021-04-02,5.5325
2021-04-03,5.0225
2021-04-04,4.1625
2021-04-05,3.5049999
2021-04-06,1.3125
2021-04-07,2.6425
2021-04-08,4.0449996
2021-04-09,7.4275
2021-04-10,6.8349996
2021-04-11,10.22
2021-04-12,4.5075
2021-04-13,4.1124997
2021-04-14,4.0874996
2021-04-15,4.1425
2021-04-16,7.0874996
2021-04-17,8.725
2021-04-18,6.9225
2021-04-19,9.1675005
2021-04-20,10.49
2021-04-21,9.525001
2021-04-22,7.1624994
2021-04-23,7.9725
2021-04-24,6.7499995
2021-04-25,5.7124996
2021-04-26,4.2375
2021-04-27,6.505
2021-04-28,10.74
2021-04-29,10.145
2021-04-30,7.99
2021-05-01,8.8875
2021-05-02,8.1975
2021-05-03,6.9400005
2021-05-04,10.037499
2021-05-05,8.4675
2021-05-06,7.4225
2021-05-07,5.165
2021-05-08,9.2425
2021-05-09,18.759998
2021-05-10,21.0175
2021-05-11,18.5375
2021-05-12,12.737499
2021-05-13,11.1125
2021-05-14,9.7625
2021-05-15,12.335
2021-05-16,11.9125
2021-05-17,12.65
2021-05-18,11.259999
2021-05-19,12.122499
2021-05-20,12.3375
2021-05-21,14.3825
2021-05-22,12.0125
2021-05-23,11.599998
2021-05-24,15.049999
