time,DEA1D
2021-01-01,0.10428571
2021-01-02,4.1699996
2021-01-03,4.9571424
2021-01-04,3.8614287
2021-01-05,1.2471428
2021-01-06,0.91999996
2021-01-07,-0.2485714
2021-01-08,-0.85571426
2021-01-09,-1.0457143
2021-01-10,-4.2842855
2021-01-11,-5.1557136
2021-01-12,-4.6914287
2021-01-13,-1.24
2021-01-14,-1.7242857
2021-01-15,-4.25
2021-01-16,-6.182857
2021-01-17,-9.03
2021-01-18,-9.197143
2021-01-19,-2.3414285
2021-01-20,1.9328572
2021-01-21,4.7014284
2021-01-22,5.641429
2021-01-23,4.167143
2021-01-24,1.1814286
2021-01-25,-0.20428573
2021-01-26,-1.6099999
2021-01-27,-2.5057144
2021-01-28,-2.9014285
2021-01-29,0.44285718
2021-01-30,0.9071428
2021-01-31,-3.0328572
2021-02-01,-3.6328568
2021-02-02,-0.93428564
2021-02-03,3.045714
2021-02-04,5.06
2021-02-05,2.1214285
2021-02-06,0.9157142
2021-02-07,-0.15571424
2021-02-08,-1.5271429
2021-02-09,-2.6828573
2021-02-10,-3.8414283
2021-02-11,-8.015715
2021-02-12,-10.302856
2021-02-13,-8.23
2021-02-14,-7.3814287
2021-02-15,-7.59
2021-02-16,-4.1699996
2021-02-17,0.2957143
2021-02-18,2.69
2021-02-19,1.2514285
2021-02-20,2.9214284
2021-02-21,2.5171428
2021-02-22,5.845714
2021-02-23,2.8442857
2021-02-24,7.0157137
2021-02-25,8.718572
2021-02-26,8.217142
2021-02-27,4.1828566
2021-02-28,2.5957143
2021-03-01,2.5114286
2021-03-02,3.327143
2021-03-03,5.0299997
2021-03-04,3.9399998
2021-03-05,0.36428568
2021-03-06,-2.2728572
2021-03-07,-1.7857141
2021-03-08,-2.7828572
2021-03-09,-2.7885716
2021-03-10,-1.9628571
2021-03-11,-0.6942857
2021-03-12,3.4014285
2021-03-13,5.7628565
2021-03-14,4.5042853
2021-03-15,1.8528572
2021-03-16,1.1957141
2021-03-17,1.8571427
2021-03-18,-0.11857144
2021-03-19,-1.9071428
2021-03-20,-3.7685711
2021-03-21,-3.624286
2021-03-22,-0.3257143
2021-03-23,1.5199999
2021-03-24,3.1928573
2021-03-25,3.2842858
2021-03-26,6.1971426
2021-03-27,8.747142
2021-03-28,4.1585712
2021-03-29,6.8685718
2021-03-30,11.534286
2021-03-31,11.632857
2021-04-01,13.482856
2021-04-02,7.357143
2021-04-03,2.6514285
2021-04-04,1.2457142
2021-04-05,4.892857
2021-04-06,0.35571426
2021-04-07,-0.9771428
2021-04-08,-0.48
2021-04-09,4.3900003
2021-04-10,9.344285
2021-04-11,9.532857
2021-04-12,9.947144
2021-04-13,1.4742857
2021-04-14,2.0928571
2021-04-15,1.4842856
2021-04-16,2.002857
2021-04-17,3.3014286
2021-04-18,6.2599998
2021-04-19,6.5242853
