time,DEA1E
2021-01-01,0.885
2021-01-02,4.0966663
2021-01-03,6.2166667
2021-01-04,6.090833
2021-01-05,3.4966667
2021-01-06,2.591667
2021-01-07,1.7866668
2021-01-08,0.21333335
2021-01-09,0.8641667
2021-01-10,-1.7158333
2021-01-11,-2.5633333
2021-01-12,-4.0975003
2021-01-13,0.6858334
2021-01-14,0.41166666
2021-01-15,-0.8475
2021-01-16,-3.7016666
2021-01-17,-3.62
2021-01-18,-7.656667
2021-01-19,-0.9716666
2021-01-20,3.7883332
2021-01-21,6.285833
2021-01-22,7.481666
2021-01-23,7.7325
2021-01-24,4.263333
2021-01-25,2.5833335
2021-01-26,0.68000007
2021-01-27,0.4533333
2021-01-28,-1.0658332
2021-01-29,1.5408334
2021-01-30,5.838333
2021-01-31,1.0625
2021-02-01,-1.5766667
2021-02-02,-0.61499995
2021-02-03,3.653333
2021-02-04,7.894167
2021-02-05,4.6924996
2021-02-06,4.681666
2021-02-07,3.0891666
2021-02-08,4.0433335
2021-02-09,-0.35166666
2021-02-10,-0.8149999
2021-02-11,-4.4591665
2021-02-12,-7.7274995
2021-02-13,-7.3350005
2021-02-14,-3.6599998
2021-02-15,-4.025833
2021-02-16,-2.5200002
2021-02-17,2.275
2021-02-18,5.4683337
2021-02-19,2.8566666
2021-02-20,2.7116663
2021-02-21,3.2633333
2021-02-22,7.7075
2021-02-23,4.0966663
2021-02-24,7.4516664
2021-02-25,9.345834
2021-02-26,9.415
2021-02-27,6.8274994
2021-02-28,4.5091662
2021-03-01,5.2391663
2021-03-02,5.685
2021-03-03,6.7658334
2021-03-04,6.8716664
2021-03-05,5.0308332
2021-03-06,1.0033333
2021-03-07,1.2858332
2021-03-08,0.9624999
2021-03-09,-0.010000001
2021-03-10,1.5875001
2021-03-11,0.5391666
2021-03-12,7.8991666
2021-03-13,7.506666
2021-03-14,8.015834
2021-03-15,5.735
2021-03-16,4.3325
2021-03-17,5.130833
2021-03-18,3.1975002
2021-03-19,0.8008332
2021-03-20,-0.35583332
2021-03-21,-1.6791667
2021-03-22,3.1374998
2021-03-23,3.5874999
2021-03-24,6.230833
2021-03-25,5.408333
2021-03-26,8.2425
2021-03-27,11.32
2021-03-28,8.409999
2021-03-29,9.0975
2021-03-30,15.075833
2021-03-31,14.094166
2021-04-01,15.685
2021-04-02,13.049167
2021-04-03,6.8624997
2021-04-04,4.9641666
2021-04-05,6.355833
2021-04-06,4.205833
2021-04-07,1.7583332
2021-04-08,2.4741666
2021-04-09,5.315
2021-04-10,11.115832
2021-04-11,10.918334
2021-04-12,14.033333
2021-04-13,4.401666
2021-04-14,4.5866666
2021-04-15,4.4083333
2021-04-16,4.401667
2021-04-17,5.9375
2021-04-18,8.464166
2021-04-19,8.949166
2021-04-20,10.349166
2021-04-21,10.418333
2021-04-22,11.166667
2021-04-23,7.7608333
2021-04-24,7.9233336
2021-04-25,9.810833
2021-04-26,6.210833
2021-04-27,6.7341666
2021-04-28,10.0616665
2021-04-29,15.023334
2021-04-30,15.7275
2021-05-01,16.854166
2021-05-02,15.310832
2021-05-03,10.033334
2021-05-04,11.52
2021-05-05,14.405833
2021-05-06,9.703333
2021-05-07,11.662499
2021-05-08,8.870833
2021-05-09,13.336666
2021-05-10,18.5025
2021-05-11,20.618334
2021-05-12,18.6225
2021-05-13,13.204165
2021-05-14,12.849999
2021-05-15,12.857499
2021-05-16,15.289166
2021-05-17,12.509999
2021-05-18,14.099167
2021-05-19,11.616666
2021-05-20,13.874999
2021-05-21,13.237499
2021-05-22,13.116666
2021-05-23,11.065833
2021-05-24,11.234166
2021-05-25,13.3875
2021-05-26,11.947501
2021-05-27,13.809166
2021-05-28,14.059167
2021-05-29,13.656667
2021-05-30,12.520832
2021-05-31,12.857499
2021-06-01,13.577499
2021-06-02,15.047501
2021-06-03,16.503332
2021-06-04,18.348333
2021-06-05,19.5325
2021-06-06,20.828333
2021-06-07,20.238333
2021-06-08,20.699167
2021-06-09,20.72
2021-06-10,20.431665
2021-06-11,19.609165
2021-06-12,20.956667
2021-06-13,17.163332
2021-06-14,15.593333
2021-06-15,17.431667
2021-06-16,20.853333
2021-06-17,22.169998
2021-06-18,23.341665
2021-06-19,23.944166
2021-06-20,25.195831
2021-06-21,25.591665
2021-06-22,26.1825
2021-06-23,25.967499
2021-06-24,27.826666
2021-06-25,24.180834
2021-06-26,22.4975
2021-06-27,22.203333
2021-06-28,24.042498
