time,DEA1F
2021-01-01,-0.9491666
2021-01-02,2.075833
2021-01-03,2.6324997
2021-01-04,1.9658333
2021-01-05,-0.3925
2021-01-06,-1.0258332
2021-01-07,-2.2591665
2021-01-08,-3.5583334
2021-01-09,-3.9858332
2021-01-10,-6.290833
2021-01-11,-6.9125
2021-01-12,-6.1158333
2021-01-13,-2.7124999
2021-01-14,-4.0975003
2021-01-15,-6.039167
2021-01-16,-8.835
2021-01-17,-10.785
2021-01-18,-11.976666
2021-01-19,-4.9
2021-01-20,0.4383333
2021-01-21,2.1416667
2021-01-22,3.7016666
2021-01-23,2.783333
2021-01-24,0.40499997
2021-01-25,-2.6766665
2021-01-26,-4.2341666
2021-01-27,-5.3574996
2021-01-28,-5.853333
2021-01-29,-1.8983334
2021-01-30,-1.3433332
2021-01-31,-5.869166
2021-02-01,-6.471667
2021-02-02,-2.6416667
2021-02-03,2.3491666
2021-02-04,3.6841667
2021-02-05,-0.00499999
2021-02-06,-1.6999999
2021-02-07,-3.5874996
2021-02-08,-4.0399995
2021-02-09,-5.545
2021-02-10,-6.2724996
2021-02-11,-9.8025
2021-02-12,-13.658333
2021-02-13,-11.145
2021-02-14,-8.876666
2021-02-15,-8.781667
2021-02-16,-6.4091663
2021-02-17,-1.4875001
2021-02-18,1.3691665
2021-02-19,0.37833333
2021-02-20,2.6008332
2021-02-21,1.9191666
2021-02-22,5.288333
2021-02-23,3.5591667
2021-02-24,8.298333
2021-02-25,9.05
2021-02-26,7.646666
2021-02-27,2.9350002
2021-02-28,1.0699999
2021-03-01,1.9733332
2021-03-02,3.6274998
2021-03-03,5.679167
2021-03-04,3.945
2021-03-05,-1.1225
2021-03-06,-3.7883332
2021-03-07,-2.6391666
2021-03-08,-3.9633334
2021-03-09,-4.7066665
2021-03-10,-4.4533334
2021-03-11,-3.3675
2021-03-12,1.7166666
2021-03-13,2.79
2021-03-14,2.7441664
2021-03-15,0.26916665
2021-03-16,-1.2366667
2021-03-17,-0.5716667
2021-03-18,-2.2866666
2021-03-19,-4.185
2021-03-20,-6.1691666
2021-03-21,-5.5316663
2021-03-22,-2.4533331
2021-03-23,-0.82249993
2021-03-24,1.0175
2021-03-25,2.0833333
2021-03-26,4.3416667
2021-03-27,6.5083337
2021-03-28,2.8391666
2021-03-29,4.7533336
2021-03-30,9.284166
2021-03-31,11.499167
2021-04-01,11.986667
2021-04-02,5.2208333
2021-04-03,0.93333334
2021-04-04,-0.78999996
2021-04-05,2.1316664
2021-04-06,-0.8741667
2021-04-07,-3.7825
2021-04-08,-2.8183334
2021-04-09,1.5141667
2021-04-10,6.8675
2021-04-11,6.2825
2021-04-12,8.338333
2021-04-13,0.3516666
2021-04-14,-0.38916668
2021-04-15,-0.90333337
2021-04-16,-0.67249995
2021-04-17,0.8583333
2021-04-18,3.655
2021-04-19,4.1558332
2021-04-20,5.905
2021-04-21,6.2358327
2021-04-22,5.475
2021-04-23,2.0041666
2021-04-24,3.8100002
2021-04-25,2.7083333
2021-04-26,1.2925
2021-04-27,2.5475
2021-04-28,6.568333
2021-04-29,9.454999
2021-04-30,10.786666
2021-05-01,10.4025
2021-05-02,8.924167
2021-05-03,4.9974995
2021-05-04,7.888333
2021-05-05,8.553334
2021-05-06,5.7391663
2021-05-07,6.819999
2021-05-08,5.089166
2021-05-09,9.798333
2021-05-10,14.9075
2021-05-11,17.602499
2021-05-12,16.485834
2021-05-13,11.658333
2021-05-14,9.260833
2021-05-15,10.081667
2021-05-16,9.453334
2021-05-17,7.6550007
2021-05-18,8.835
2021-05-19,7.855
2021-05-20,8.7908325
2021-05-21,9.005834
2021-05-22,8.864166
2021-05-23,7.3333335
2021-05-24,9.703333
2021-05-25,9.263333
2021-05-26,10.048333
2021-05-27,10.2775
2021-05-28,10.5275
2021-05-29,8.66
2021-05-30,7.7175
2021-05-31,8.829999
2021-06-01,9.481667
2021-06-02,10.982499
2021-06-03,12.383332
2021-06-04,14.366666
2021-06-05,15.059166
2021-06-06,14.807499
2021-06-07,15.238334
2021-06-08,15.983334
2021-06-09,16.149166
2021-06-10,15.061667
