time,DEA26
2021-01-01,10.0
2021-01-02,10.35
2021-01-03,10.039999
2021-01-04,6.975
2021-01-05,6.955
2021-01-06,9.555
2021-01-07,12.299999
2021-01-08,14.424999
2021-01-09,12.16
2021-01-10,11.945
2021-01-11,11.605
2021-01-12,8.959999
2021-01-13,8.639999
2021-01-14,5.6949997
2021-01-15,6.1499996
2021-01-16,4.7799997
2021-01-17,2.3049998
2021-01-18,5.865
2021-01-19,5.165
2021-01-20,7.29
2021-01-21,13.475
2021-01-22,14.01
2021-01-23,10.135
2021-01-24,11.905
2021-01-25,10.82
2021-01-26,7.5249996
2021-01-27,4.955
2021-01-28,8.28
2021-01-29,11.285
2021-01-30,11.959999
2021-01-31,9.23
2021-02-01,10.825
2021-02-02,14.059999
2021-02-03,16.335
2021-02-04,14.219999
2021-02-05,16.099998
2021-02-06,14.52
2021-02-07,12.44
2021-02-08,8.2
2021-02-09,8.84
2021-02-10,9.35
2021-02-11,13.639999
2021-02-12,8.57
2021-02-13,6.9799995
2021-02-14,1.44
2021-02-15,1.9549999
2021-02-16,2.7999997
2021-02-17,7.9249997
2021-02-18,8.705
2021-02-19,8.889999
2021-02-20,9.855
2021-02-21,10.815001
2021-02-22,12.744999
2021-02-23,9.28
2021-02-24,12.424999
2021-02-25,11.6
2021-02-26,11.24
2021-02-27,9.57
2021-02-28,
2021-03-01,8.74
2021-03-02,9.785
2021-03-03,12.0
2021-03-04,9.12
2021-03-05,5.835
2021-03-06,6.845
2021-03-07,9.055
2021-03-08,10.349999
2021-03-09,9.525
2021-03-10,10.43
2021-03-11,8.94
2021-03-12,10.459999
2021-03-13,13.705
2021-03-14,10.764999
2021-03-15,9.485
2021-03-16,8.059999
2021-03-17,6.745
2021-03-18,5.915
2021-03-19,5.96
2021-03-20,6.8199997
2021-03-21,8.684999
2021-03-22,6.7749996
2021-03-23,5.465
2021-03-24,6.1549997
2021-03-25,7.9349995
2021-03-26,9.51
2021-03-27,10.01
2021-03-28,11.065001
2021-03-29,10.664999
2021-03-30,10.799999
2021-03-31,12.184999
2021-04-01,16.845
2021-04-02,9.61
2021-04-03,13.809999
2021-04-04,12.53
2021-04-05,10.344999
2021-04-06,9.535
2021-04-07,10.74
2021-04-08,6.8599997
2021-04-09,8.155
2021-04-10,8.674999
2021-04-11,12.690001
2021-04-12,12.09
2021-04-13,11.219999
2021-04-14,8.545
2021-04-15,10.405001
2021-04-16,11.465
