time,DEA2A
2021-01-01,9.585
2021-01-02,11.23
2021-01-03,9.53
2021-01-04,5.935
2021-01-05,4.24
2021-01-06,8.059999
2021-01-07,11.475
2021-01-08,15.584999
2021-01-09,14.684999
2021-01-10,12.815001
2021-01-11,11.63
2021-01-12,10.19
2021-01-13,9.52
2021-01-14,5.615
2021-01-15,7.765
2021-01-16,6.67
2021-01-17,4.55
2021-01-18,7.335
2021-01-19,7.265
2021-01-20,9.17
2021-01-21,15.219999
2021-01-22,14.809999
2021-01-23,10.28
2021-01-24,12.379999
2021-01-25,11.855
2021-01-26,8.71
2021-01-27,6.505
2021-01-28,8.965
2021-01-29,10.179999
2021-01-30,8.485001
2021-01-31,6.02
2021-02-01,12.045
2021-02-02,18.685
2021-02-03,21.189999
2021-02-04,16.715
2021-02-05,18.224998
2021-02-06,14.68
2021-02-07,
2021-02-08,5.63
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,11.785
2021-02-13,9.955
2021-02-14,1.8199999
2021-02-15,3.0
2021-02-16,4.72
2021-02-17,9.395
2021-02-18,9.19
2021-02-19,8.7
2021-02-20,11.23
2021-02-21,12.37
2021-02-22,12.995
2021-02-23,9.809999
2021-02-24,14.065
2021-02-25,12.494999
2021-02-26,11.599999
2021-02-27,9.24
2021-02-28,
2021-03-01,7.785
2021-03-02,9.635
2021-03-03,
2021-03-04,8.24
2021-03-05,4.58
2021-03-06,6.455
2021-03-07,7.055
2021-03-08,9.514999
2021-03-09,10.445
2021-03-10,11.414999
2021-03-11,9.79
2021-03-12,11.115
2021-03-13,14.51
2021-03-14,10.615
2021-03-15,10.57
2021-03-16,9.969999
2021-03-17,7.1549997
2021-03-18,
2021-03-19,
2021-03-20,6.54
2021-03-21,10.68
2021-03-22,8.26
2021-03-23,6.2
2021-03-24,6.8099995
2021-03-25,
2021-03-26,
2021-03-27,10.155
2021-03-28,10.735001
2021-03-29,10.7
2021-03-30,10.34
2021-03-31,12.995
2021-04-01,
2021-04-02,9.205
2021-04-03,15.49
2021-04-04,14.045
2021-04-05,10.924999
2021-04-06,
2021-04-07,10.565
2021-04-08,7.8149996
2021-04-09,10.165
2021-04-10,8.395
2021-04-11,14.264999
2021-04-12,10.83
2021-04-13,11.834999
2021-04-14,9.744999
2021-04-15,11.37
2021-04-16,13.424999
2021-04-17,11.4
2021-04-18,12.844999
2021-04-19,9.559999
2021-04-20,10.275
2021-04-21,14.594999
2021-04-22,9.16
2021-04-23,10.98
2021-04-24,12.12
2021-04-25,10.869999
2021-04-26,14.09
2021-04-27,17.555
2021-04-28,17.025
2021-04-29,19.649998
2021-04-30,19.84
2021-05-01,16.275
2021-05-02,15.235
2021-05-03,12.84
2021-05-04,14.605
2021-05-05,12.735
2021-05-06,16.555
2021-05-07,15.809999
2021-05-08,14.744999
2021-05-09,18.42
2021-05-10,16.005001
2021-05-11,16.67
2021-05-12,16.814999
2021-05-13,15.879999
2021-05-14,14.805
2021-05-15,13.405
2021-05-16,16.725
2021-05-17,18.91
2021-05-18,16.24
2021-05-19,15.885
2021-05-20,14.665
2021-05-21,14.959999
2021-05-22,15.209999
2021-05-23,19.3
2021-05-24,23.849998
2021-05-25,18.369999
2021-05-26,17.875
2021-05-27,15.039999
2021-05-28,13.945
2021-05-29,15.584999
2021-05-30,15.425
2021-05-31,16.744999
2021-06-01,15.905
2021-06-02,19.064999
2021-06-03,18.965
2021-06-04,18.9
2021-06-05,19.095
2021-06-06,20.989998
2021-06-07,17.4
2021-06-08,16.895
2021-06-09,17.044998
2021-06-10,17.5
2021-06-11,19.675
2021-06-12,20.025
2021-06-13,16.16
2021-06-14,21.265
2021-06-15,23.23
2021-06-16,20.24
2021-06-17,21.205
2021-06-18,21.685
2021-06-19,22.064999
2021-06-20,23.595001
2021-06-21,25.41
2021-06-22,23.064999
2021-06-23,23.895
2021-06-24,24.365
2021-06-25,23.0
2021-06-26,23.56
2021-06-27,25.07
2021-06-28,26.724998
2021-06-29,26.54
2021-06-30,22.880001
2021-07-01,22.47
2021-07-02,20.775
2021-07-03,22.81
2021-07-04,21.925
2021-07-05,19.625
2021-07-06,22.585
2021-07-07,24.599998
2021-07-08,26.3
2021-07-09,
2021-07-10,22.009998
2021-07-11,20.66
2021-07-12,22.525
2021-07-13,24.845
2021-07-14,22.664999
2021-07-15,24.075
2021-07-16,20.785
2021-07-17,19.175
2021-07-18,20.56
2021-07-19,20.88
2021-07-20,20.539999
2021-07-21,21.915
2021-07-22,23.72
2021-07-23,
2021-07-24,25.365
2021-07-25,28.535
2021-07-26,28.419998
2021-07-27,27.97
2021-07-28,27.349998
2021-07-29,25.945
2021-07-30,26.27
2021-07-31,28.535
2021-08-01,29.38
2021-08-02,25.485
2021-08-03,25.285
2021-08-04,27.669998
2021-08-05,23.865
2021-08-06,24.005001
2021-08-07,25.175
2021-08-08,25.125
2021-08-09,26.555
2021-08-10,26.805
2021-08-11,26.165
2021-08-12,25.72
2021-08-13,24.649998
2021-08-14,24.555
2021-08-15,24.825
2021-08-16,25.395
2021-08-17,24.265
2021-08-18,24.609999
2021-08-19,23.369999
2021-08-20,22.24
2021-08-21,23.49
2021-08-22,23.925
2021-08-23,22.395
2021-08-24,22.244999
2021-08-25,21.199999
2021-08-26,24.735
2021-08-27,24.199999
2021-08-28,22.989998
2021-08-29,22.085
2021-08-30,21.07
2021-08-31,21.02
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
