time,DEA5C
2021-01-01,5.582
2021-01-02,6.0759997
2021-01-03,6.134
2021-01-04,3.652
2021-01-05,3.212
2021-01-06,3.3860002
2021-01-07,2.3040001
2021-01-08,1.7499998
2021-01-09,1.0259999
2021-01-10,0.448
2021-01-11,-0.36399996
2021-01-12,0.932
2021-01-13,2.84
2021-01-14,3.9800003
2021-01-15,2.396
2021-01-16,0.654
2021-01-17,0.78999996
2021-01-18,1.104
2021-01-19,2.67
2021-01-20,4.436
2021-01-21,5.748
2021-01-22,10.3220005
2021-01-23,7.526
2021-01-24,4.664
2021-01-25,2.8419998
2021-01-26,2.2220001
2021-01-27,2.066
2021-01-28,3.5479999
2021-01-29,5.554
2021-01-30,9.1779995
2021-01-31,6.02
2021-02-01,5.158
2021-02-02,6.248
2021-02-03,8.102
2021-02-04,8.257999
2021-02-05,7.326
2021-02-06,7.6080003
2021-02-07,9.348
2021-02-08,8.79
2021-02-09,9.504
2021-02-10,8.944
2021-02-11,6.55
2021-02-12,1.8379999
2021-02-13,-2.366
2021-02-14,-1.2299999
2021-02-15,0.09200003
2021-02-16,3.916
2021-02-17,6.2179995
2021-02-18,7.5859995
2021-02-19,9.238
2021-02-20,8.986
2021-02-21,7.1800003
2021-02-22,7.9339995
2021-02-23,9.116
2021-02-24,11.643999
2021-02-25,12.257999
2021-02-26,11.936
2021-02-27,9.695999
2021-02-28,5.782
2021-03-01,5.9519997
2021-03-02,7.1540003
2021-03-03,8.258
2021-03-04,9.346
2021-03-05,9.73
2021-03-06,4.306
2021-03-07,4.014
2021-03-08,6.064
2021-03-09,5.97
2021-03-10,5.418
2021-03-11,9.061999
2021-03-12,12.122
2021-03-13,10.752
2021-03-14,7.1980004
2021-03-15,7.178
2021-03-16,7.182
2021-03-17,6.278
2021-03-18,3.3739998
2021-03-19,2.862
2021-03-20,3.4259999
2021-03-21,2.782
2021-03-22,5.3339996
2021-03-23,5.498
2021-03-24,7.9839997
2021-03-25,9.9
2021-03-26,10.823999
2021-03-27,12.344
2021-03-28,12.117999
2021-03-29,12.744
2021-03-30,14.245999
2021-03-31,15.69
2021-04-01,17.307999
2021-04-02,17.543999
2021-04-03,11.733999
2021-04-04,6.9519987
2021-04-05,9.030001
2021-04-06,5.126
2021-04-07,2.462
2021-04-08,7.246001
2021-04-09,9.394
2021-04-10,9.668
2021-04-11,10.8220005
2021-04-12,11.308001
2021-04-13,5.554
2021-04-14,5.6260004
2021-04-15,5.1759996
2021-04-16,5.948
2021-04-17,6.5059996
2021-04-18,6.9520006
2021-04-19,7.956
2021-04-20,10.138
2021-04-21,11.553999
2021-04-22,10.894
2021-04-23,10.634
2021-04-24,12.4019985
2021-04-25,14.653999
2021-04-26,12.959999
2021-04-27,10.092
2021-04-28,11.681999
2021-04-29,14.551999
2021-04-30,16.051998
2021-05-01,15.535998
2021-05-02,14.345999
2021-05-03,12.599999
2021-05-04,14.104001
2021-05-05,15.158
2021-05-06,16.27
2021-05-07,16.696001
2021-05-08,13.429998
2021-05-09,15.867999
2021-05-10,18.712
2021-05-11,15.929998
2021-05-12,14.201999
2021-05-13,14.214
2021-05-14,13.756
2021-05-15,14.373999
2021-05-16,15.645999
2021-05-17,15.873999
2021-05-18,16.59
2021-05-19,12.814
2021-05-20,14.273999
2021-05-21,17.098
2021-05-22,16.526
2021-05-23,19.163998
2021-05-24,15.429998
2021-05-25,16.07
2021-05-26,15.856
2021-05-27,17.562
2021-05-28,17.116001
2021-05-29,17.644001
2021-05-30,15.639999
2021-05-31,15.018
2021-06-01,17.043999
2021-06-02,19.09
2021-06-03,20.206
2021-06-04,22.024
2021-06-05,21.575998
2021-06-06,19.857998
2021-06-07,18.529999
2021-06-08,18.273998
2021-06-09,20.289999
2021-06-10,20.34
2021-06-11,20.231998
2021-06-12,22.23
2021-06-13,24.256
2021-06-14,22.054
2021-06-15,21.116
2021-06-16,22.329998
2021-06-17,23.77
2021-06-18,24.118
2021-06-19,24.943998
2021-06-20,26.368
2021-06-21,26.541998
2021-06-22,25.613998
2021-06-23,25.171997
2021-06-24,25.438
2021-06-25,23.279999
2021-06-26,23.168
2021-06-27,24.402
2021-06-28,25.470001
2021-06-29,26.357998
2021-06-30,23.603998
2021-07-01,23.032
2021-07-02,22.378
2021-07-03,24.331999
2021-07-04,22.734
2021-07-05,22.878
2021-07-06,25.184002
2021-07-07,27.73
2021-07-08,26.822
2021-07-09,23.76
2021-07-10,23.518
2021-07-11,24.39
2021-07-12,25.626001
2021-07-13,22.981998
2021-07-14,20.331999
2021-07-15,21.369999
2021-07-16,18.436
2021-07-17,19.594
2021-07-18,22.314
2021-07-19,23.116
2021-07-20,24.604
2021-07-21,25.029999
2021-07-22,24.373999
2021-07-23,24.383999
2021-07-24,26.466
2021-07-25,26.462
2021-07-26,26.259998
2021-07-27,25.716
2021-07-28,26.244
2021-07-29,25.857998
2021-07-30,27.268
2021-07-31,27.734
2021-08-01,24.042
2021-08-02,22.381998
2021-08-03,22.92
2021-08-04,23.845999
2021-08-05,22.570002
2021-08-06,23.719997
2021-08-07,25.882
2021-08-08,26.51
2021-08-09,25.89
2021-08-10,25.203999
2021-08-11,26.296
2021-08-12,26.636002
2021-08-13,26.626001
2021-08-14,27.614002
2021-08-15,29.148
2021-08-16,28.984
2021-08-17,23.421997
2021-08-18,21.076
2021-08-19,21.866001
2021-08-20,22.907999
2021-08-21,24.064001
2021-08-22,25.919998
2021-08-23,22.184
2021-08-24,20.948
2021-08-25,19.443998
2021-08-26,21.636
2021-08-27,18.275997
2021-08-28,15.981999
2021-08-29,17.146
2021-08-30,19.342
2021-08-31,18.364
2021-09-01,18.748
2021-09-02,18.882
2021-09-03,18.765999
2021-09-04,18.525997
2021-09-05,19.023998
2021-09-06,18.832
2021-09-07,18.98
2021-09-08,19.051998
2021-09-09,19.334
2021-09-10,19.866001
2021-09-11,20.109999
2021-09-12,20.4
2021-09-13,21.661999
2021-09-14,22.733997
2021-09-15,23.214
2021-09-16,21.658
2021-09-17,20.553999
2021-09-18,20.497997
2021-09-19,19.004002
2021-09-20,17.722
2021-09-21,15.331999
2021-09-22,15.184
2021-09-23,15.988001
2021-09-24,18.387999
2021-09-25,19.548
2021-09-26,19.088001
2021-09-27,17.806
2021-09-28,18.404001
2021-09-29,19.057999
2021-09-30,17.092
2021-10-01,15.738001
2021-10-02,16.244
2021-10-03,18.572
2021-10-04,19.726
2021-10-05,17.934
2021-10-06,15.436
2021-10-07,11.622
2021-10-08,12.557999
2021-10-09,11.242
2021-10-10,9.407999
2021-10-11,10.171999
2021-10-12,10.985999
2021-10-13,9.286
2021-10-14,8.356
2021-10-15,9.112
2021-10-16,10.142
2021-10-17,10.763999
2021-10-18,10.916
