time,DEB24
2021-01-01,6.8599997
2021-01-02,8.195
2021-01-03,8.059999
2021-01-04,5.8050003
2021-01-05,4.84
2021-01-06,5.805
2021-01-07,4.5649996
2021-01-08,3.8649998
2021-01-09,3.01
2021-01-10,3.425
2021-01-11,2.0449998
2021-01-12,2.725
2021-01-13,3.85
2021-01-14,4.6349998
2021-01-15,4.4799995
2021-01-16,2.51
2021-01-17,1.8599999
2021-01-18,2.405
2021-01-19,3.6999998
2021-01-20,6.4249997
2021-01-21,7.805
2021-01-22,12.014999
2021-01-23,9.645
2021-01-24,6.04
2021-01-25,4.285
2021-01-26,4.16
2021-01-27,3.1999998
2021-01-28,4.1899996
2021-01-29,6.5249996
2021-01-30,9.57
2021-01-31,8.305
2021-02-01,6.675
2021-02-02,7.625
2021-02-03,9.429999
2021-02-04,9.875
2021-02-05,9.455
2021-02-06,9.555
2021-02-07,11.66
2021-02-08,10.35
2021-02-09,10.365
2021-02-10,9.789999
2021-02-11,7.955
2021-02-12,3.12
2021-02-13,-0.065
2021-02-14,0.20499998
2021-02-15,1.5749999
2021-02-16,4.09
2021-02-17,6.4049997
2021-02-18,7.755
2021-02-19,9.129999
2021-02-20,9.635
2021-02-21,7.6899996
2021-02-22,7.9999995
2021-02-23,9.225
2021-02-24,11.514999
2021-02-25,12.684999
2021-02-26,11.719999
2021-02-27,9.665
2021-02-28,7.26
2021-03-01,6.04
2021-03-02,7.075
2021-03-03,8.665
2021-03-04,8.619999
2021-03-05,9.915
2021-03-06,5.185
2021-03-07,4.0550003
2021-03-08,6.3199997
2021-03-09,6.96
2021-03-10,6.3199997
2021-03-11,8.34
2021-03-12,10.915
2021-03-13,10.67
2021-03-14,8.105
2021-03-15,6.96
2021-03-16,7.2799997
2021-03-17,6.535
2021-03-18,4.5550003
2021-03-19,3.4299998
2021-03-20,4.325
2021-03-21,4.0299997
2021-03-22,6.2200003
2021-03-23,6.16
2021-03-24,7.855
2021-03-25,9.905
2021-03-26,10.4
2021-03-27,11.835
2021-03-28,12.559999
2021-03-29,12.574999
2021-03-30,14.315001
2021-03-31,14.73
2021-04-01,17.279999
2021-04-02,17.105
2021-04-03,11.975
2021-04-04,7.8050003
2021-04-05,8.52
2021-04-06,6.3999996
2021-04-07,3.34
2021-04-08,6.645
2021-04-09,8.43
2021-04-10,9.91
2021-04-11,10.57
2021-04-12,12.0
2021-04-13,6.44
2021-04-14,6.335
2021-04-15,6.515
2021-04-16,7.0649996
2021-04-17,7.7549996
2021-04-18,8.115
2021-04-19,8.145
2021-04-20,10.344999
2021-04-21,12.365
2021-04-22,11.494999
2021-04-23,11.299999
2021-04-24,12.34
2021-04-25,14.375
2021-04-26,13.23
2021-04-27,11.105
2021-04-28,12.369999
2021-04-29,15.295
2021-04-30,17.489998
2021-05-01,16.88
2021-05-02,16.17
2021-05-03,13.02
2021-05-04,14.115
2021-05-05,15.295
2021-05-06,16.455
2021-05-07,17.13
2021-05-08,14.25
2021-05-09,16.029999
2021-05-10,19.0
2021-05-11,18.2
2021-05-12,14.99
2021-05-13,14.99
2021-05-14,14.48
2021-05-15,14.535
2021-05-16,15.594999
2021-05-17,16.82
2021-05-18,17.064999
2021-05-19,13.799999
2021-05-20,14.914999
2021-05-21,17.529999
2021-05-22,17.125
2021-05-23,19.735
2021-05-24,17.15
2021-05-25,17.11
2021-05-26,15.959999
2021-05-27,18.134998
2021-05-28,17.58
2021-05-29,18.154999
2021-05-30,16.56
2021-05-31,15.83
2021-06-01,16.855
2021-06-02,19.2
2021-06-03,19.75
2021-06-04,21.699999
2021-06-05,22.195
2021-06-06,20.45
2021-06-07,18.869999
2021-06-08,19.064999
2021-06-09,20.895
2021-06-10,21.045
2021-06-11,20.439999
2021-06-12,21.864998
2021-06-13,23.454998
2021-06-14,21.66
2021-06-15,21.079998
2021-06-16,21.72
2021-06-17,23.145
2021-06-18,24.169998
2021-06-19,24.774998
2021-06-20,27.08
2021-06-21,27.23
2021-06-22,26.14
2021-06-23,26.224998
2021-06-24,26.66
2021-06-25,24.439999
2021-06-26,23.68
2021-06-27,24.619999
2021-06-28,26.075
2021-06-29,27.189999
2021-06-30,25.24
2021-07-01,23.314999
2021-07-02,23.27
2021-07-03,24.914999
2021-07-04,23.09
2021-07-05,23.015
2021-07-06,24.869999
2021-07-07,28.369999
2021-07-08,28.18
2021-07-09,24.849998
2021-07-10,23.849998
2021-07-11,24.824999
2021-07-12,25.814999
2021-07-13,25.335
2021-07-14,21.96
2021-07-15,22.23
2021-07-16,19.89
2021-07-17,20.439999
2021-07-18,22.914999
2021-07-19,23.899998
2021-07-20,24.875
2021-07-21,25.395
2021-07-22,24.99
2021-07-23,24.759998
2021-07-24,26.259998
2021-07-25,27.2
2021-07-26,27.06
2021-07-27,26.335
2021-07-28,27.744999
2021-07-29,26.41
2021-07-30,27.279999
2021-07-31,28.09
2021-08-01,26.59
2021-08-02,23.305
2021-08-03,23.884998
2021-08-04,25.664999
2021-08-05,23.75
2021-08-06,24.164999
2021-08-07,26.579998
2021-08-08,27.759998
2021-08-09,26.699999
2021-08-10,25.919998
2021-08-11,26.95
2021-08-12,27.43
2021-08-13,27.239998
2021-08-14,28.015
2021-08-15,28.56
2021-08-16,29.244999
2021-08-17,24.154999
2021-08-18,22.215
2021-08-19,22.525
2021-08-20,23.56
2021-08-21,24.59
2021-08-22,26.224998
2021-08-23,22.56
2021-08-24,21.939999
2021-08-25,20.295
2021-08-26,22.2
2021-08-27,18.925
2021-08-28,17.314999
2021-08-29,18.259998
2021-08-30,19.579998
2021-08-31,19.079998
2021-09-01,20.024998
2021-09-02,20.220001
2021-09-03,20.189999
2021-09-04,19.715
2021-09-05,20.599998
2021-09-06,20.64
2021-09-07,20.199999
2021-09-08,19.939999
2021-09-09,19.99
2021-09-10,20.695
2021-09-11,20.755001
2021-09-12,21.149998
2021-09-13,22.029999
2021-09-14,22.664999
2021-09-15,24.285
2021-09-16,22.279999
2021-09-17,21.294998
2021-09-18,21.27
2021-09-19,20.36
2021-09-20,18.205
2021-09-21,16.47
2021-09-22,16.025
2021-09-23,16.515
2021-09-24,18.09
2021-09-25,19.435
2021-09-26,19.49
2021-09-27,18.445
2021-09-28,19.08
2021-09-29,19.859999
2021-09-30,18.384998
2021-10-01,17.275
2021-10-02,17.485
2021-10-03,19.75
2021-10-04,20.965
2021-10-05,19.635
2021-10-06,16.805
2021-10-07,13.815
2021-10-08,14.929999
2021-10-09,13.455
2021-10-10,11.785
2021-10-11,12.625
2021-10-12,12.469999
2021-10-13,11.565
2021-10-14,10.775
2021-10-15,10.735001
2021-10-16,11.87
2021-10-17,12.584999
2021-10-18,12.385
2021-10-19,13.209999
2021-10-20,13.955
2021-10-21,16.829998
2021-10-22,15.634999
2021-10-23,14.73
2021-10-24,12.975
2021-10-25,12.165
2021-10-26,12.545
2021-10-27,12.73
2021-10-28,11.48
2021-10-29,11.045
2021-10-30,12.37
2021-10-31,13.5
2021-11-01,14.035
2021-11-02,14.745
2021-11-03,15.469999
2021-11-04,14.74
2021-11-05,11.58
2021-11-06,11.5
2021-11-07,11.24
2021-11-08,11.385
2021-11-09,11.28
2021-11-10,12.844999
2021-11-11,12.49
2021-11-12,12.424999
2021-11-13,12.219999
2021-11-14,13.039999
2021-11-15,13.975
2021-11-16,10.59
2021-11-17,11.215
2021-11-18,11.78
2021-11-19,10.7
2021-11-20,10.889999
2021-11-21,10.07
2021-11-22,10.705
2021-11-23,10.4
2021-11-24,8.2699995
2021-11-25,8.78
2021-11-26,9.77
2021-11-27,11.6
2021-11-28,8.219999
2021-11-29,3.995
2021-11-30,5.3599997
2021-12-01,8.775
2021-12-02,8.49
2021-12-03,6.02
2021-12-04,6.5249996
2021-12-05,6.745
2021-12-06,5.16
2021-12-07,3.9499998
2021-12-08,5.77
2021-12-09,5.21
2021-12-10,5.6
2021-12-11,5.375
2021-12-12,5.1800003
2021-12-13,7.165
2021-12-14,6.1899996
2021-12-15,6.825
2021-12-16,7.115
2021-12-17,7.205
2021-12-18,4.58
2021-12-19,6.955
2021-12-20,6.805
2021-12-21,4.7200003
2021-12-22,5.3199997
2021-12-23,5.81
2021-12-24,8.945
2021-12-25,9.23
2021-12-26,9.27
2021-12-27,8.96
2021-12-28,9.04
2021-12-29,9.27
2021-12-30,9.635
2021-12-31,9.309999
