time,DEB3A
2021-01-01,1.5791668
2021-01-02,0.6225
2021-01-03,0.46166667
2021-01-04,-0.67916673
2021-01-05,0.3975
2021-01-06,-0.75749993
2021-01-07,-0.64333326
2021-01-08,-0.24499999
2021-01-09,-1.6358333
2021-01-10,0.36749998
2021-01-11,2.3116665
2021-01-12,-0.67083335
2021-01-13,-1.4841665
2021-01-14,-1.9250001
2021-01-15,-6.9500003
2021-01-16,-7.1525
2021-01-17,-2.7633333
2021-01-18,-2.0483334
2021-01-19,0.49833333
2021-01-20,3.0333335
2021-01-21,4.2975
2021-01-22,2.881667
2021-01-23,2.1608331
2021-01-24,0.57750005
2021-01-25,-0.18583333
2021-01-26,-2.7091665
2021-01-27,-1.5324999
2021-01-28,-3.9158328
2021-01-29,-4.7275004
2021-01-30,-6.9341664
2021-01-31,-4.3475
2021-02-01,-2.3233333
2021-02-02,-4.659167
2021-02-03,-4.858333
2021-02-04,-7.8116665
2021-02-05,-10.351666
2021-02-06,-9.7275
2021-02-07,-8.213333
2021-02-08,-5.7966666
2021-02-09,-6.1575
2021-02-10,-6.468333
2021-02-11,-8.139167
2021-02-12,-8.863334
2021-02-13,-7.168333
2021-02-14,-5.960833
2021-02-15,-4.0691667
2021-02-16,-1.1416665
2021-02-17,-0.7991666
2021-02-18,-0.09083333
2021-02-19,1.5783333
2021-02-20,3.4116666
2021-02-21,4.298333
2021-02-22,4.965833
2021-02-23,4.273333
2021-02-24,7.1616664
2021-02-25,7.0983334
2021-02-26,4.6091666
2021-02-27,1.7191666
2021-02-28,2.4350002
2021-03-01,2.1283333
2021-03-02,2.2191668
2021-03-03,0.22333331
2021-03-04,1.1891665
2021-03-05,-1.145
2021-03-06,1.5708333
2021-03-07,1.9375
2021-03-08,-2.09
2021-03-09,-2.4716666
2021-03-10,-0.09333334
2021-03-11,1.8941666
2021-03-12,3.7341664
2021-03-13,2.7025
2021-03-14,2.9325
2021-03-15,3.3691664
2021-03-16,2.0399997
2021-03-17,1.8649999
2021-03-18,1.0308334
2021-03-19,-0.28
2021-03-20,2.1725
2021-03-21,4.2083335
2021-03-22,2.5641668
2021-03-23,3.880833
2021-03-24,5.6891665
2021-03-25,5.5175
2021-03-26,7.1266665
2021-03-27,5.2983327
2021-03-28,4.9166665
2021-03-29,7.119167
2021-03-30,8.9425
2021-03-31,7.8658333
2021-04-01,5.506666
2021-04-02,4.705
2021-04-03,3.3258333
2021-04-04,3.5883334
2021-04-05,1.5241667
2021-04-06,2.9975002
2021-04-07,4.1841664
2021-04-08,2.6575
2021-04-09,4.7391667
2021-04-10,3.8808334
2021-04-11,1.1875
2021-04-12,3.7583332
2021-04-13,3.3999999
2021-04-14,3.2866666
2021-04-15,5.103333
2021-04-16,6.4958324
2021-04-17,10.420833
2021-04-18,11.630833
2021-04-19,11.341666
2021-04-20,9.389999
2021-04-21,6.013333
2021-04-22,5.6408334
2021-04-23,5.22
2021-04-24,3.8516667
2021-04-25,3.8633335
2021-04-26,4.2608337
2021-04-27,5.101667
2021-04-28,6.8958335
2021-04-29,6.7041664
2021-04-30,7.3475
2021-05-01,7.199167
2021-05-02,6.5375
2021-05-03,6.1175003
2021-05-04,4.89
2021-05-05,6.6166663
2021-05-06,4.3783326
2021-05-07,5.2041664
2021-05-08,6.1108327
2021-05-09,10.941666
2021-05-10,16.046667
2021-05-11,12.3099985
2021-05-12,14.016666
2021-05-13,13.663334
2021-05-14,13.285834
2021-05-15,9.439166
2021-05-16,10.279166
2021-05-17,10.836667
2021-05-18,9.860833
2021-05-19,9.747499
2021-05-20,8.989999
2021-05-21,8.971665
2021-05-22,11.184167
2021-05-23,9.1825
2021-05-24,11.350834
2021-05-25,11.121666
2021-05-26,9.591666
2021-05-27,10.261666
2021-05-28,11.4175
2021-05-29,12.586667
2021-05-30,15.015832
2021-05-31,15.088333
2021-06-01,15.625
2021-06-02,15.224998
2021-06-03,17.069998
2021-06-04,17.048332
2021-06-05,17.730833
2021-06-06,19.035831
2021-06-07,16.5
2021-06-08,13.95
2021-06-09,15.447499
2021-06-10,15.981667
2021-06-11,16.903334
2021-06-12,14.877499
2021-06-13,14.479165
2021-06-14,14.691666
2021-06-15,13.759999
2021-06-16,14.6050005
2021-06-17,19.627499
2021-06-18,22.649168
2021-06-19,22.461664
2021-06-20,20.376667
2021-06-21,16.2975
2021-06-22,15.852501
2021-06-23,16.359999
2021-06-24,16.744165
2021-06-25,15.595
2021-06-26,15.840001
2021-06-27,15.674168
2021-06-28,17.04
2021-06-29,17.884167
2021-06-30,16.969164
2021-07-01,16.025831
2021-07-02,19.616667
2021-07-03,20.416666
2021-07-04,20.790834
2021-07-05,18.883333
2021-07-06,19.147501
2021-07-07,18.498333
2021-07-08,18.4475
2021-07-09,18.815832
2021-07-10,17.037498
2021-07-11,17.262499
2021-07-12,19.098331
2021-07-13,22.08583
2021-07-14,23.671667
2021-07-15,23.506666
2021-07-16,23.823332
2021-07-17,21.424166
2021-07-18,17.590834
2021-07-19,17.583334
2021-07-20,16.8
2021-07-21,17.316666
2021-07-22,17.503334
2021-07-23,17.316668
2021-07-24,19.639166
2021-07-25,20.6825
2021-07-26,20.668333
2021-07-27,20.179165
2021-07-28,18.314167
2021-07-29,15.537501
2021-07-30,16.593332
2021-07-31,16.830832
2021-08-01,15.708335
2021-08-02,15.482499
2021-08-03,14.34
2021-08-04,14.8975
2021-08-05,15.546665
2021-08-06,16.789999
2021-08-07,16.244165
2021-08-08,15.9775
2021-08-09,16.510832
2021-08-10,15.565833
2021-08-11,15.689167
2021-08-12,16.560831
2021-08-13,17.6525
2021-08-14,15.849166
2021-08-15,15.983333
2021-08-16,14.548335
2021-08-17,12.762501
2021-08-18,14.755833
2021-08-19,15.321667
2021-08-20,14.866666
2021-08-21,13.754166
2021-08-22,14.107499
2021-08-23,15.458333
2021-08-24,14.376667
2021-08-25,16.764997
2021-08-26,12.590833
2021-08-27,14.673333
2021-08-28,13.739166
2021-08-29,15.990833
2021-08-30,16.1725
2021-08-31,15.698331
2021-09-01,14.626667
2021-09-02,14.4875
2021-09-03,15.814167
2021-09-04,12.816667
2021-09-05,11.309166
2021-09-06,11.819167
2021-09-07,13.645
2021-09-08,16.374166
2021-09-09,17.363333
2021-09-10,17.158333
2021-09-11,16.894999
2021-09-12,16.614166
2021-09-13,14.733334
2021-09-14,12.864166
2021-09-15,14.531667
2021-09-16,12.730834
2021-09-17,11.899999
2021-09-18,11.415
2021-09-19,9.359167
2021-09-20,9.221666
2021-09-21,8.7925005
2021-09-22,11.737499
2021-09-23,11.980834
2021-09-24,12.2283325
2021-09-25,12.533333
2021-09-26,11.090833
2021-09-27,14.6025
2021-09-28,12.915
2021-09-29,11.979165
2021-09-30,10.681666
2021-10-01,11.193334
2021-10-02,11.426666
2021-10-03,13.989166
2021-10-04,12.5025
2021-10-05,10.734166
2021-10-06,11.568333
2021-10-07,10.144166
2021-10-08,8.858334
2021-10-09,8.632501
2021-10-10,7.2749996
2021-10-11,10.081666
2021-10-12,5.8233333
2021-10-13,5.498333
2021-10-14,10.08
2021-10-15,9.45
2021-10-16,9.028333
2021-10-17,7.441667
2021-10-18,4.0375
2021-10-19,9.251666
2021-10-20,12.900832
2021-10-21,9.209167
