time,DEB3B
2021-01-01,1.4567605
2021-01-02,0.73042256
2021-01-03,-0.36309856
2021-01-04,-1.464507
2021-01-05,-0.8904225
2021-01-06,-2.289859
2021-01-07,-1.7276055
2021-01-08,-1.1930984
2021-01-09,-1.6901408
2021-01-10,-0.9667606
2021-01-11,1.1007042
2021-01-12,-3.5839438
2021-01-13,-2.316479
2021-01-14,-4.376197
2021-01-15,-8.347606
2021-01-16,-7.8198595
2021-01-17,-3.287324
2021-01-18,-1.5371829
2021-01-19,0.22718309
2021-01-20,1.4994366
2021-01-21,3.5597181
2021-01-22,2.5016901
2021-01-23,2.3247888
2021-01-24,-0.42070422
2021-01-25,-1.4132394
2021-01-26,-4.3242254
2021-01-27,-4.381127
2021-01-28,-5.377465
2021-01-29,-6.208591
2021-01-30,-7.3499994
2021-01-31,-7.440282
2021-02-01,-4.1538024
2021-02-02,-4.62338
2021-02-03,-6.87338
2021-02-04,-9.67324
2021-02-05,-10.1329565
2021-02-06,-10.164226
2021-02-07,-7.949296
2021-02-08,-7.4008446
2021-02-09,-7.636197
2021-02-10,-8.399155
2021-02-11,-9.993662
2021-02-12,-9.551831
2021-02-13,-9.195493
2021-02-14,-8.108451
2021-02-15,-5.0408444
2021-02-16,-1.4708451
2021-02-17,-1.5277464
2021-02-18,-1.2694367
2021-02-19,1.4430987
2021-02-20,3.4645069
2021-02-21,4.472394
2021-02-22,3.5316901
2021-02-23,3.6761968
2021-02-24,6.6001406
2021-02-25,6.4364786
2021-02-26,5.420986
2021-02-27,2.0423944
2021-02-28,3.8550708
2021-03-01,3.1826758
2021-03-02,2.9771829
2021-03-03,0.6707042
2021-03-04,0.24774648
2021-03-05,-0.6536619
2021-03-06,1.7583098
2021-03-07,0.43619713
2021-03-08,-2.077324
2021-03-09,-0.27633807
2021-03-10,-1.4956337
2021-03-11,0.94943666
2021-03-12,3.610141
2021-03-13,3.0035212
2021-03-14,2.4621127
2021-03-15,2.0635211
2021-03-16,1.1876055
2021-03-17,1.2411267
2021-03-18,0.88478875
2021-03-19,-1.5173239
2021-03-20,2.9194367
2021-03-21,3.57169
2021-03-22,4.049859
2021-03-23,4.3674645
2021-03-24,5.6973243
2021-03-25,5.159155
2021-03-26,6.1276054
2021-03-27,5.731408
2021-03-28,4.8056335
2021-03-29,7.448169
2021-03-30,8.894789
2021-03-31,6.944366
2021-04-01,4.036479
2021-04-02,4.2659154
2021-04-03,3.434225
2021-04-04,4.6218314
2021-04-05,1.6915493
2021-04-06,3.2661972
2021-04-07,3.997042
2021-04-08,1.7760563
2021-04-09,4.3102818
2021-04-10,4.0530987
2021-04-11,0.9892957
2021-04-12,2.8097181
2021-04-13,2.5225353
2021-04-14,3.061831
2021-04-15,4.460845
2021-04-16,5.621549
2021-04-17,8.374507
2021-04-18,9.64662
2021-04-19,9.587324
2021-04-20,8.714788
2021-04-21,5.6429577
2021-04-22,4.9233804
2021-04-23,5.312394
2021-04-24,3.970986
2021-04-25,3.6347888
2021-04-26,4.1216903
2021-04-27,5.4511266
2021-04-28,6.2342253
2021-04-29,6.3107038
2021-04-30,6.2546477
2021-05-01,6.0769014
2021-05-02,7.2832394
2021-05-03,6.35662
2021-05-04,3.9280279
2021-05-05,4.3935213
2021-05-06,3.5836618
2021-05-07,4.647887
2021-05-08,5.973662
2021-05-09,8.2104225
2021-05-10,14.85845
2021-05-11,10.615493
2021-05-12,13.961267
2021-05-13,14.763803
2021-05-14,13.660281
2021-05-15,9.841409
2021-05-16,9.90845
2021-05-17,10.563662
2021-05-18,10.872252
2021-05-19,9.784084
2021-05-20,9.938873
2021-05-21,9.377888
2021-05-22,10.602817
2021-05-23,10.022253
2021-05-24,11.028169
2021-05-25,11.023944
2021-05-26,9.20183
2021-05-27,9.6481695
2021-05-28,12.783098
2021-05-29,14.144506
2021-05-30,16.817888
2021-05-31,16.053663
2021-06-01,15.436337
2021-06-02,15.843943
2021-06-03,16.715633
2021-06-04,17.292677
2021-06-05,18.023098
2021-06-06,18.824648
2021-06-07,16.017466
2021-06-08,15.248872
2021-06-09,15.690564
2021-06-10,16.326199
2021-06-11,16.819153
2021-06-12,15.790564
2021-06-13,14.995494
2021-06-14,14.212957
2021-06-15,13.823944
2021-06-16,14.448591
2021-06-17,19.04183
2021-06-18,21.199015
2021-06-19,20.711409
2021-06-20,18.394365
2021-06-21,15.516338
2021-06-22,16.07
2021-06-23,16.11155
2021-06-24,16.794788
2021-06-25,15.864787
2021-06-26,17.297886
2021-06-27,15.996056
2021-06-28,17.432112
2021-06-29,17.250141
2021-06-30,16.442675
2021-07-01,15.683521
2021-07-02,19.634365
2021-07-03,20.769716
2021-07-04,20.88465
2021-07-05,19.617746
2021-07-06,19.399155
2021-07-07,18.459154
2021-07-08,18.710703
2021-07-09,19.534224
2021-07-10,17.35648
2021-07-11,17.033098
2021-07-12,18.103804
2021-07-13,20.553944
2021-07-14,22.66845
2021-07-15,23.126478
2021-07-16,22.119013
2021-07-17,21.35155
2021-07-18,18.85042
2021-07-19,17.543802
2021-07-20,18.082394
2021-07-21,17.99352
2021-07-22,18.89972
2021-07-23,18.479013
2021-07-24,19.537043
2021-07-25,21.270987
2021-07-26,19.942251
2021-07-27,18.873098
2021-07-28,18.393803
2021-07-29,15.191829
2021-07-30,16.518732
2021-07-31,16.944788
2021-08-01,15.379294
2021-08-02,13.574084
2021-08-03,13.85648
2021-08-04,14.93662
2021-08-05,15.95014
2021-08-06,16.914507
2021-08-07,16.037323
2021-08-08,15.210422
2021-08-09,16.817888
2021-08-10,15.784083
2021-08-11,15.826619
2021-08-12,16.86873
2021-08-13,16.90366
2021-08-14,15.119014
2021-08-15,15.746479
2021-08-16,13.6739435
2021-08-17,13.622112
2021-08-18,14.812817
2021-08-19,14.981126
2021-08-20,14.006619
2021-08-21,13.908591
2021-08-22,14.327465
2021-08-23,14.575634
2021-08-24,15.139858
2021-08-25,16.522676
2021-08-26,12.48338
2021-08-27,13.5840845
2021-08-28,13.311127
2021-08-29,15.535353
2021-08-30,14.592956
2021-08-31,14.578027
2021-09-01,14.802253
2021-09-02,14.855775
2021-09-03,13.642675
2021-09-04,11.118873
2021-09-05,12.062394
2021-09-06,13.393099
2021-09-07,14.450986
2021-09-08,17.150562
2021-09-09,17.28831
2021-09-10,16.478592
2021-09-11,15.840985
2021-09-12,16.179577
2021-09-13,12.389578
2021-09-14,12.194366
2021-09-15,13.60831
2021-09-16,10.578732
2021-09-17,9.354085
2021-09-18,10.064084
2021-09-19,9.231408
2021-09-20,8.539577
2021-09-21,8.898028
2021-09-22,11.5760565
2021-09-23,11.2833805
2021-09-24,10.13507
2021-09-25,11.850704
2021-09-26,10.622676
2021-09-27,12.907042
2021-09-28,12.14352
2021-09-29,11.543943
2021-09-30,11.158451
2021-10-01,10.932113
2021-10-02,11.26676
2021-10-03,13.224929
2021-10-04,12.050845
2021-10-05,11.18183
2021-10-06,11.805492
2021-10-07,11.494366
2021-10-08,10.928028
2021-10-09,10.784647
2021-10-10,9.705492
2021-10-11,9.11338
2021-10-12,5.9288735
