time,DEB3C
2021-01-01,0.5922034
2021-01-02,-0.21847457
2021-01-03,-4.4827113
2021-01-04,-5.2808475
2021-01-05,-4.4874578
2021-01-06,-6.451695
2021-01-07,-4.148305
2021-01-08,-3.4723728
2021-01-09,-2.9825423
2021-01-10,-4.229661
2021-01-11,-3.5967796
2021-01-12,-9.071525
2021-01-13,-4.5544066
2021-01-14,-7.261695
2021-01-15,-14.328645
2021-01-16,-13.263729
2021-01-17,-6.438135
2021-01-18,-2.18661
2021-01-19,-1.090678
2021-01-20,0.2913559
2021-01-21,2.1269493
2021-01-22,1.6657627
2021-01-23,1.2135593
2021-01-24,-1.0776272
2021-01-25,-4.230339
2021-01-26,-9.427627
2021-01-27,-10.842032
2021-01-28,-11.35966
2021-01-29,-13.557118
2021-01-30,-14.781694
2021-01-31,-13.705933
2021-02-01,-12.604238
2021-02-02,-9.182034
2021-02-03,-11.230508
2021-02-04,-13.495084
2021-02-05,-12.998982
2021-02-06,-11.882373
2021-02-07,-9.674914
2021-02-08,-8.2474575
2021-02-09,-9.774068
2021-02-10,-10.982033
2021-02-11,-13.451016
2021-02-12,-10.775932
2021-02-13,-12.773899
2021-02-14,-11.603728
2021-02-15,-10.374068
2021-02-16,-3.3777966
2021-02-17,-3.528983
2021-02-18,-3.6803386
2021-02-19,-0.33677968
2021-02-20,2.4499998
2021-02-21,3.317627
2021-02-22,2.5796611
2021-02-23,2.505593
2021-02-24,4.9074574
2021-02-25,5.264406
2021-02-26,4.216271
2021-02-27,-0.035593227
2021-02-28,2.634915
2021-03-01,1.9054236
2021-03-02,2.1694915
2021-03-03,-0.79542375
2021-03-04,-0.9291525
2021-03-05,-1.757966
2021-03-06,1.301695
2021-03-07,-0.24915254
2021-03-08,-3.7222035
2021-03-09,-0.9208474
2021-03-10,-4.533051
2021-03-11,-1.1327118
2021-03-12,1.8469491
2021-03-13,1.4411864
2021-03-14,0.9959321
2021-03-15,0.044406787
2021-03-16,-0.28593218
2021-03-17,-0.9791525
2021-03-18,-0.3674576
2021-03-19,-2.55322
2021-03-20,2.51339
2021-03-21,1.8305085
2021-03-22,3.4530509
2021-03-23,4.146949
2021-03-24,5.345254
2021-03-25,3.5308475
2021-03-26,4.5435596
2021-03-27,5.0267797
2021-03-28,3.3654237
2021-03-29,6.210509
2021-03-30,9.3383045
2021-03-31,4.645593
2021-04-01,2.1266103
2021-04-02,2.6871188
2021-04-03,2.9601696
2021-04-04,4.0661016
2021-04-05,0.6772881
2021-04-06,2.4530509
2021-04-07,2.3722034
2021-04-08,0.6550847
2021-04-09,3.240678
2021-04-10,2.6696606
2021-04-11,0.3072881
2021-04-12,1.4272882
2021-04-13,1.8177965
2021-04-14,1.6842372
2021-04-15,3.6833897
2021-04-16,5.5057626
2021-04-17,7.5391526
2021-04-18,8.235932
2021-04-19,8.138135
2021-04-20,7.6099997
2021-04-21,4.1747456
2021-04-22,4.0976267
2021-04-23,3.872034
2021-04-24,2.7857625
2021-04-25,2.7194915
2021-04-26,3.648983
2021-04-27,3.967627
2021-04-28,3.4418643
2021-04-29,3.9455934
2021-04-30,4.3561015
2021-05-01,4.3728814
2021-05-02,5.72661
2021-05-03,5.012712
2021-05-04,3.9913557
2021-05-05,2.7718642
2021-05-06,3.5067797
2021-05-07,3.227627
2021-05-08,4.7050843
2021-05-09,4.592373
2021-05-10,11.548135
2021-05-11,9.472373
2021-05-12,14.00966
2021-05-13,15.49017
2021-05-14,12.54644
2021-05-15,9.112882
2021-05-16,9.680169
2021-05-17,9.31339
2021-05-18,9.941016
2021-05-19,9.441186
2021-05-20,9.159153
2021-05-21,9.27322
2021-05-22,9.335084
2021-05-23,8.828643
2021-05-24,9.234068
2021-05-25,10.342881
2021-05-26,8.99
2021-05-27,9.4094925
2021-05-28,12.786949
2021-05-29,14.943051
2021-05-30,17.452711
2021-05-31,16.898983
2021-06-01,15.854746
2021-06-02,15.198813
2021-06-03,15.729492
