time,DEB3D
2021-01-01,-1.3881481
2021-01-02,-1.6492592
2021-01-03,-7.4937034
2021-01-04,-9.493951
2021-01-05,-11.121728
2021-01-06,-12.946913
2021-01-07,-7.4846916
2021-01-08,-6.240247
2021-01-09,-6.721111
2021-01-10,-7.124691
2021-01-11,-9.462963
2021-01-12,-10.201975
2021-01-13,-7.4125924
2021-01-14,-11.346789
2021-01-15,-14.975061
2021-01-16,-12.173209
2021-01-17,-9.431233
2021-01-18,-7.5953093
2021-01-19,-5.0861726
2021-01-20,-2.0666666
2021-01-21,-0.5104938
2021-01-22,0.30888888
2021-01-23,-0.46111104
2021-01-24,-4.1316047
2021-01-25,-7.246296
2021-01-26,-12.011358
2021-01-27,-12.566667
2021-01-28,-13.566542
2021-01-29,-17.16
2021-01-30,-16.947779
2021-01-31,-14.388023
2021-02-01,-15.709877
2021-02-02,-14.330988
2021-02-03,-14.806913
2021-02-04,-15.272963
2021-02-05,-12.171234
2021-02-06,-13.069259
2021-02-07,-11.316049
2021-02-08,-9.790123
2021-02-09,-13.83148
2021-02-10,-12.09037
2021-02-11,-16.07247
2021-02-12,-9.610988
2021-02-13,-10.071112
2021-02-14,-7.5401235
2021-02-15,-13.186913
2021-02-16,-7.2843213
2021-02-17,-6.8437033
2021-02-18,-5.9914813
2021-02-19,-2.6359258
2021-02-20,1.3929629
2021-02-21,2.454321
2021-02-22,0.71382713
2021-02-23,1.6325924
2021-02-24,3.5135798
2021-02-25,3.9670372
2021-02-26,3.069136
2021-02-27,0.30753085
2021-02-28,2.0761728
2021-03-01,1.1750616
2021-03-02,1.9846911
2021-03-03,1.0587654
2021-03-04,-2.3301234
2021-03-05,-3.094691
2021-03-06,0.5672839
2021-03-07,-3.4055552
2021-03-08,-4.9201236
2021-03-09,-3.4138274
2021-03-10,-8.027778
2021-03-11,-3.39679
2021-03-12,-0.5479012
2021-03-13,-0.29308638
2021-03-14,-1.2639507
2021-03-15,-1.3471605
2021-03-16,-1.8074074
2021-03-17,-3.0606174
2021-03-18,-2.1139507
2021-03-19,-4.0833335
2021-03-20,1.8975308
2021-03-21,0.452716
2021-03-22,3.3535805
2021-03-23,4.1237035
2021-03-24,4.8682714
2021-03-25,2.2760491
2021-03-26,2.2725925
2021-03-27,4.6398764
2021-03-28,2.8655553
2021-03-29,5.124074
2021-03-30,6.9827156
2021-03-31,2.9460492
2021-04-01,1.3748147
2021-04-02,1.4617283
2021-04-03,2.078148
2021-04-04,3.4672837
2021-04-05,-1.491358
2021-04-06,0.8490122
2021-04-07,0.8467901
2021-04-08,-1.1301234
2021-04-09,1.1991359
2021-04-10,0.6537037
2021-04-11,-0.1282716
2021-04-12,-0.23037033
2021-04-13,0.07308644
2021-04-14,0.57345676
2021-04-15,2.8969135
2021-04-16,4.2366667
2021-04-17,5.1404934
2021-04-18,6.4544444
2021-04-19,6.8935804
2021-04-20,7.3446913
2021-04-21,3.3543212
2021-04-22,1.2485185
2021-04-23,1.6319753
2021-04-24,0.9353086
2021-04-25,0.555432
2021-04-26,2.064568
2021-04-27,1.3966666
2021-04-28,1.4548148
2021-04-29,1.5304939
2021-04-30,1.954321
2021-05-01,2.175679
2021-05-02,3.2841973
2021-05-03,2.5458024
2021-05-04,2.395432
2021-05-05,1.784321
2021-05-06,0.8937037
2021-05-07,2.19
2021-05-08,3.3014812
2021-05-09,2.704568
2021-05-10,7.9490123
2021-05-11,9.73321
2021-05-12,12.273827
2021-05-13,14.573456
2021-05-14,11.932591
2021-05-15,6.7866664
2021-05-16,8.763209
2021-05-17,7.391852
2021-05-18,9.486173
2021-05-19,9.627407
2021-05-20,8.176666
2021-05-21,7.7834563
2021-05-22,8.286914
2021-05-23,6.151605
2021-05-24,6.5427155
2021-05-25,8.305184
2021-05-26,8.5635805
2021-05-27,7.1918516
2021-05-28,11.306913
2021-05-29,13.724567
2021-05-30,16.957653
2021-05-31,15.703333
2021-06-01,13.872839
2021-06-02,14.017777
2021-06-03,15.1046915
2021-06-04,15.657037
2021-06-05,17.514938
2021-06-06,18.135925
2021-06-07,16.17037
2021-06-08,15.677038
2021-06-09,15.4787655
2021-06-10,16.754814
2021-06-11,17.097776
2021-06-12,13.762716
2021-06-13,12.817654
2021-06-14,13.027655
2021-06-15,11.826173
2021-06-16,12.075803
2021-06-17,17.247778
2021-06-18,18.188519
2021-06-19,12.265432
2021-06-20,12.829753
2021-06-21,14.5203705
2021-06-22,11.804938
2021-06-23,13.939259
2021-06-24,16.64642
2021-06-25,16.766912
2021-06-26,17.050985
2021-06-27,15.751851
2021-06-28,17.51358
2021-06-29,16.369629
2021-06-30,13.984692
2021-07-01,15.769383
2021-07-02,18.120495
2021-07-03,19.252962
2021-07-04,19.476295
2021-07-05,18.092098
2021-07-06,18.443333
2021-07-07,17.25321
2021-07-08,17.229136
2021-07-09,17.871357
2021-07-10,16.419506
2021-07-11,17.78753
2021-07-12,17.130493
2021-07-13,18.80605
2021-07-14,19.376173
