time,DEB3E
2021-01-01,5.3333335
2021-01-02,3.6566668
2021-01-03,3.2833335
2021-01-04,4.7000003
2021-01-05,2.6499999
2021-01-06,3.1899998
2021-01-07,3.4866664
2021-01-08,3.6433332
2021-01-09,3.38
2021-01-10,5.9500003
2021-01-11,4.736666
2021-01-12,4.08
2021-01-13,3.58
2021-01-14,3.3099997
2021-01-15,5.4833336
2021-01-16,4.0866666
2021-01-17,4.806667
2021-01-18,6.5
2021-01-19,7.633333
2021-01-20,12.2
2021-01-21,12.826667
2021-01-22,10.123333
2021-01-23,11.213333
2021-01-24,11.549999
2021-01-25,13.606667
2021-01-26,14.759999
2021-01-27,14.233334
2021-01-28,13.009999
2021-01-29,12.946667
2021-01-30,12.196667
2021-01-31,13.399999
2021-02-01,13.219998
2021-02-02,13.68
2021-02-03,13.633332
2021-02-04,10.283334
2021-02-05,8.816667
2021-02-06,9.59
2021-02-07,7.9300003
2021-02-08,10.786667
2021-02-09,10.953334
2021-02-10,12.076667
2021-02-11,14.266666
2021-02-12,13.2
2021-02-13,12.419999
2021-02-14,13.373333
2021-02-15,14.740001
2021-02-16,12.783333
2021-02-17,12.88
2021-02-18,12.61
2021-02-19,13.37
2021-02-20,12.246667
2021-02-21,8.986667
2021-02-22,9.403333
2021-02-23,12.576667
2021-02-24,13.543332
2021-02-25,11.36
2021-02-26,13.39
2021-02-27,13.22
2021-02-28,12.833333
2021-03-01,12.216666
2021-03-02,12.299999
2021-03-03,12.413333
2021-03-04,13.54
2021-03-05,13.536667
2021-03-06,12.516666
2021-03-07,11.239999
2021-03-08,9.933333
2021-03-09,9.746666
2021-03-10,10.146667
2021-03-11,13.06
2021-03-12,11.45
2021-03-13,9.416667
2021-03-14,10.803333
2021-03-15,12.733334
2021-03-16,14.686666
2021-03-17,16.223333
2021-03-18,13.57
2021-03-19,11.833333
2021-03-20,11.459999
2021-03-21,10.676666
2021-03-22,11.406667
2021-03-23,11.356667
2021-03-24,10.806666
2021-03-25,10.526667
2021-03-26,10.73
2021-03-27,11.973332
2021-03-28,15.483333
2021-03-29,15.25
2021-03-30,16.953333
2021-03-31,21.699999
2021-04-01,16.576666
2021-04-02,14.113334
2021-04-03,15.983334
2021-04-04,15.843333
2021-04-05,16.003334
2021-04-06,14.996666
2021-04-07,14.849999
2021-04-08,15.116666
2021-04-09,14.11
2021-04-10,13.893333
2021-04-11,14.57
2021-04-12,14.13
2021-04-13,14.169999
2021-04-14,17.286665
2021-04-15,16.68
2021-04-16,15.396667
2021-04-17,14.669999
2021-04-18,15.259999
2021-04-19,15.69
2021-04-20,14.046666
2021-04-21,12.93
2021-04-22,15.446667
2021-04-23,15.546666
2021-04-24,17.18
2021-04-25,15.163333
2021-04-26,16.09
2021-04-27,15.599999
2021-04-28,14.12
2021-04-29,12.829999
2021-04-30,11.746666
2021-05-01,11.483333
2021-05-02,11.743333
2021-05-03,13.803333
2021-05-04,13.95
2021-05-05,15.236667
2021-05-06,15.723332
2021-05-07,16.153334
2021-05-08,15.796666
2021-05-09,13.13
2021-05-10,10.913333
2021-05-11,11.989999
2021-05-12,14.150001
2021-05-13,13.829999
2021-05-14,14.32
2021-05-15,15.503333
2021-05-16,16.269999
2021-05-17,15.18
2021-05-18,15.243333
2021-05-19,16.159998
2021-05-20,17.416666
2021-05-21,15.133332
2021-05-22,13.056666
2021-05-23,13.076667
2021-05-24,14.713333
2021-05-25,15.826665
2021-05-26,17.586666
2021-05-27,17.096666
2021-05-28,17.609999
2021-05-29,17.496666
2021-05-30,19.409998
2021-05-31,18.513332
2021-06-01,15.906667
2021-06-02,15.956666
2021-06-03,14.889999
2021-06-04,15.823333
2021-06-05,18.076666
2021-06-06,18.603333
2021-06-07,18.133333
2021-06-08,18.783333
2021-06-09,19.896666
2021-06-10,20.37
2021-06-11,21.163332
2021-06-12,22.976667
2021-06-13,22.336668
2021-06-14,21.623331
2021-06-15,22.593332
2021-06-16,19.996666
2021-06-17,16.683332
2021-06-18,16.186666
2021-06-19,16.143333
2021-06-20,15.563333
2021-06-21,16.17
2021-06-22,17.473333
2021-06-23,18.353334
2021-06-24,20.613333
2021-06-25,23.349998
2021-06-26,18.773333
2021-06-27,16.703333
2021-06-28,16.286667
2021-06-29,16.226667
2021-06-30,17.753332
2021-07-01,18.216665
2021-07-02,19.476667
2021-07-03,19.503334
2021-07-04,19.093332
2021-07-05,19.58
2021-07-06,17.583334
2021-07-07,17.239998
2021-07-08,18.456665
2021-07-09,19.973331
2021-07-10,22.346666
2021-07-11,19.493334
2021-07-12,16.796667
2021-07-13,17.523333
2021-07-14,20.66
2021-07-15,24.340002
2021-07-16,26.863333
2021-07-17,24.776665
2021-07-18,20.326668
2021-07-19,18.499998
2021-07-20,18.436666
2021-07-21,19.623333
2021-07-22,18.036667
2021-07-23,18.43
2021-07-24,18.126665
2021-07-25,18.706665
2021-07-26,20.653334
2021-07-27,20.526667
2021-07-28,20.893332
2021-07-29,19.51
2021-07-30,18.756666
2021-07-31,17.753334
2021-08-01,17.206667
2021-08-02,19.996666
2021-08-03,19.029999
2021-08-04,20.423334
2021-08-05,19.75
2021-08-06,19.126665
2021-08-07,18.386665
2021-08-08,17.873333
2021-08-09,18.63
2021-08-10,20.666666
2021-08-11,21.006666
2021-08-12,20.599998
2021-08-13,22.19
2021-08-14,20.596666
2021-08-15,21.313332
2021-08-16,21.06
2021-08-17,21.736666
2021-08-18,20.196667
2021-08-19,19.539999
2021-08-20,18.563334
2021-08-21,19.706665
2021-08-22,21.31
2021-08-23,23.726667
2021-08-24,23.733335
2021-08-25,21.263332
2021-08-26,21.226665
2021-08-27,20.086664
2021-08-28,19.116667
2021-08-29,19.133333
2021-08-30,20.116667
2021-08-31,20.816668
2021-09-01,19.8
2021-09-02,20.03
2021-09-03,19.766666
2021-09-04,20.036667
2021-09-05,23.243332
2021-09-06,24.543335
2021-09-07,21.57
2021-09-08,19.64
2021-09-09,20.26
2021-09-10,19.893333
2021-09-11,20.476667
2021-09-12,22.049997
2021-09-13,20.4
2021-09-14,19.019999
2021-09-15,19.289999
2021-09-16,20.203333
2021-09-17,18.553333
2021-09-18,16.886667
2021-09-19,17.436666
2021-09-20,18.393332
2021-09-21,19.676666
2021-09-22,19.193335
2021-09-23,16.713333
2021-09-24,18.39
2021-09-25,17.453333
2021-09-26,18.306665
2021-09-27,18.016666
2021-09-28,16.63
2021-09-29,16.47
2021-09-30,16.94333
2021-10-01,19.543333
2021-10-02,19.876665
2021-10-03,15.099999
2021-10-04,16.213333
2021-10-05,18.003332
2021-10-06,19.546667
2021-10-07,20.113333
2021-10-08,20.043333
2021-10-09,19.573334
2021-10-10,19.686666
2021-10-11,19.196665
2021-10-12,18.836668
