time,DEB3F
2021-01-01,5.08875
2021-01-02,3.8574996
2021-01-03,3.4475
2021-01-04,4.39
2021-01-05,2.6787498
2021-01-06,3.46125
2021-01-07,3.36375
2021-01-08,3.6325002
2021-01-09,3.2025
2021-01-10,5.2525
2021-01-11,4.56625
2021-01-12,3.82125
2021-01-13,3.7237499
2021-01-14,4.0462494
2021-01-15,5.4312496
2021-01-16,4.1899996
2021-01-17,5.4337497
2021-01-18,6.9100003
2021-01-19,7.4599996
2021-01-20,11.54
2021-01-21,12.1475
2021-01-22,10.014999
2021-01-23,10.745
2021-01-24,11.2
2021-01-25,13.3949995
2021-01-26,14.841249
2021-01-27,13.820001
2021-01-28,12.341249
2021-01-29,12.456249
2021-01-30,11.5075
2021-01-31,12.88125
2021-02-01,12.20875
2021-02-02,12.983749
2021-02-03,13.3975
2021-02-04,10.18125
2021-02-05,8.6275
2021-02-06,8.834999
2021-02-07,7.35
2021-02-08,10.174999
2021-02-09,10.771251
2021-02-10,11.94125
2021-02-11,13.656249
2021-02-12,12.50375
2021-02-13,11.835
2021-02-14,13.37125
2021-02-15,13.89875
2021-02-16,12.2275
2021-02-17,12.384999
2021-02-18,12.03
2021-02-19,12.623749
2021-02-20,12.08375
2021-02-21,8.424999
2021-02-22,8.57625
2021-02-23,11.818749
2021-02-24,13.12125
2021-02-25,10.892499
2021-02-26,13.103749
2021-02-27,12.804998
2021-02-28,12.3875
2021-03-01,11.9175
2021-03-02,11.825
2021-03-03,12.5875
2021-03-04,13.11375
2021-03-05,12.9887495
2021-03-06,12.35375
2021-03-07,11.233749
2021-03-08,9.62
2021-03-09,9.8175
2021-03-10,10.023749
2021-03-11,12.3225
2021-03-12,10.96875
2021-03-13,9.4475
2021-03-14,10.6325
2021-03-15,12.598749
2021-03-16,14.37875
2021-03-17,15.38375
2021-03-18,12.795
2021-03-19,11.28875
2021-03-20,10.577499
2021-03-21,10.1449995
2021-03-22,11.31
2021-03-23,11.3575
2021-03-24,10.885
2021-03-25,10.49125
2021-03-26,11.005
2021-03-27,12.1675005
2021-03-28,15.635
2021-03-29,15.4375
2021-03-30,17.4225
2021-03-31,21.5025
2021-04-01,16.085001
2021-04-02,13.77625
2021-04-03,15.151249
2021-04-04,15.2225
2021-04-05,15.627499
2021-04-06,15.04875
2021-04-07,14.69
2021-04-08,14.85125
2021-04-09,13.954999
2021-04-10,13.567499
2021-04-11,14.14125
2021-04-12,13.59
2021-04-13,14.084999
2021-04-14,16.44125
2021-04-15,16.04125
2021-04-16,14.6762495
2021-04-17,14.264999
2021-04-18,15.211249
2021-04-19,15.549999
2021-04-20,13.683749
2021-04-21,12.848749
2021-04-22,15.08375
2021-04-23,15.169999
2021-04-24,16.30125
2021-04-25,14.199999
2021-04-26,15.769999
2021-04-27,15.53875
2021-04-28,13.879999
2021-04-29,12.155
2021-04-30,11.327498
2021-05-01,10.956249
2021-05-02,11.46125
2021-05-03,13.5575
2021-05-04,13.9025
2021-05-05,14.742499
2021-05-06,15.7275
2021-05-07,16.2125
2021-05-08,15.947499
2021-05-09,12.57375
2021-05-10,10.656249
2021-05-11,11.885
2021-05-12,13.54875
2021-05-13,13.35
2021-05-14,14.22375
2021-05-15,15.526249
2021-05-16,16.15875
2021-05-17,15.3475
2021-05-18,15.163749
2021-05-19,16.06
2021-05-20,17.631248
2021-05-21,15.497499
2021-05-22,12.9
2021-05-23,12.768749
2021-05-24,14.16375
2021-05-25,15.4975
2021-05-26,17.637499
2021-05-27,16.94125
2021-05-28,17.793749
2021-05-29,17.84125
2021-05-30,19.63125
2021-05-31,18.388748
2021-06-01,15.626249
2021-06-02,16.04625
2021-06-03,14.73875
2021-06-04,15.66125
2021-06-05,17.943748
2021-06-06,18.632502
2021-06-07,18.589998
2021-06-08,19.02625
2021-06-09,20.183748
2021-06-10,20.6
2021-06-11,21.161251
2021-06-12,22.5775
2021-06-13,22.01625
2021-06-14,21.3975
2021-06-15,22.024998
2021-06-16,19.79625
2021-06-17,16.2475
2021-06-18,15.868751
2021-06-19,15.776249
2021-06-20,15.12625
2021-06-21,15.475
2021-06-22,17.087498
2021-06-23,17.9525
2021-06-24,20.61375
2021-06-25,23.44125
2021-06-26,19.252499
2021-06-27,16.59125
2021-06-28,15.99375
2021-06-29,16.15625
2021-06-30,17.838749
2021-07-01,18.34375
2021-07-02,19.773748
2021-07-03,19.70375
2021-07-04,19.215
2021-07-05,19.9375
2021-07-06,17.3325
2021-07-07,17.044998
2021-07-08,18.5275
2021-07-09,20.519999
2021-07-10,22.84
2021-07-11,20.3975
2021-07-12,16.93875
2021-07-13,17.36125
2021-07-14,20.701248
2021-07-15,24.06625
2021-07-16,26.94875
2021-07-17,24.86
2021-07-18,20.8575
2021-07-19,18.835
2021-07-20,18.658749
2021-07-21,19.8275
2021-07-22,18.51875
2021-07-23,18.77
2021-07-24,18.56125
2021-07-25,18.7425
2021-07-26,20.38625
2021-07-27,20.535
2021-07-28,21.36
2021-07-29,19.943748
2021-07-30,18.878752
2021-07-31,17.59
