time,DEB3G
2021-01-01,6.1575
2021-01-02,4.8199997
2021-01-03,4.3849998
2021-01-04,5.1025
2021-01-05,3.9474998
2021-01-06,4.3500004
2021-01-07,4.62
2021-01-08,5.0775
2021-01-09,4.2374997
2021-01-10,6.0975
2021-01-11,5.105
2021-01-12,3.9575
2021-01-13,3.2124999
2021-01-14,4.41
2021-01-15,5.095
2021-01-16,4.625
2021-01-17,5.495
2021-01-18,7.1675
2021-01-19,7.3075
2021-01-20,12.4175
2021-01-21,12.2699995
2021-01-22,10.3975
2021-01-23,11.4375
2021-01-24,12.1175
2021-01-25,14.092499
2021-01-26,15.562499
2021-01-27,14.1275
2021-01-28,12.7925005
2021-01-29,12.735
2021-01-30,11.8825
2021-01-31,14.097499
2021-02-01,12.782499
2021-02-02,14.0575
2021-02-03,14.5275
2021-02-04,10.695
2021-02-05,8.88
2021-02-06,9.335
2021-02-07,8.0625
2021-02-08,11.265
2021-02-09,12.0525
2021-02-10,12.829999
2021-02-11,13.674999
2021-02-12,13.04
2021-02-13,13.125
2021-02-14,14.084999
2021-02-15,14.585
2021-02-16,12.254999
2021-02-17,12.242499
2021-02-18,11.995
2021-02-19,12.762499
2021-02-20,12.4225
2021-02-21,7.9949994
2021-02-22,8.705
2021-02-23,11.7075
2021-02-24,13.022501
2021-02-25,11.115
2021-02-26,13.9025
2021-02-27,13.0975
2021-02-28,12.6775
2021-03-01,12.530001
2021-03-02,12.16
2021-03-03,12.5225
2021-03-04,13.665
2021-03-05,13.705
2021-03-06,12.7925
2021-03-07,11.8025
2021-03-08,10.2625
2021-03-09,10.782499
2021-03-10,10.5925
2021-03-11,12.44
2021-03-12,11.74
2021-03-13,9.91
2021-03-14,11.58
2021-03-15,12.994999
2021-03-16,14.5
2021-03-17,15.6375
2021-03-18,13.205
2021-03-19,11.92
2021-03-20,11.440001
2021-03-21,10.33
2021-03-22,11.7074995
2021-03-23,11.8475
2021-03-24,11.787499
2021-03-25,10.91
2021-03-26,11.224999
2021-03-27,13.117499
2021-03-28,15.9574995
2021-03-29,15.28
2021-03-30,16.885
2021-03-31,20.585
2021-04-01,16.1375
2021-04-02,13.7375
2021-04-03,15.1275
2021-04-04,15.85
2021-04-05,15.957499
2021-04-06,15.3925
2021-04-07,15.66
2021-04-08,14.9175
2021-04-09,14.577499
2021-04-10,14.424999
2021-04-11,14.9574995
2021-04-12,14.3175
2021-04-13,14.71
2021-04-14,16.6425
2021-04-15,16.6
2021-04-16,14.987499
2021-04-17,14.679999
2021-04-18,15.139999
2021-04-19,15.987499
2021-04-20,13.7675
2021-04-21,13.235001
2021-04-22,15.5925
2021-04-23,15.11
2021-04-24,16.42
2021-04-25,14.344999
2021-04-26,16.3475
2021-04-27,16.15
2021-04-28,14.452499
2021-04-29,12.7775
2021-04-30,11.4375
2021-05-01,11.215
2021-05-02,11.7325
2021-05-03,13.64
2021-05-04,14.22
2021-05-05,15.327499
2021-05-06,16.0575
2021-05-07,16.6225
2021-05-08,16.422499
2021-05-09,12.315
2021-05-10,10.4675
2021-05-11,12.085
2021-05-12,13.7775
2021-05-13,13.704999
2021-05-14,14.329999
2021-05-15,15.949999
2021-05-16,16.3125
2021-05-17,15.915
2021-05-18,15.775
2021-05-19,16.5675
2021-05-20,18.4225
2021-05-21,15.822499
2021-05-22,14.002501
2021-05-23,13.215
2021-05-24,14.434999
2021-05-25,16.175
2021-05-26,17.9375
2021-05-27,17.6275
2021-05-28,18.5275
2021-05-29,18.8925
2021-05-30,19.919998
2021-05-31,18.377499
2021-06-01,15.5725
2021-06-02,16.14
2021-06-03,14.875
2021-06-04,16.3025
2021-06-05,18.544998
2021-06-06,19.355
2021-06-07,19.587498
2021-06-08,20.205
2021-06-09,20.765
2021-06-10,20.985
2021-06-11,21.6675
2021-06-12,22.859999
2021-06-13,21.917498
2021-06-14,20.98
2021-06-15,22.06
2021-06-16,19.445
2021-06-17,16.2025
2021-06-18,15.884999
2021-06-19,15.634999
2021-06-20,15.197499
2021-06-21,15.5125
2021-06-22,17.4875
2021-06-23,18.359999
2021-06-24,20.69
2021-06-25,22.91
2021-06-26,19.07
2021-06-27,16.314999
2021-06-28,15.924999
2021-06-29,16.182499
2021-06-30,18.035
2021-07-01,18.0425
2021-07-02,19.2075
2021-07-03,19.7575
2021-07-04,19.1925
2021-07-05,20.26
2021-07-06,17.244999
2021-07-07,17.039999
2021-07-08,18.912498
2021-07-09,21.0275
2021-07-10,22.882498
2021-07-11,20.9375
2021-07-12,17.2225
2021-07-13,17.130001
2021-07-14,20.785
2021-07-15,23.3175
2021-07-16,26.615
2021-07-17,25.27
2021-07-18,21.785
2021-07-19,19.4725
2021-07-20,18.839998
2021-07-21,19.785
2021-07-22,18.654999
2021-07-23,18.565
2021-07-24,18.77
2021-07-25,19.1525
2021-07-26,21.137499
2021-07-27,21.2925
2021-07-28,21.8825
2021-07-29,20.7225
2021-07-30,18.9075
2021-07-31,17.9175
2021-08-01,17.25
2021-08-02,19.9525
2021-08-03,19.0275
2021-08-04,20.6175
2021-08-05,19.9875
2021-08-06,18.862501
2021-08-07,17.672499
2021-08-08,17.932499
2021-08-09,18.6975
2021-08-10,21.1225
2021-08-11,21.377499
2021-08-12,21.5225
2021-08-13,23.527498
2021-08-14,22.4525
2021-08-15,22.55
2021-08-16,22.1225
2021-08-17,21.7075
2021-08-18,20.5975
2021-08-19,20.045
2021-08-20,18.8975
2021-08-21,19.9
2021-08-22,21.779999
2021-08-23,23.857498
2021-08-24,23.349998
2021-08-25,21.442501
2021-08-26,21.3275
2021-08-27,20.762497
2021-08-28,19.195
2021-08-29,18.8325
2021-08-30,20.2375
2021-08-31,20.6675
2021-09-01,20.235
2021-09-02,20.109999
2021-09-03,20.119999
2021-09-04,20.3125
2021-09-05,23.61
2021-09-06,25.359999
2021-09-07,21.545
2021-09-08,19.4075
2021-09-09,19.914999
2021-09-10,20.252499
2021-09-11,20.899998
2021-09-12,22.345001
2021-09-13,20.484999
2021-09-14,18.9925
2021-09-15,19.8025
2021-09-16,19.965
2021-09-17,18.7425
2021-09-18,17.1175
2021-09-19,17.91
2021-09-20,18.3575
2021-09-21,19.142498
2021-09-22,18.9475
2021-09-23,17.15
2021-09-24,18.535
2021-09-25,16.6975
2021-09-26,17.935001
2021-09-27,18.244999
