time,DEB3H
2021-01-01,3.7
2021-01-02,2.3533332
2021-01-03,2.243333
2021-01-04,3.1833334
2021-01-05,0.6699999
2021-01-06,1.1916666
2021-01-07,1.8216666
2021-01-08,1.5633332
2021-01-09,2.1466665
2021-01-10,3.93
2021-01-11,2.8183334
2021-01-12,2.823333
2021-01-13,3.07
2021-01-14,2.5449998
2021-01-15,4.258333
2021-01-16,2.8433332
2021-01-17,3.5349998
2021-01-18,4.95
2021-01-19,6.111666
2021-01-20,10.33
2021-01-21,11.264999
2021-01-22,8.328334
2021-01-23,9.54
2021-01-24,9.616666
2021-01-25,12.163334
2021-01-26,13.659999
2021-01-27,13.266666
2021-01-28,11.906666
2021-01-29,12.035
2021-01-30,10.458333
2021-01-31,11.485
2021-02-01,11.161667
2021-02-02,11.608333
2021-02-03,12.174999
2021-02-04,8.883333
2021-02-05,7.7016664
2021-02-06,7.468333
2021-02-07,5.961666
2021-02-08,8.536666
2021-02-09,8.511666
2021-02-10,10.341666
2021-02-11,12.818334
2021-02-12,11.381665
2021-02-13,10.601666
2021-02-14,11.631667
2021-02-15,12.551666
2021-02-16,11.128334
2021-02-17,11.428332
2021-02-18,11.2716675
2021-02-19,12.211666
2021-02-20,11.526668
2021-02-21,7.845
2021-02-22,7.6066666
2021-02-23,10.453333
2021-02-24,11.7283325
2021-02-25,9.746666
2021-02-26,11.813334
2021-02-27,11.591667
2021-02-28,10.735001
2021-03-01,10.091666
2021-03-02,10.415
2021-03-03,11.759999
2021-03-04,12.116666
2021-03-05,12.191666
2021-03-06,11.304999
2021-03-07,10.086666
2021-03-08,8.441667
2021-03-09,8.095
2021-03-10,9.065
2021-03-11,11.349999
2021-03-12,9.653333
2021-03-13,7.8849998
2021-03-14,9.616667
2021-03-15,11.72
2021-03-16,13.03
2021-03-17,13.568334
2021-03-18,11.005
2021-03-19,9.883334
2021-03-20,8.974999
2021-03-21,8.86
2021-03-22,10.483334
2021-03-23,11.415
2021-03-24,10.018333
2021-03-25,10.321667
2021-03-26,10.261666
2021-03-27,11.36
2021-03-28,15.11
2021-03-29,14.628334
2021-03-30,16.348333
2021-03-31,20.69
2021-04-01,15.811666
2021-04-02,12.990001
2021-04-03,14.755
2021-04-04,13.891666
2021-04-05,15.151666
2021-04-06,14.62
2021-04-07,13.341667
2021-04-08,14.204999
2021-04-09,12.941667
2021-04-10,11.993333
2021-04-11,12.8949995
2021-04-12,11.751666
2021-04-13,12.513332
2021-04-14,15.316666
2021-04-15,14.971667
2021-04-16,13.321667
2021-04-17,12.57
2021-04-18,13.825
2021-04-19,14.551666
2021-04-20,12.946666
2021-04-21,11.313334
2021-04-22,13.8533325
2021-04-23,14.29
2021-04-24,15.373333
2021-04-25,13.0
2021-04-26,14.316666
2021-04-27,14.195
2021-04-28,12.908333
2021-04-29,10.899999
2021-04-30,10.27
2021-05-01,10.166667
2021-05-02,10.453334
2021-05-03,13.126667
2021-05-04,13.746666
2021-05-05,14.111667
2021-05-06,14.858333
2021-05-07,15.486667
2021-05-08,15.489999
2021-05-09,11.438333
2021-05-10,9.246667
2021-05-11,10.103333
2021-05-12,12.07
2021-05-13,11.62
2021-05-14,12.928333
2021-05-15,14.273334
2021-05-16,15.418332
2021-05-17,14.341667
2021-05-18,14.261665
2021-05-19,15.403333
2021-05-20,17.5
2021-05-21,14.405
2021-05-22,11.514999
2021-05-23,11.56
2021-05-24,13.065
2021-05-25,15.008334
2021-05-26,18.033333
2021-05-27,17.336668
2021-05-28,17.851667
2021-05-29,17.336666
2021-05-30,19.958332
2021-05-31,19.466665
2021-06-01,14.88
2021-06-02,15.188333
2021-06-03,14.4783325
2021-06-04,15.336666
2021-06-05,18.133333
2021-06-06,18.234999
2021-06-07,18.681665
2021-06-08,18.565
2021-06-09,20.625
2021-06-10,21.175001
2021-06-11,21.456667
2021-06-12,22.063334
2021-06-13,21.206667
2021-06-14,21.914999
2021-06-15,22.213333
2021-06-16,19.863333
2021-06-17,15.901668
2021-06-18,14.763333
2021-06-19,14.634999
2021-06-20,13.545001
2021-06-21,14.418332
2021-06-22,16.01
2021-06-23,17.52
2021-06-24,20.199999
2021-06-25,23.394999
2021-06-26,19.606667
2021-06-27,16.206667
2021-06-28,15.866666
2021-06-29,15.583333
2021-06-30,17.608334
2021-07-01,18.644999
2021-07-02,19.548332
2021-07-03,19.421667
2021-07-04,18.101667
2021-07-05,18.873331
2021-07-06,16.506666
2021-07-07,16.228333
2021-07-08,18.508333
2021-07-09,21.406668
2021-07-10,24.373331
2021-07-11,21.391668
2021-07-12,16.003332
2021-07-13,17.151667
2021-07-14,21.074999
2021-07-15,24.246666
2021-07-16,26.995
2021-07-17,25.765
2021-07-18,21.123331
2021-07-19,19.263332
2021-07-20,18.666666
2021-07-21,20.348333
2021-07-22,18.894999
2021-07-23,18.47
2021-07-24,18.035
2021-07-25,17.933332
2021-07-26,20.286665
2021-07-27,20.055
2021-07-28,21.748335
2021-07-29,20.533333
2021-07-30,18.605
2021-07-31,17.123335
2021-08-01,16.63
2021-08-02,19.946665
2021-08-03,19.598333
2021-08-04,20.523333
2021-08-05,20.051666
2021-08-06,18.733332
2021-08-07,17.885
2021-08-08,17.914999
2021-08-09,19.71
2021-08-10,21.705
2021-08-11,22.628332
2021-08-12,22.179998
2021-08-13,24.603333
2021-08-14,23.246666
2021-08-15,23.513334
2021-08-16,22.576666
2021-08-17,22.598333
2021-08-18,21.466665
2021-08-19,20.411667
2021-08-20,18.769999
2021-08-21,20.285
2021-08-22,22.525
2021-08-23,25.271667
2021-08-24,24.581665
2021-08-25,22.173334
2021-08-26,22.271667
2021-08-27,21.061666
2021-08-28,18.558332
2021-08-29,18.64
2021-08-30,19.74
2021-08-31,20.755
2021-09-01,18.318333
2021-09-02,18.56
2021-09-03,19.143333
2021-09-04,20.016666
2021-09-05,23.908333
2021-09-06,24.635
2021-09-07,20.533333
2021-09-08,18.42
2021-09-09,18.856667
2021-09-10,18.611666
2021-09-11,19.625
2021-09-12,22.036667
2021-09-13,19.435
2021-09-14,17.193333
2021-09-15,17.855
2021-09-16,18.933332
2021-09-17,17.49
2021-09-18,15.981667
2021-09-19,16.616667
2021-09-20,17.39
2021-09-21,17.661667
2021-09-22,17.25
2021-09-23,15.396667
2021-09-24,17.693333
2021-09-25,15.423332
2021-09-26,16.946665
2021-09-27,17.373335
2021-09-28,15.851666
2021-09-29,15.468333
2021-09-30,17.196667
2021-10-01,18.631666
2021-10-02,18.351667
2021-10-03,13.388333
2021-10-04,13.763333
2021-10-05,16.341667
2021-10-06,17.871666
2021-10-07,19.218332
2021-10-08,18.983332
2021-10-09,17.978333
2021-10-10,18.216667
2021-10-11,17.421667
2021-10-12,17.811666
2021-10-13,17.775
2021-10-14,16.836666
2021-10-15,16.426666
2021-10-16,15.928333
2021-10-17,18.245
2021-10-18,19.888334
2021-10-19,19.625
2021-10-20,18.699999
2021-10-21,14.576667
2021-10-22,14.06
2021-10-23,13.096667
2021-10-24,13.386665
2021-10-25,13.658333
2021-10-26,13.919999
2021-10-27,14.506665
2021-10-28,13.495
2021-10-29,13.785
2021-10-30,16.418333
2021-10-31,16.186666
2021-11-01,12.911667
2021-11-02,11.218333
2021-11-03,8.553333
2021-11-04,8.106667
2021-11-05,8.054999
2021-11-06,8.03
2021-11-07,8.603333
2021-11-08,11.29
2021-11-09,12.605
2021-11-10,11.191666
2021-11-11,10.718333
2021-11-12,10.613334
2021-11-13,10.650001
2021-11-14,9.913333
2021-11-15,8.788333
2021-11-16,9.446667
2021-11-17,9.745
2021-11-18,9.708333
2021-11-19,11.115001
2021-11-20,12.125
2021-11-21,11.555
2021-11-22,7.7233334
2021-11-23,5.6066666
2021-11-24,6.5966663
2021-11-25,5.3116665
2021-11-26,6.1666665
2021-11-27,6.64
2021-11-28,5.2899995
2021-11-29,9.521667
2021-11-30,7.858333
2021-12-01,6.383333
2021-12-02,7.486666
2021-12-03,6.43
2021-12-04,10.008334
2021-12-05,8.67
2021-12-06,9.411666
2021-12-07,11.193333
2021-12-08,7.775
2021-12-09,9.498333
2021-12-10,10.945
2021-12-11,9.813333
2021-12-12,9.59
2021-12-13,10.138333
2021-12-14,8.9
2021-12-15,8.638333
2021-12-16,7.895
2021-12-17,7.886667
2021-12-18,6.9283333
2021-12-19,7.895
2021-12-20,10.036666
2021-12-21,12.84
2021-12-22,12.925
2021-12-23,12.058333
2021-12-24,10.8550005
2021-12-25,11.801666
2021-12-26,12.7
2021-12-27,13.623332
2021-12-28,13.566667
2021-12-29,13.263333
2021-12-30,11.253334
2021-12-31,11.436666
