time,DEB3I
2021-01-01,5.565
2021-01-02,4.2466664
2021-01-03,3.67
2021-01-04,4.023333
2021-01-05,1.7883333
2021-01-06,2.6333334
2021-01-07,3.045
2021-01-08,3.3733332
2021-01-09,2.8533332
2021-01-10,4.636667
2021-01-11,3.3933332
2021-01-12,2.5883334
2021-01-13,2.8016665
2021-01-14,3.5533333
2021-01-15,4.4083333
2021-01-16,3.9116662
2021-01-17,4.8166666
2021-01-18,5.845
2021-01-19,5.9149995
2021-01-20,10.736667
2021-01-21,11.773334
2021-01-22,9.991666
2021-01-23,10.086667
2021-01-24,10.936666
2021-01-25,12.968333
2021-01-26,14.426666
2021-01-27,13.926667
2021-01-28,12.208333
2021-01-29,11.886666
2021-01-30,11.131665
2021-01-31,12.055
2021-02-01,12.044999
2021-02-02,12.743332
2021-02-03,12.668332
2021-02-04,9.78
2021-02-05,8.703334
2021-02-06,8.670001
2021-02-07,7.0699997
2021-02-08,10.053332
2021-02-09,10.226666
2021-02-10,11.986667
2021-02-11,13.811666
2021-02-12,12.718333
2021-02-13,11.509999
2021-02-14,12.811666
2021-02-15,13.243333
2021-02-16,11.606667
2021-02-17,11.915
2021-02-18,11.648334
2021-02-19,11.966666
2021-02-20,11.899999
2021-02-21,8.518333
2021-02-22,8.376666
2021-02-23,10.245
2021-02-24,11.996666
2021-02-25,10.706666
2021-02-26,12.486667
2021-02-27,11.828334
2021-02-28,11.488334
2021-03-01,11.691667
2021-03-02,11.863334
2021-03-03,12.566667
2021-03-04,12.904999
2021-03-05,12.745
2021-03-06,12.183333
2021-03-07,11.59
2021-03-08,9.608334
2021-03-09,9.69
2021-03-10,10.226666
2021-03-11,11.901666
2021-03-12,11.325
2021-03-13,9.6883335
2021-03-14,11.331666
2021-03-15,12.418334
2021-03-16,13.558333
2021-03-17,14.27
2021-03-18,11.634999
2021-03-19,10.306666
2021-03-20,9.863332
2021-03-21,9.115001
2021-03-22,11.263333
2021-03-23,12.116666
2021-03-24,11.933333
2021-03-25,11.794999
2021-03-26,11.855
