time,DEB3J
2021-01-01,6.0899997
2021-01-02,4.702
2021-01-03,4.1879997
2021-01-04,4.694
2021-01-05,3.0479999
2021-01-06,3.9099998
2021-01-07,4.238
2021-01-08,4.784
2021-01-09,3.652
2021-01-10,5.294
2021-01-11,4.4579997
2021-01-12,3.2779999
2021-01-13,2.746
2021-01-14,3.968
2021-01-15,4.968
2021-01-16,4.302
2021-01-17,5.4199996
2021-01-18,6.354
2021-01-19,6.6940002
2021-01-20,11.643999
2021-01-21,11.938001
2021-01-22,10.384
2021-01-23,10.858
2021-01-24,11.714
2021-01-25,13.960001
2021-01-26,15.231999
2021-01-27,14.091998
2021-01-28,12.504
2021-01-29,11.996
2021-01-30,11.811999
2021-01-31,12.987999
2021-02-01,12.513999
2021-02-02,13.866
2021-02-03,14.1519985
2021-02-04,10.478
2021-02-05,8.896
2021-02-06,9.3
2021-02-07,7.9759994
2021-02-08,10.7300005
2021-02-09,11.516001
2021-02-10,12.68
2021-02-11,13.8220005
2021-02-12,12.876001
2021-02-13,13.136
2021-02-14,13.74
2021-02-15,13.978
2021-02-16,12.002
2021-02-17,12.1380005
2021-02-18,11.804
2021-02-19,12.643999
2021-02-20,12.168
2021-02-21,7.9659986
2021-02-22,8.5720005
2021-02-23,10.917999
2021-02-24,12.780001
2021-02-25,11.117999
2021-02-26,13.634
2021-02-27,12.690001
2021-02-28,12.198
2021-03-01,12.114
2021-03-02,11.957999
2021-03-03,12.278
2021-03-04,13.343999
2021-03-05,13.426
2021-03-06,12.6779995
2021-03-07,11.82
2021-03-08,9.844
2021-03-09,10.638
2021-03-10,10.514
2021-03-11,12.094
2021-03-12,11.658
2021-03-13,9.86
2021-03-14,11.533999
2021-03-15,12.789999
2021-03-16,14.067999
2021-03-17,15.158
2021-03-18,12.717999
2021-03-19,11.409999
2021-03-20,10.9
2021-03-21,9.8880005
2021-03-22,11.587999
2021-03-23,11.91
2021-03-24,12.002
2021-03-25,11.223999
2021-03-26,11.65
2021-03-27,13.213999
2021-03-28,16.15
2021-03-29,15.506
2021-03-30,16.938
2021-03-31,20.371998
2021-04-01,16.343998
2021-04-02,13.944
2021-04-03,15.06
2021-04-04,15.598
2021-04-05,15.823999
2021-04-06,15.525999
2021-04-07,15.592
2021-04-08,14.9
2021-04-09,14.6779995
2021-04-10,14.394
2021-04-11,14.941999
2021-04-12,14.1
2021-04-13,14.773999
2021-04-14,16.331997
2021-04-15,16.128
2021-04-16,14.797999
2021-04-17,14.394
