time,DEB3K
2021-01-01,3.2891667
2021-01-02,2.185
2021-01-03,2.1258333
2021-01-04,2.1833334
2021-01-05,-0.69666666
2021-01-06,-0.47333327
2021-01-07,0.585
2021-01-08,0.6641667
2021-01-09,1.4466666
2021-01-10,2.7791665
2021-01-11,1.29
2021-01-12,1.3575001
2021-01-13,1.3566666
2021-01-14,1.4166666
2021-01-15,1.6783333
2021-01-16,1.9625
2021-01-17,1.5724999
2021-01-18,2.9433334
2021-01-19,4.130833
2021-01-20,9.658334
2021-01-21,10.722499
2021-01-22,7.873333
2021-01-23,8.668333
2021-01-24,8.975833
2021-01-25,11.835834
2021-01-26,13.177501
2021-01-27,13.051666
2021-01-28,11.695
2021-01-29,11.795834
2021-01-30,9.501666
2021-01-31,10.739166
2021-02-01,9.738334
2021-02-02,10.6325
2021-02-03,10.919999
2021-02-04,8.078334
2021-02-05,7.547499
2021-02-06,6.6416664
2021-02-07,5.075833
2021-02-08,7.3858337
2021-02-09,7.313333
2021-02-10,9.679166
2021-02-11,12.120833
2021-02-12,10.623333
2021-02-13,9.499999
2021-02-14,10.966666
2021-02-15,11.895833
2021-02-16,10.435833
2021-02-17,10.63
2021-02-18,10.607499
2021-02-19,11.089166
2021-02-20,10.886666
2021-02-21,7.5641656
2021-02-22,7.2316666
2021-02-23,8.683333
2021-02-24,10.855834
2021-02-25,9.693334
2021-02-26,11.28
2021-02-27,10.7825
2021-02-28,9.3925
2021-03-01,9.205833
2021-03-02,9.506667
2021-03-03,11.361667
2021-03-04,11.333333
2021-03-05,11.385833
2021-03-06,10.3425
2021-03-07,9.909166
2021-03-08,7.7916665
2021-03-09,7.2225
2021-03-10,8.706666
2021-03-11,10.668334
2021-03-12,8.747499
2021-03-13,7.5833335
2021-03-14,9.3425
2021-03-15,10.789166
2021-03-16,11.548333
2021-03-17,12.216667
2021-03-18,9.423333
2021-03-19,8.41
2021-03-20,7.495833
2021-03-21,7.474167
2021-03-22,9.466666
2021-03-23,11.309166
2021-03-24,10.7699995
2021-03-25,10.920833
2021-03-26,10.704999
2021-03-27,11.0824995
2021-03-28,14.648334
2021-03-29,14.548332
2021-03-30,16.0925
2021-03-31,19.530832
2021-04-01,16.275
2021-04-02,13.0841675
2021-04-03,14.126666
2021-04-04,12.985001
2021-04-05,14.413333
2021-04-06,14.493333
2021-04-07,12.522499
2021-04-08,14.014999
2021-04-09,12.9975
2021-04-10,12.046666
2021-04-11,12.094998
2021-04-12,10.677501
2021-04-13,11.846667
2021-04-14,14.389999
2021-04-15,13.98
2021-04-16,11.803332
2021-04-17,10.7625
2021-04-18,12.474998
2021-04-19,14.454166
2021-04-20,12.770833
2021-04-21,11.224999
2021-04-22,13.532498
2021-04-23,13.940834
2021-04-24,14.798332
2021-04-25,12.744167
2021-04-26,13.640832
2021-04-27,14.060833
2021-04-28,12.473332
2021-04-29,10.328334
2021-04-30,9.934167
2021-05-01,10.056666
2021-05-02,10.548333
2021-05-03,12.8725
2021-05-04,14.100833
2021-05-05,14.521667
2021-05-06,15.485
2021-05-07,16.581667
2021-05-08,16.574167
2021-05-09,10.9574995
2021-05-10,9.2625
2021-05-11,9.8116665
2021-05-12,12.089999
2021-05-13,11.634167
2021-05-14,13.3175
2021-05-15,14.933333
2021-05-16,15.599166
2021-05-17,15.2625
2021-05-18,15.394166
2021-05-19,16.038332
2021-05-20,18.638332
2021-05-21,15.550832
2021-05-22,11.918332
2021-05-23,11.889999
2021-05-24,13.120833
2021-05-25,15.271667
2021-05-26,18.814165
2021-05-27,18.66
2021-05-28,19.473333
2021-05-29,19.631666
2021-05-30,21.189165
2021-05-31,20.741667
2021-06-01,15.830833
2021-06-02,16.228333
2021-06-03,15.959167
2021-06-04,16.4775
2021-06-05,19.160833
2021-06-06,19.5625
2021-06-07,20.624166
2021-06-08,20.631666
2021-06-09,22.089165
2021-06-10,22.905832
2021-06-11,22.713333
2021-06-12,22.315
2021-06-13,21.355001
2021-06-14,22.690832
2021-06-15,22.544998
2021-06-16,20.471666
2021-06-17,16.56
2021-06-18,15.448334
2021-06-19,14.863332
2021-06-20,14.022499
2021-06-21,14.3675
2021-06-22,16.311666
2021-06-23,17.346666
2021-06-24,20.135832
2021-06-25,23.2975
2021-06-26,21.5525
2021-06-27,17.360834
2021-06-28,16.595
2021-06-29,17.4925
2021-06-30,19.208332
2021-07-01,20.721666
2021-07-02,21.612501
2021-07-03,21.009165
2021-07-04,19.329165
2021-07-05,20.495832
2021-07-06,16.7025
