time,DEC04
2021-01-01,7.2088885
2021-01-02,5.821111
2021-01-03,5.3588886
2021-01-04,5.7988887
2021-01-05,5.041111
2021-01-06,5.628889
2021-01-07,6.1055555
2021-01-08,6.6677775
2021-01-09,5.06
2021-01-10,6.5222225
2021-01-11,5.3688884
2021-01-12,4.423333
2021-01-13,3.8711112
2021-01-14,4.5388885
2021-01-15,5.9233336
2021-01-16,5.048888
2021-01-17,6.495555
2021-01-18,7.1766663
2021-01-19,7.596667
2021-01-20,13.00111
2021-01-21,12.968889
2021-01-22,11.143333
2021-01-23,12.285556
2021-01-24,13.103334
2021-01-25,14.908888
2021-01-26,15.873333
2021-01-27,14.73
2021-01-28,13.18111
2021-01-29,13.066668
2021-01-30,13.037777
2021-01-31,14.863334
2021-02-01,13.402222
2021-02-02,15.297779
2021-02-03,16.197777
2021-02-04,11.315556
2021-02-05,9.615555
2021-02-06,10.628888
2021-02-07,9.367779
2021-02-08,12.638889
2021-02-09,13.362223
2021-02-10,14.085554
2021-02-11,14.798889
2021-02-12,14.030001
2021-02-13,14.254444
2021-02-14,14.617778
2021-02-15,15.207777
2021-02-16,12.555555
2021-02-17,12.575556
2021-02-18,12.576667
2021-02-19,13.233334
2021-02-20,12.681111
2021-02-21,8.682222
2021-02-22,9.315556
2021-02-23,11.552222
2021-02-24,13.556666
2021-02-25,12.155555
2021-02-26,14.726667
2021-02-27,13.826666
2021-02-28,13.462222
2021-03-01,13.364444
2021-03-02,13.462222
2021-03-03,12.868888
2021-03-04,14.628889
2021-03-05,14.611111
2021-03-06,13.695555
2021-03-07,13.004444
2021-03-08,11.14111
2021-03-09,12.005555
2021-03-10,11.84111
2021-03-11,12.948888
2021-03-12,13.021111
2021-03-13,11.2288885
2021-03-14,12.656666
2021-03-15,13.806667
2021-03-16,14.627777
2021-03-17,16.057777
2021-03-18,13.866666
2021-03-19,12.684444
2021-03-20,12.285556
2021-03-21,10.911112
2021-03-22,12.352222
2021-03-23,12.768888
2021-03-24,12.91
2021-03-25,11.978888
2021-03-26,12.036667
2021-03-27,14.878887
2021-03-28,16.87111
2021-03-29,16.294443
2021-03-30,16.917778
2021-03-31,20.866667
2021-04-01,17.047777
2021-04-02,14.753333
2021-04-03,15.871111
2021-04-04,16.62222
2021-04-05,16.847778
2021-04-06,16.7
2021-04-07,16.746666
2021-04-08,15.727777
2021-04-09,15.706665
2021-04-10,15.625554
2021-04-11,16.292223
2021-04-12,15.587777
2021-04-13,15.739999
2021-04-14,17.226665
2021-04-15,17.346666
2021-04-16,16.093332
2021-04-17,15.47111
2021-04-18,15.514443
2021-04-19,16.643333
2021-04-20,14.463333
2021-04-21,14.126666
2021-04-22,16.846666
2021-04-23,16.16
2021-04-24,17.503332
2021-04-25,16.006666
2021-04-26,16.956665
2021-04-27,16.76
2021-04-28,14.981112
2021-04-29,13.633333
2021-04-30,12.547778
2021-05-01,11.89111
2021-05-02,13.042223
2021-05-03,14.701111
2021-05-04,15.686666
2021-05-05,16.774443
2021-05-06,17.283333
2021-05-07,18.216667
2021-05-08,17.541111
2021-05-09,13.154445
2021-05-10,11.542222
2021-05-11,13.464444
2021-05-12,15.117778
2021-05-13,15.19111
2021-05-14,15.946667
2021-05-15,17.291111
2021-05-16,17.762222
2021-05-17,17.805553
2021-05-18,17.4
2021-05-19,18.67111
2021-05-20,20.156668
2021-05-21,17.257778
2021-05-22,15.779999
2021-05-23,14.661111
2021-05-24,15.927776
2021-05-25,18.071112
2021-05-26,19.413334
2021-05-27,18.663334
2021-05-28,19.65111
2021-05-29,20.824444
2021-05-30,21.806665
2021-05-31,20.00222
2021-06-01,16.455553
2021-06-02,17.390001
2021-06-03,16.392221
2021-06-04,17.986666
2021-06-05,20.378887
2021-06-06,20.985556
2021-06-07,21.837776
2021-06-08,22.145555
2021-06-09,22.423332
2021-06-10,22.633333
2021-06-11,22.943335
2021-06-12,23.608889
2021-06-13,22.573334
2021-06-14,21.796669
2021-06-15,22.703331
2021-06-16,20.733334
2021-06-17,17.835556
2021-06-18,16.715553
2021-06-19,16.81
2021-06-20,16.175554
2021-06-21,16.735556
2021-06-22,18.82889
2021-06-23,20.061111
2021-06-24,21.997778
2021-06-25,23.41111
2021-06-26,20.314445
2021-06-27,17.80111
2021-06-28,17.48111
2021-06-29,17.812222
2021-06-30,18.988888
2021-07-01,19.196665
2021-07-02,20.373333
2021-07-03,21.227777
2021-07-04,20.041111
2021-07-05,21.246666
2021-07-06,18.804443
2021-07-07,18.529999
2021-07-08,20.766666
2021-07-09,23.122223
2021-07-10,24.802223
2021-07-11,23.056665
2021-07-12,19.050001
2021-07-13,18.643333
2021-07-14,22.033333
2021-07-15,24.34111
2021-07-16,27.343332
2021-07-17,26.66889
2021-07-18,23.62
2021-07-19,21.535557
2021-07-20,20.367777
2021-07-21,21.204445
2021-07-22,20.324442
2021-07-23,20.063334
2021-07-24,20.134443
2021-07-25,20.475555
2021-07-26,22.63889
2021-07-27,22.94111
2021-07-28,23.226667
2021-07-29,22.614447
2021-07-30,20.618889
2021-07-31,19.627777
2021-08-01,18.618889
2021-08-02,21.346666
2021-08-03,21.003334
2021-08-04,22.332222
2021-08-05,21.825556
2021-08-06,20.506666
2021-08-07,19.255556
2021-08-08,19.61111
2021-08-09,20.163334
