time,DED2C
2021-01-01,-0.95
2021-01-02,0.74
2021-01-03,1.8849999
2021-01-04,1.255
2021-01-05,0.6
2021-01-06,-0.55499995
2021-01-07,-1.9799999
2021-01-08,-2.34
2021-01-09,-5.475
2021-01-10,-4.7299995
2021-01-11,-6.875
2021-01-12,-6.9449997
2021-01-13,-4.44
2021-01-14,-3.375
2021-01-15,-6.55
2021-01-16,-7.0699997
2021-01-17,-6.16
2021-01-18,-6.145
2021-01-19,-3.99
2021-01-20,2.1799998
2021-01-21,7.16
2021-01-22,6.2599998
2021-01-23,4.39
2021-01-24,-0.049999997
2021-01-25,-2.53
2021-01-26,-2.745
2021-01-27,-2.735
2021-01-28,-2.695
2021-01-29,0.48999998
2021-01-30,1.545
2021-01-31,-0.875
2021-02-01,-1.29
2021-02-02,0.38
2021-02-03,2.86
2021-02-04,5.185
2021-02-05,3.8849998
2021-02-06,3.86
2021-02-07,6.0649996
2021-02-08,2.6799998
2021-02-09,1.655
2021-02-10,1.435
2021-02-11,-2.965
2021-02-12,-7.805
2021-02-13,-7.095
2021-02-14,-4.04
2021-02-15,-4.59
2021-02-16,1.27
2021-02-17,3.2199998
2021-02-18,2.8
2021-02-19,4.1349998
2021-02-20,5.18
2021-02-21,4.67
2021-02-22,5.325
2021-02-23,7.99
2021-02-24,7.6049995
2021-02-25,7.4849997
2021-02-26,7.0099998
2021-02-27,4.3999996
2021-02-28,1.735
2021-03-01,2.96
2021-03-02,3.9649997
2021-03-03,5.3949995
2021-03-04,6.8599997
2021-03-05,4.95
2021-03-06,-0.9
2021-03-07,-0.27499998
2021-03-08,3.53
2021-03-09,0.685
2021-03-10,0.625
2021-03-11,0.74
2021-03-12,4.635
2021-03-13,5.795
2021-03-14,3.5749998
2021-03-15,2.76
2021-03-16,2.79
2021-03-17,1.265
2021-03-18,-0.385
2021-03-19,-0.93999994
2021-03-20,-1.97
2021-03-21,-2.715
2021-03-22,1.215
2021-03-23,2.92
2021-03-24,4.345
2021-03-25,5.68
2021-03-26,8.5
2021-03-27,8.605
2021-03-28,6.0099998
2021-03-29,8.93
2021-03-30,11.86
2021-03-31,12.5199995
2021-04-01,13.174999
2021-04-02,12.12
2021-04-03,6.355
2021-04-04,2.775
2021-04-05,5.39
2021-04-06,-0.42999998
2021-04-07,-2.405
2021-04-08,0.29
2021-04-09,5.205
2021-04-10,7.8849993
2021-04-11,9.945
2021-04-12,6.915
2021-04-13,1.1099999
2021-04-14,2.09
