time,DED2D
2021-01-01,0.26999998
2021-01-02,2.335
2021-01-03,2.4199998
2021-01-04,1.68
2021-01-05,0.8566666
2021-01-06,-0.31166664
2021-01-07,-1.1116667
2021-01-08,-1.96
2021-01-09,-4.568333
2021-01-10,-4.43
2021-01-11,-6.3916664
2021-01-12,-5.815
2021-01-13,-5.0366664
2021-01-14,-3.4616668
2021-01-15,-6.3583336
2021-01-16,-6.898333
2021-01-17,-6.2000003
2021-01-18,-5.005
2021-01-19,-2.345
2021-01-20,3.0466664
2021-01-21,6.3849998
2021-01-22,7.2066665
2021-01-23,4.7983327
2021-01-24,-0.23166668
2021-01-25,-2.5683334
2021-01-26,-2.9633331
2021-01-27,-2.823333
2021-01-28,-1.0083333
2021-01-29,2.0116665
2021-01-30,2.3683333
2021-01-31,-1.25
2021-02-01,-1.7083334
2021-02-02,1.5183333
2021-02-03,5.123333
2021-02-04,6.53
2021-02-05,6.521666
2021-02-06,7.2533326
2021-02-07,7.9966664
2021-02-08,2.985
2021-02-09,2.24
2021-02-10,2.26
2021-02-11,-3.8766668
2021-02-12,-8.191667
2021-02-13,-6.7083335
2021-02-14,-4.6150002
2021-02-15,-4.0633335
2021-02-16,1.3816667
2021-02-17,2.68
2021-02-18,2.74
2021-02-19,4.6299996
2021-02-20,5.603333
2021-02-21,5.8266664
2021-02-22,6.886667
2021-02-23,8.328334
2021-02-24,7.513334
2021-02-25,7.6999993
2021-02-26,8.22
2021-02-27,4.521667
2021-02-28,1.7033333
2021-03-01,3.1216667
2021-03-02,3.5916662
2021-03-03,5.385
2021-03-04,6.8266664
2021-03-05,5.0383334
2021-03-06,-1.2833333
2021-03-07,-0.30499998
2021-03-08,3.3016665
2021-03-09,0.8300001
2021-03-10,0.9266667
2021-03-11,3.1033332
2021-03-12,5.7966666
2021-03-13,6.1283336
2021-03-14,2.5766666
2021-03-15,2.3366666
2021-03-16,2.6316664
2021-03-17,0.585
2021-03-18,-0.56666666
2021-03-19,-1.1966666
2021-03-20,-1.5300001
2021-03-21,-1.3233333
2021-03-22,1.5733333
2021-03-23,3.2300003
2021-03-24,4.8849998
2021-03-25,5.918333
2021-03-26,8.928334
2021-03-27,7.65
2021-03-28,5.4166665
2021-03-29,9.18
2021-03-30,11.743333
2021-03-31,12.625
2021-04-01,13.554999
2021-04-02,12.458333
2021-04-03,5.6349998
2021-04-04,2.735
2021-04-05,5.5916667
2021-04-06,-2.1233332
2021-04-07,-2.485
2021-04-08,1.4566668
2021-04-09,5.2116666
2021-04-10,8.5199995
2021-04-11,8.723333
2021-04-12,7.258333
2021-04-13,1.0766666
2021-04-14,1.915
2021-04-15,2.0916667
2021-04-16,3.415
2021-04-17,4.7016664
2021-04-18,5.173333
2021-04-19,5.3216662
2021-04-20,6.1650004
2021-04-21,8.308333
2021-04-22,9.179999
2021-04-23,8.098332
2021-04-24,9.596665
2021-04-25,10.974999
2021-04-26,5.5316663
2021-04-27,4.511667
2021-04-28,7.8783336
2021-04-29,11.901666
2021-04-30,14.108334
2021-05-01,15.209999
2021-05-02,9.466667
2021-05-03,6.9233336
2021-05-04,10.386666
2021-05-05,9.073334
2021-05-06,5.436667
2021-05-07,6.2333336
2021-05-08,8.58
2021-05-09,13.86
2021-05-10,16.816668
2021-05-11,17.99
2021-05-12,11.736667
2021-05-13,11.334999
2021-05-14,10.650001
2021-05-15,11.511666
2021-05-16,12.803333
2021-05-17,9.021667
2021-05-18,11.511666
2021-05-19,7.4683337
2021-05-20,10.225
2021-05-21,12.296666
2021-05-22,13.065
2021-05-23,8.973333
2021-05-24,8.36
2021-05-25,8.046666
