time,DED2E
2021-01-01,1.81
2021-01-02,3.23
2021-01-03,2.8649998
2021-01-04,2.11
2021-01-05,0.93499994
2021-01-06,-0.385
2021-01-07,-0.475
2021-01-08,-0.92999995
2021-01-09,-3.395
2021-01-10,-3.12
2021-01-11,-5.4799995
2021-01-12,-4.99
2021-01-13,-4.3999996
2021-01-14,-3.1549997
2021-01-15,-5.1849995
2021-01-16,-6.055
2021-01-17,-5.66
2021-01-18,-3.7799997
2021-01-19,-1.135
2021-01-20,3.87
2021-01-21,5.895
2021-01-22,8.48
2021-01-23,5.64
2021-01-24,0.53499997
2021-01-25,-1.775
2021-01-26,-2.1299999
2021-01-27,-2.0349998
2021-01-28,-0.13499999
2021-01-29,2.685
2021-01-30,3.6599998
2021-01-31,-1.3499999
2021-02-01,-1.65
2021-02-02,2.94
2021-02-03,7.3799996
2021-02-04,8.285
2021-02-05,8.594999
2021-02-06,9.275
2021-02-07,8.58
2021-02-08,3.9499998
2021-02-09,3.185
2021-02-10,3.1599998
2021-02-11,-3.7399998
2021-02-12,-7.795
2021-02-13,-5.955
2021-02-14,-3.82
2021-02-15,-2.8600001
2021-02-16,2.5149999
2021-02-17,3.3049998
2021-02-18,4.06
2021-02-19,5.84
2021-02-20,6.3149996
2021-02-21,7.38
2021-02-22,7.615
2021-02-23,9.1449995
2021-02-24,8.735
2021-02-25,8.73
2021-02-26,9.875
2021-02-27,5.1549997
2021-02-28,2.3249998
2021-03-01,3.895
2021-03-02,3.9099998
2021-03-03,6.0699997
2021-03-04,7.745
2021-03-05,5.4049997
2021-03-06,-0.65999997
2021-03-07,0.52
2021-03-08,3.995
2021-03-09,1.395
2021-03-10,1.6949999
2021-03-11,4.73
2021-03-12,6.77
2021-03-13,7.2799997
2021-03-14,2.495
2021-03-15,3.2649999
2021-03-16,3.4099998
2021-03-17,1.605
2021-03-18,-0.115
2021-03-19,-0.225
2021-03-20,-0.62
2021-03-21,0.13
2021-03-22,2.445
2021-03-23,4.115
2021-03-24,6.0499997
2021-03-25,6.845
2021-03-26,10.014999
2021-03-27,8.005
2021-03-28,6.1349998
2021-03-29,10.389999
2021-03-30,12.379999
2021-03-31,13.424999
2021-04-01,14.969999
2021-04-02,13.36
2021-04-03,5.9049997
2021-04-04,3.6549997
