time,DED2F
2021-01-01,1.23
2021-01-02,4.115
2021-01-03,4.16
2021-01-04,3.895
2021-01-05,3.34
2021-01-06,1.2249999
2021-01-07,1.265
2021-01-08,0.71
2021-01-09,-0.48999998
2021-01-10,-1.185
2021-01-11,-2.79
2021-01-12,-2.9099998
2021-01-13,-2.335
2021-01-14,-2.1499999
2021-01-15,-3.46
2021-01-16,-3.4650002
2021-01-17,-4.02
2021-01-18,-2.44
2021-01-19,0.53499997
2021-01-20,5.255
2021-01-21,8.95
2021-01-22,9.969999
2021-01-23,7.48
2021-01-24,2.335
2021-01-25,-0.95
2021-01-26,-1.115
2021-01-27,-0.9
2021-01-28,1.375
2021-01-29,3.81
2021-01-30,4.225
2021-01-31,-0.5
2021-02-01,-1.28
2021-02-02,0.385
2021-02-03,6.9249997
2021-02-04,10.26
2021-02-05,10.195
2021-02-06,10.974999
2021-02-07,9.71
2021-02-08,5.675
2021-02-09,3.6999998
2021-02-10,4.2749996
2021-02-11,-2.86
2021-02-12,-6.38
2021-02-13,-5.33
2021-02-14,-2.975
2021-02-15,-2.545
2021-02-16,2.425
2021-02-17,3.06
2021-02-18,3.925
2021-02-19,7.5
2021-02-20,9.49
2021-02-21,8.535
2021-02-22,10.065
2021-02-23,10.209999
2021-02-24,9.215
2021-02-25,9.57
2021-02-26,10.0
2021-02-27,6.785
2021-02-28,3.29
2021-03-01,4.41
2021-03-02,4.265
2021-03-03,5.755
2021-03-04,8.735
2021-03-05,6.6099997
2021-03-06,0.79499996
2021-03-07,0.445
2021-03-08,4.535
2021-03-09,2.55
2021-03-10,2.2
2021-03-11,6.17
2021-03-12,8.514999
2021-03-13,8.84
2021-03-14,3.8049998
2021-03-15,4.5950003
2021-03-16,4.34
2021-03-17,2.495
2021-03-18,2.0649998
2021-03-19,0.78999996
2021-03-20,0.955
2021-03-21,1.6299999
2021-03-22,3.8399997
2021-03-23,5.8450003
2021-03-24,7.205
2021-03-25,7.39
2021-03-26,10.705
2021-03-27,9.86
2021-03-28,8.195
2021-03-29,10.215
2021-03-30,13.184999
2021-03-31,13.869999
2021-04-01,15.615
2021-04-02,14.615
2021-04-03,6.7799997
2021-04-04,4.595
2021-04-05,7.46
2021-04-06,-0.33999997
2021-04-07,-0.59499997
2021-04-08,4.13
2021-04-09,7.215
2021-04-10,11.165
2021-04-11,11.084999
2021-04-12,10.77
2021-04-13,3.08
2021-04-14,3.985
2021-04-15,3.705
2021-04-16,5.495
2021-04-17,6.325
2021-04-18,6.1349998
2021-04-19,6.7249994
2021-04-20,7.74
2021-04-21,10.174999
2021-04-22,12.375
2021-04-23,10.865
2021-04-24,10.93
2021-04-25,13.16
2021-04-26,8.2699995
2021-04-27,6.7
2021-04-28,8.615
2021-04-29,12.555
2021-04-30,15.865
2021-05-01,17.335
2021-05-02,13.379999
2021-05-03,8.63
2021-05-04,12.215
2021-05-05,11.54
2021-05-06,7.79
2021-05-07,7.7799997
2021-05-08,9.715
2021-05-09,14.915
2021-05-10,18.695
2021-05-11,20.145
2021-05-12,14.33
2021-05-13,12.875
2021-05-14,12.66
2021-05-15,13.105
2021-05-16,14.834999
2021-05-17,10.949999
2021-05-18,13.4
2021-05-19,9.709999
2021-05-20,12.505
2021-05-21,14.01
2021-05-22,15.92
2021-05-23,12.5
2021-05-24,11.15
2021-05-25,11.055
2021-05-26,12.77
2021-05-27,13.879999
2021-05-28,14.289999
2021-05-29,12.994999
2021-05-30,10.674999
2021-05-31,13.23
2021-06-01,14.429999
2021-06-02,17.415
2021-06-03,18.645
2021-06-04,20.55
2021-06-05,21.295
2021-06-06,18.31
