time,DED43
2021-01-01,2.3575
2021-01-02,2.8049998
2021-01-03,2.175
2021-01-04,1.9375
2021-01-05,1.31
2021-01-06,0.2375
2021-01-07,0.044999994
2021-01-08,-0.895
2021-01-09,-2.6525
2021-01-10,-2.6074998
2021-01-11,-4.4825
2021-01-12,-5.6425
2021-01-13,-4.185
2021-01-14,-1.6574999
2021-01-15,-4.345
2021-01-16,-6.3125
2021-01-17,-5.0
2021-01-18,-3.2124999
2021-01-19,-1.2025
2021-01-20,3.5175
2021-01-21,5.6925
2021-01-22,7.79
2021-01-23,4.8275
2021-01-24,0.9575
2021-01-25,-1.7125001
2021-01-26,-2.7599998
2021-01-27,-2.7275
2021-01-28,-0.34249997
2021-01-29,3.005
2021-01-30,3.6775
2021-01-31,-0.86249995
2021-02-01,-0.21
2021-02-02,2.9699998
2021-02-03,7.1875
2021-02-04,8.5075
2021-02-05,8.8324995
2021-02-06,9.2675
2021-02-07,8.785
2021-02-08,5.1575003
2021-02-09,4.8325
2021-02-10,4.57
2021-02-11,-2.6425
2021-02-12,-7.22
2021-02-13,-6.09
2021-02-14,-3.4275
2021-02-15,-2.495
2021-02-16,2.525
2021-02-17,3.6399999
2021-02-18,4.2825
2021-02-19,6.235
2021-02-20,7.02
2021-02-21,7.3725
2021-02-22,7.8199997
2021-02-23,8.2175
2021-02-24,9.2325
2021-02-25,9.1475
2021-02-26,9.075
2021-02-27,5.8174996
2021-02-28,3.0349998
2021-03-01,4.395
2021-03-02,4.0274997
2021-03-03,5.56
2021-03-04,7.3424997
2021-03-05,5.4025
2021-03-06,-0.695
2021-03-07,0.6
2021-03-08,3.3199997
2021-03-09,2.0075
2021-03-10,1.8225
2021-03-11,4.645
2021-03-12,6.685
2021-03-13,7.4249997
2021-03-14,2.2375
2021-03-15,2.31
2021-03-16,3.1725
2021-03-17,1.9100001
2021-03-18,0.25
2021-03-19,-0.30499998
2021-03-20,-1.0625
2021-03-21,0.705
2021-03-22,2.725
2021-03-23,4.425
2021-03-24,5.5074997
2021-03-25,6.8949995
2021-03-26,9.0175
2021-03-27,7.6125
2021-03-28,5.77
2021-03-29,9.91
2021-03-30,12.360001
2021-03-31,13.115
2021-04-01,14.355
2021-04-02,13.147499
2021-04-03,6.2525
2021-04-04,3.8525
2021-04-05,5.8075
2021-04-06,-2.1125
2021-04-07,-2.1125
2021-04-08,2.6675
2021-04-09,5.605
2021-04-10,8.872499
2021-04-11,8.195
2021-04-12,8.684999
2021-04-13,1.5849999
2021-04-14,2.37
2021-04-15,3.2625003
2021-04-16,4.9825
2021-04-17,5.565
2021-04-18,5.2275
2021-04-19,5.9374995
2021-04-20,6.5575
2021-04-21,8.3
2021-04-22,10.315001
2021-04-23,10.272499
2021-04-24,10.6675
2021-04-25,12.485
2021-04-26,6.64
2021-04-27,5.4849997
2021-04-28,8.3525
2021-04-29,12.0475
2021-04-30,14.217499
2021-05-01,15.452499
2021-05-02,10.76
2021-05-03,7.6499996
2021-05-04,10.715
2021-05-05,10.385
2021-05-06,5.1525
2021-05-07,8.285
2021-05-08,9.6325
2021-05-09,14.1725
2021-05-10,16.2225
2021-05-11,17.5775
2021-05-12,12.1775
2021-05-13,11.7125
2021-05-14,11.6475
2021-05-15,11.9425
2021-05-16,13.0175
2021-05-17,9.5475
2021-05-18,12.945
2021-05-19,7.5225
2021-05-20,11.612499
2021-05-21,12.87
2021-05-22,13.24
2021-05-23,10.902499
2021-05-24,9.215
2021-05-25,10.21
2021-05-26,12.3825
2021-05-27,13.625
2021-05-28,13.872499
2021-05-29,11.832499
2021-05-30,11.199999
2021-05-31,12.905
2021-06-01,14.9025
2021-06-02,16.029999
2021-06-03,17.012499
2021-06-04,18.869999
2021-06-05,20.225
2021-06-06,17.125
2021-06-07,16.3375
2021-06-08,18.192501
2021-06-09,18.5775
2021-06-10,17.6425
2021-06-11,17.0875
2021-06-12,19.88
2021-06-13,19.11
2021-06-14,15.974999
2021-06-15,18.85
2021-06-16,21.2925
2021-06-17,21.967499
2021-06-18,21.922499
2021-06-19,23.855
2021-06-20,24.239998
2021-06-21,24.38
2021-06-22,23.357498
2021-06-23,25.0975
2021-06-24,25.275
2021-06-25,22.1525
2021-06-26,21.6675
2021-06-27,22.554998
2021-06-28,24.220001
2021-06-29,24.564999
2021-06-30,22.5125
2021-07-01,15.429999
2021-07-02,17.785
2021-07-03,20.6775
2021-07-04,18.735
2021-07-05,19.065
2021-07-06,22.7075
2021-07-07,24.699999
2021-07-08,24.377499
2021-07-09,22.7175
2021-07-10,21.755001
2021-07-11,20.9725
2021-07-12,22.162498
2021-07-13,22.53
2021-07-14,19.275
2021-07-15,18.8475
2021-07-16,17.8925
2021-07-17,18.482498
2021-07-18,18.474998
2021-07-19,21.422499
2021-07-20,20.08
2021-07-21,20.095001
2021-07-22,20.4525
2021-07-23,20.84
2021-07-24,22.3175
2021-07-25,22.89
2021-07-26,22.442501
2021-07-27,21.6325
2021-07-28,21.869999
2021-07-29,22.62
2021-07-30,23.689999
2021-07-31,22.47
2021-08-01,19.59
2021-08-02,17.515
2021-08-03,18.619999
2021-08-04,18.929998
2021-08-05,17.155
2021-08-06,19.2375
2021-08-07,21.289999
2021-08-08,22.252499
2021-08-09,20.7825
2021-08-10,21.984999
2021-08-11,21.732498
2021-08-12,23.044998
2021-08-13,24.247498
2021-08-14,25.012499
2021-08-15,24.249998
2021-08-16,24.492498
2021-08-17,17.037498
2021-08-18,17.215
2021-08-19,18.009998
2021-08-20,19.15
2021-08-21,20.4975
2021-08-22,21.224998
2021-08-23,14.699999
2021-08-24,17.4525
2021-08-25,15.13
2021-08-26,15.559999
2021-08-27,14.62
2021-08-28,13.400001
2021-08-29,12.309999
2021-08-30,14.0625
2021-08-31,15.545
2021-09-01,15.752499
2021-09-02,14.995
2021-09-03,15.625
2021-09-04,16.057499
2021-09-05,16.0775
2021-09-06,15.785
2021-09-07,15.875
2021-09-08,15.282499
2021-09-09,15.354999
2021-09-10,16.47
2021-09-11,17.1575
2021-09-12,17.305
2021-09-13,17.942501
2021-09-14,18.7325
2021-09-15,19.52
2021-09-16,18.24
2021-09-17,15.0225
2021-09-18,14.077499
2021-09-19,14.517499
2021-09-20,10.834999
2021-09-21,11.114999
2021-09-22,11.125
2021-09-23,11.865
2021-09-24,14.705
2021-09-25,15.1975
2021-09-26,17.1075
2021-09-27,16.817501
2021-09-28,16.377499
2021-09-29,15.987499
2021-09-30,11.889999
2021-10-01,11.335
2021-10-02,12.105
2021-10-03,13.999999
2021-10-04,15.475
2021-10-05,15.487499
2021-10-06,10.5725
2021-10-07,9.6525
2021-10-08,9.6275
2021-10-09,7.575
2021-10-10,5.1575003
2021-10-11,7.1
2021-10-12,5.8074994
2021-10-13,5.7
2021-10-14,5.3
2021-10-15,6.6625004
2021-10-16,7.3100004
2021-10-17,7.2900004
2021-10-18,7.3224998
2021-10-19,9.3949995
2021-10-20,11.8324995
2021-10-21,12.679999
2021-10-22,11.5925
2021-10-23,6.9049997
2021-10-24,5.0225
2021-10-25,4.0
2021-10-26,4.4925003
2021-10-27,6.1249995
2021-10-28,6.0
2021-10-29,4.27
2021-10-30,4.505
2021-10-31,7.735
2021-11-01,8.4475
2021-11-02,7.9925
2021-11-03,8.0175
2021-11-04,9.264999
2021-11-05,5.6225
2021-11-06,6.4674997
2021-11-07,7.4699993
2021-11-08,5.2625
2021-11-09,4.555
2021-11-10,4.415
2021-11-11,5.1324997
2021-11-12,4.645
2021-11-13,7.8524995
2021-11-14,5.9975
2021-11-15,5.9125
2021-11-16,4.825
2021-11-17,5.5425
2021-11-18,4.56
2021-11-19,4.305
2021-11-20,4.1525
2021-11-21,4.3824997
2021-11-22,4.0449996
2021-11-23,2.55
2021-11-24,-0.75499994
2021-11-25,1.4925
2021-11-26,2.6325
2021-11-27,3.0125
2021-11-28,2.7575002
2021-11-29,-0.945
2021-11-30,0.065
2021-12-01,3.975
2021-12-02,2.33
2021-12-03,0.5
2021-12-04,0.305
2021-12-05,0.3475
2021-12-06,-0.3675
2021-12-07,-3.9125001
2021-12-08,-2.195
2021-12-09,-1.0799999
2021-12-10,-1.5799999
2021-12-11,-1.0325
2021-12-12,-2.21
2021-12-13,0.0025000125
2021-12-14,0.48749998
2021-12-15,1.365
2021-12-16,1.7249999
2021-12-17,0.19
2021-12-18,-1.4399999
2021-12-19,1.0024999
2021-12-20,-1.2874999
2021-12-21,-2.4499998
2021-12-22,-1.6825
2021-12-23,0.8
2021-12-24,3.645
2021-12-25,5.2025
2021-12-26,0.83750004
2021-12-27,0.81
2021-12-28,4.3275003
2021-12-29,2.44
2021-12-30,4.0275
2021-12-31,4.9824996
