time,DEE03
2021-01-01,5.5005717
2021-01-02,3.9437141
2021-01-03,3.7362854
2021-01-04,3.7537143
2021-01-05,1.4514285
2021-01-06,1.4334285
2021-01-07,2.6354284
2021-01-08,2.0154283
2021-01-09,1.9774286
2021-01-10,3.1560001
2021-01-11,2.0857143
2021-01-12,1.4891428
2021-01-13,2.061143
2021-01-14,2.6411426
2021-01-15,3.825714
2021-01-16,3.9957144
2021-01-17,4.461428
2021-01-18,5.6217146
2021-01-19,4.863143
2021-01-20,9.694858
2021-01-21,11.6
2021-01-22,9.958
2021-01-23,9.636856
2021-01-24,10.729713
2021-01-25,12.581428
2021-01-26,13.707714
2021-01-27,13.992285
2021-01-28,12.556857
2021-01-29,12.060286
2021-01-30,11.059143
2021-01-31,11.709999
2021-02-01,12.213142
2021-02-02,12.153428
2021-02-03,11.989142
2021-02-04,10.115715
2021-02-05,9.551428
2021-02-06,8.876857
2021-02-07,7.716571
2021-02-08,10.22257
2021-02-09,10.122
2021-02-10,12.135428
2021-02-11,13.294571
2021-02-12,12.699428
2021-02-13,10.7794285
2021-02-14,11.745427
2021-02-15,12.539715
2021-02-16,11.347713
2021-02-17,11.996572
2021-02-18,11.875429
2021-02-19,11.600286
2021-02-20,12.482857
2021-02-21,9.806857
2021-02-22,8.770572
2021-02-23,9.562
2021-02-24,11.969428
2021-02-25,11.161714
2021-02-26,12.140285
2021-02-27,11.580856
2021-02-28,10.576285
2021-03-01,11.675142
2021-03-02,11.997429
2021-03-03,12.673142
2021-03-04,12.486286
2021-03-05,12.340285
2021-03-06,11.931714
2021-03-07,11.665143
2021-03-08,9.771143
2021-03-09,9.237143
2021-03-10,9.85
2021-03-11,12.228286
2021-03-12,11.385428
2021-03-13,9.776
2021-03-14,11.474571
2021-03-15,11.631428
2021-03-16,12.463428
2021-03-17,13.385142
2021-03-18,10.389999
2021-03-19,9.19
2021-03-20,8.285428
2021-03-21,8.068
2021-03-22,10.443429
2021-03-23,11.770571
2021-03-24,12.695429
2021-03-25,12.666857
2021-03-26,12.692571
2021-03-27,12.626857
2021-03-28,15.308287
2021-03-29,16.602285
2021-03-30,16.979713
2021-03-31,19.235714
2021-04-01,17.983145
2021-04-02,15.436856
2021-04-03,15.564
2021-04-04,14.891999
2021-04-05,15.421427
2021-04-06,16.425713
2021-04-07,14.868572
2021-04-08,15.648856
2021-04-09,14.852286
2021-04-10,15.06457
2021-04-11,14.814571
2021-04-12,13.894285
2021-04-13,15.134856
2021-04-14,15.995999
2021-04-15,14.919713
2021-04-16,14.05457
2021-04-17,12.415714
2021-04-18,13.582
2021-04-19,16.167429
2021-04-20,14.863144
2021-04-21,13.627999
2021-04-22,16.093143
2021-04-23,16.406857
2021-04-24,16.917715
2021-04-25,15.852857
2021-04-26,15.974857
2021-04-27,15.904
2021-04-28,14.485713
2021-04-29,12.813144
2021-04-30,12.261142
2021-05-01,12.547999
2021-05-02,12.968572
2021-05-03,14.793143
2021-05-04,16.198856
2021-05-05,17.62543
2021-05-06,18.886572
2021-05-07,19.75657
2021-05-08,19.883999
2021-05-09,14.055999
2021-05-10,12.3737135
2021-05-11,12.7
2021-05-12,15.541999
2021-05-13,14.823713
2021-05-14,16.791428
2021-05-15,18.327713
2021-05-16,18.946571
2021-05-17,19.117142
2021-05-18,19.232286
2021-05-19,19.707714
2021-05-20,21.027428
2021-05-21,20.184286
2021-05-22,15.680856
2021-05-23,15.598856
2021-05-24,16.414858
2021-05-25,18.712286
2021-05-26,21.057428
2021-05-27,20.516285
2021-05-28,22.100857
2021-05-29,23.194
2021-05-30,24.470856
2021-05-31,23.569998
2021-06-01,19.018856
2021-06-02,19.370857
2021-06-03,20.269142
2021-06-04,20.075144
2021-06-05,21.997429
2021-06-06,22.50657
2021-06-07,24.085428
2021-06-08,24.891142
2021-06-09,25.903429
2021-06-10,25.80657
2021-06-11,25.779142
2021-06-12,25.216856
2021-06-13,25.021143
2021-06-14,25.298285
2021-06-15,25.862856
2021-06-16,23.383429
2021-06-17,20.43
2021-06-18,18.918571
2021-06-19,18.278858
2021-06-20,18.076857
2021-06-21,17.887428
2021-06-22,19.328857
2021-06-23,20.022285
2021-06-24,22.426285
2021-06-25,25.158
2021-06-26,25.439713
2021-06-27,21.411999
2021-06-28,20.189142
2021-06-29,22.148
2021-06-30,22.912855
2021-07-01,24.632572
2021-07-02,25.624285
2021-07-03,24.69514
2021-07-04,23.572573
2021-07-05,24.368284
2021-07-06,19.905142
2021-07-07,20.409143
2021-07-08,23.001429
2021-07-09,26.011143
2021-07-10,28.678856
2021-07-11,29.008286
2021-07-12,21.236286
2021-07-13,22.022572
2021-07-14,23.861427
2021-07-15,25.91
2021-07-16,28.275427
2021-07-17,28.85057
2021-07-18,28.34857
2021-07-19,27.01257
2021-07-20,25.55657
2021-07-21,26.499426
2021-07-22,26.845428
2021-07-23,25.088572
2021-07-24,23.738285
2021-07-25,23.885427
2021-07-26,24.946
2021-07-27,25.79457
2021-07-28,26.997143
2021-07-29,27.055428
2021-07-30,24.765999
2021-07-31,21.536285
2021-08-01,21.38943
2021-08-02,23.898855
2021-08-03,24.862001
2021-08-04,25.929712
2021-08-05,26.401712
2021-08-06,25.044855
2021-08-07,22.483429
2021-08-08,22.699715
2021-08-09,24.931713
2021-08-10,27.311714
2021-08-11,29.063427
2021-08-12,29.677713
2021-08-13,30.972
2021-08-14,32.099712
2021-08-15,31.022573
2021-08-16,28.042
2021-08-17,26.42943
2021-08-18,25.800856
2021-08-19,25.741999
2021-08-20,25.344
2021-08-21,25.797428
2021-08-22,27.862286
2021-08-23,29.130856
2021-08-24,27.547428
2021-08-25,26.290857
2021-08-26,26.637426
2021-08-27,26.546858
2021-08-28,24.061716
2021-08-29,24.032286
2021-08-30,24.073713
2021-08-31,25.062857
2021-09-01,22.21543
2021-09-02,22.079428
2021-09-03,22.986286
2021-09-04,23.992857
2021-09-05,26.105713
2021-09-06,28.363714
2021-09-07,25.207428
2021-09-08,22.29743
2021-09-09,22.273998
2021-09-10,22.139143
2021-09-11,22.631714
2021-09-12,24.67943
2021-09-13,22.917715
2021-09-14,19.304857
2021-09-15,19.769142
2021-09-16,20.858284
2021-09-17,21.44514
2021-09-18,19.923143
2021-09-19,19.573713
2021-09-20,20.589142
2021-09-21,19.186285
2021-09-22,19.257143
2021-09-23,18.711142
2021-09-24,20.099142
2021-09-25,18.67457
2021-09-26,18.942572
2021-09-27,19.569427
2021-09-28,19.370285
2021-09-29,18.706572
2021-09-30,19.818571
2021-10-01,20.008
2021-10-02,19.972855
2021-10-03,15.545427
2021-10-04,15.268285
2021-10-05,17.360285
2021-10-06,19.148
2021-10-07,19.19
2021-10-08,19.362856
2021-10-09,18.677713
2021-10-10,18.752857
2021-10-11,19.094572
2021-10-12,18.517427
2021-10-13,18.425714
2021-10-14,17.74343
2021-10-15,17.788857
2021-10-16,17.571999
2021-10-17,19.245714
2021-10-18,20.933998
2021-10-19,21.302856
2021-10-20,20.275143
2021-10-21,16.669998
2021-10-22,15.184
2021-10-23,15.071428
2021-10-24,14.566857
2021-10-25,14.539143
2021-10-26,15.499714
2021-10-27,15.33057
2021-10-28,15.177427
2021-10-29,15.765428
2021-10-30,18.593716
2021-10-31,18.530857
2021-11-01,14.575142
2021-11-02,12.698286
2021-11-03,10.5388565
2021-11-04,9.368857
2021-11-05,8.869143
2021-11-06,8.407429
2021-11-07,8.384856
2021-11-08,11.313143
2021-11-09,11.609428
2021-11-10,10.684856
2021-11-11,10.447999
2021-11-12,10.506857
2021-11-13,10.694285
2021-11-14,10.511429
2021-11-15,9.850286
2021-11-16,9.161143
2021-11-17,9.431714
2021-11-18,9.526857
2021-11-19,11.348857
2021-11-20,11.615714
2021-11-21,11.920856
2021-11-22,7.792285
2021-11-23,6.1154284
2021-11-24,7.147714
2021-11-25,7.6125717
2021-11-26,6.9894285
2021-11-27,7.3937135
2021-11-28,6.1622853
2021-11-29,9.967428
2021-11-30,7.593142
2021-12-01,7.2165713
2021-12-02,8.295428
2021-12-03,7.926
2021-12-04,9.753142
2021-12-05,9.37
2021-12-06,10.102
2021-12-07,10.612857
2021-12-08,8.701142
2021-12-09,9.995427
2021-12-10,11.557143
2021-12-11,12.023714
2021-12-12,10.279428
2021-12-13,9.789715
2021-12-14,8.566
2021-12-15,8.405715
2021-12-16,8.266
2021-12-17,8.410285
2021-12-18,7.5942855
2021-12-19,8.994286
2021-12-20,9.686
2021-12-21,11.869143
2021-12-22,12.61857
2021-12-23,11.631714
2021-12-24,11.56
2021-12-25,11.256857
2021-12-26,13.119715
2021-12-27,14.7582855
2021-12-28,13.783142
