time,DEE0A
2021-01-01,6.0115
2021-01-02,3.5595002
2021-01-03,3.9455
2021-01-04,3.3560002
2021-01-05,1.51
2021-01-06,1.313
2021-01-07,2.1994998
2021-01-08,1.956
2021-01-09,2.3414998
2021-01-10,1.295
2021-01-11,0.05550001
2021-01-12,0.24550001
2021-01-13,2.6974998
2021-01-14,3.1355
2021-01-15,5.1395
2021-01-16,5.099
2021-01-17,6.6425004
2021-01-18,6.2605
2021-01-19,5.192
2021-01-20,3.8215
2021-01-21,10.322999
2021-01-22,11.167999
2021-01-23,9.399
2021-01-24,12.122499
2021-01-25,12.4475
2021-01-26,11.445
2021-01-27,14.4295
2021-01-28,15.1735
2021-01-29,15.686999
2021-01-30,12.9405
2021-01-31,11.910001
2021-02-01,15.93
2021-02-02,14.047
2021-02-03,12.408499
2021-02-04,11.5175
2021-02-05,11.770999
2021-02-06,11.380999
2021-02-07,10.446501
2021-02-08,11.0165
2021-02-09,11.032499
2021-02-10,12.0805
2021-02-11,12.641999
2021-02-12,13.449499
2021-02-13,12.2865
2021-02-14,9.0585
2021-02-15,9.9065
2021-02-16,10.903499
2021-02-17,10.51
2021-02-18,10.455
2021-02-19,10.661501
2021-02-20,11.191
2021-02-21,10.438499
2021-02-22,9.841499
2021-02-23,10.592
2021-02-24,10.476
2021-02-25,11.07
2021-02-26,10.456499
2021-02-27,10.026
2021-02-28,9.9
2021-03-01,9.726999
2021-03-02,10.048
2021-03-03,11.2425
2021-03-04,10.4265
2021-03-05,9.749
2021-03-06,9.7035
2021-03-07,8.4665
2021-03-08,9.1585
2021-03-09,9.405499
2021-03-10,9.049999
2021-03-11,12.517
2021-03-12,12.011
2021-03-13,10.647501
2021-03-14,11.004999
2021-03-15,9.892
2021-03-16,10.648
2021-03-17,11.305999
2021-03-18,7.7739997
2021-03-19,6.3124995
2021-03-20,6.2015
2021-03-21,8.1625
2021-03-22,9.367999
2021-03-23,9.985499
2021-03-24,11.4755
2021-03-25,12.052
