time,DEE0B
2021-01-01,1.9774998
2021-01-02,3.2224998
2021-01-03,2.1225
2021-01-04,1.4125
2021-01-05,2.0524998
2021-01-06,1.25
2021-01-07,0.59749997
2021-01-08,0.64
2021-01-09,-0.037499994
2021-01-10,1.065
2021-01-11,2.6
2021-01-12,3.4099998
2021-01-13,1.98
2021-01-14,0.71500003
2021-01-15,-0.5125
2021-01-16,-1.4024999
2021-01-17,-0.85749996
2021-01-18,3.3099997
2021-01-19,5.4325
2021-01-20,7.7999997
2021-01-21,8.11
2021-01-22,5.3675
2021-01-23,2.35
2021-01-24,1.5325
2021-01-25,0.020000001
2021-01-26,1.0225
2021-01-27,2.0825
2021-01-28,2.4875
2021-01-29,-0.1025
2021-01-30,-1.3549999
2021-01-31,-5.3999996
2021-02-01,-2.715
2021-02-02,0.47249997
2021-02-03,5.2924995
2021-02-04,2.78
2021-02-05,1.5575
2021-02-06,-0.9675
2021-02-07,-5.7149997
2021-02-08,-7.725
2021-02-09,-10.1375
2021-02-10,-6.6724997
2021-02-11,-7.17
2021-02-12,-8.0375
2021-02-13,-11.2825
2021-02-14,-8.827499
2021-02-15,-1.3349999
2021-02-16,3.6975002
2021-02-17,6.975
2021-02-18,7.6825
2021-02-19,7.2424994
2021-02-20,9.734999
2021-02-21,10.74
2021-02-22,10.73
2021-02-23,12.725
2021-02-24,13.412499
2021-02-25,12.19
2021-02-26,7.0674996
2021-02-27,5.0575
2021-02-28,2.9099998
2021-03-01,3.8049998
2021-03-02,3.335
2021-03-03,6.595
2021-03-04,3.2749999
2021-03-05,1.1675
2021-03-06,1.6374999
2021-03-07,2.5774999
2021-03-08,2.46
2021-03-09,2.0025
2021-03-10,5.0299997
2021-03-11,7.9725
2021-03-12,6.6025
2021-03-13,6.0924997
2021-03-14,5.3975
2021-03-15,5.0049996
2021-03-16,4.505
2021-03-17,3.2649999
2021-03-18,0.97999996
2021-03-19,1.385
2021-03-20,1.0649999
2021-03-21,5.4950004
2021-03-22,5.7075
2021-03-23,6.4449997
2021-03-24,8.33
2021-03-25,8.1775
2021-03-26,11.07
2021-03-27,5.76
2021-03-28,7.8924994
2021-03-29,13.549999
2021-03-30,13.75
2021-03-31,14.2175
2021-04-01,11.17
2021-04-02,5.5874996
2021-04-03,6.345
2021-04-04,5.07
2021-04-05,2.7250001
2021-04-06,1.0699999
2021-04-07,1.9675
2021-04-08,3.5124998
2021-04-09,7.2349997
2021-04-10,5.9674997
2021-04-11,6.4425
2021-04-12,3.7849998
2021-04-13,3.63
2021-04-14,3.19
2021-04-15,4.54
2021-04-16,6.85
2021-04-17,7.2949996
2021-04-18,9.264999
2021-04-19,9.2925
2021-04-20,10.287499
2021-04-21,8.357499
2021-04-22,6.745
2021-04-23,7.8199997
2021-04-24,6.9199996
2021-04-25,5.755
2021-04-26,6.0750003
2021-04-27,7.2924995
2021-04-28,11.03
2021-04-29,10.059999
2021-04-30,8.5625
2021-05-01,9.08
2021-05-02,6.8474994
2021-05-03,7.4849997
2021-05-04,9.7625
2021-05-05,7.905
2021-05-06,6.7774997
2021-05-07,6.5749993
2021-05-08,9.48
2021-05-09,19.8725
2021-05-10,20.015
2021-05-11,14.175
2021-05-12,13.1575
2021-05-13,12.772499
2021-05-14,11.5475
2021-05-15,10.737499
2021-05-16,12.31
2021-05-17,11.472499
2021-05-18,11.295
2021-05-19,10.835
2021-05-20,11.6325
2021-05-21,14.029999
2021-05-22,11.1525
2021-05-23,11.195
2021-05-24,14.197499
2021-05-25,10.684999
2021-05-26,11.137501
2021-05-27,11.1275
2021-05-28,11.59
2021-05-29,10.6475
2021-05-30,13.7925
2021-05-31,15.807499
2021-06-01,17.42
2021-06-02,19.199999
2021-06-03,19.275
2021-06-04,20.8125
2021-06-05,19.2725
2021-06-06,16.7925
2021-06-07,15.7
2021-06-08,18.4625
2021-06-09,19.8375
2021-06-10,20.102499
2021-06-11,20.642498
2021-06-12,17.8275
2021-06-13,15.404999
2021-06-14,19.392498
2021-06-15,18.152498
2021-06-16,20.9725
2021-06-17,26.935
2021-06-18,26.332499
2021-06-19,25.517498
2021-06-20,23.140001
2021-06-21,18.189999
2021-06-22,15.302501
2021-06-23,15.912499
2021-06-24,17.079998
2021-06-25,17.380001
2021-06-26,19.352499
2021-06-27,21.235
2021-06-28,22.814999
