time,DEE0C
2021-01-01,1.3180001
2021-01-02,2.91
2021-01-03,2.176
2021-01-04,1.7
2021-01-05,2.1759999
2021-01-06,1.068
2021-01-07,0.294
2021-01-08,0.43600002
2021-01-09,-0.072
2021-01-10,0.21799998
2021-01-11,2.348
2021-01-12,3.166
2021-01-13,1.64
2021-01-14,0.648
2021-01-15,-0.758
2021-01-16,-1.948
2021-01-17,-1.326
2021-01-18,2.554
2021-01-19,4.9519997
2021-01-20,7.4839997
2021-01-21,7.6799994
2021-01-22,4.996
2021-01-23,1.556
2021-01-24,1.21
2021-01-25,-0.14400001
2021-01-26,0.564
2021-01-27,1.514
2021-01-28,2.002
2021-01-29,-1.102
2021-01-30,-2.032
2021-01-31,-7.5479994
2021-02-01,-4.4379997
2021-02-02,-0.05399999
2021-02-03,2.564
2021-02-04,0.93
2021-02-05,0.60400003
2021-02-06,-1.426
2021-02-07,-5.2759995
2021-02-08,-7.0979996
2021-02-09,-9.676001
2021-02-10,-6.016
2021-02-11,-7.9040003
2021-02-12,-8.76
2021-02-13,-11.4279995
2021-02-14,-9.448
2021-02-15,-2.508
2021-02-16,3.05
2021-02-17,5.9659996
2021-02-18,6.65
2021-02-19,6.4759994
2021-02-20,8.722
2021-02-21,8.634
2021-02-22,8.934
2021-02-23,11.162
2021-02-24,12.046
2021-02-25,10.443999
2021-02-26,7.05
2021-02-27,5.1699996
2021-02-28,2.6819997
2021-03-01,3.3059998
2021-03-02,2.1620002
2021-03-03,5.572
2021-03-04,2.824
2021-03-05,0.916
2021-03-06,1.0239999
2021-03-07,2.5
2021-03-08,1.882
2021-03-09,1.218
2021-03-10,4.2159996
2021-03-11,7.4839997
2021-03-12,6.3119993
2021-03-13,5.62
2021-03-14,5.276
2021-03-15,4.5999994
2021-03-16,4.148
2021-03-17,2.744
2021-03-18,0.10599999
2021-03-19,0.85999995
2021-03-20,0.79599994
2021-03-21,5.504
2021-03-22,5.3779993
2021-03-23,5.6899996
2021-03-24,7.782
2021-03-25,7.0759993
2021-03-26,10.030001
2021-03-27,5.692
2021-03-28,7.338
2021-03-29,13.701999
2021-03-30,12.796
2021-03-31,12.894
2021-04-01,10.124
2021-04-02,5.4059997
2021-04-03,6.207999
2021-04-04,4.9
2021-04-05,2.4739997
2021-04-06,0.9799999
2021-04-07,1.6780001
2021-04-08,3.316
2021-04-09,6.7739997
2021-04-10,5.6979995
2021-04-11,6.3339996
2021-04-12,3.78
2021-04-13,3.4199996
2021-04-14,2.812
2021-04-15,4.378
2021-04-16,6.7720003
2021-04-17,7.563999
2021-04-18,9.328
2021-04-19,9.462
2021-04-20,9.8619995
2021-04-21,7.776
2021-04-22,6.6519995
2021-04-23,7.9639997
2021-04-24,6.9040003
2021-04-25,5.66
2021-04-26,5.406
2021-04-27,6.9799995
2021-04-28,10.686
2021-04-29,9.4279995
2021-04-30,8.392
2021-05-01,9.136
2021-05-02,6.454
2021-05-03,6.14
2021-05-04,9.358
2021-05-05,7.458
2021-05-06,6.732
2021-05-07,6.3300004
2021-05-08,8.676
2021-05-09,19.622
2021-05-10,20.17
2021-05-11,13.814
2021-05-12,12.563999
2021-05-13,11.912001
2021-05-14,10.846
2021-05-15,10.391999
2021-05-16,11.826
2021-05-17,11.782
2021-05-18,11.28
2021-05-19,10.825999
2021-05-20,11.294
2021-05-21,12.934
2021-05-22,10.738
2021-05-23,10.846001
2021-05-24,14.204
2021-05-25,10.761999
2021-05-26,11.041999
2021-05-27,11.207999
2021-05-28,11.553999
2021-05-29,10.952
2021-05-30,13.931999
2021-05-31,15.754
2021-06-01,17.369999
2021-06-02,18.427998
2021-06-03,19.842
2021-06-04,21.59
2021-06-05,19.192
2021-06-06,16.942001
2021-06-07,15.6119995
2021-06-08,19.053999
2021-06-09,19.75
2021-06-10,20.39
2021-06-11,20.630001
2021-06-12,17.647999
2021-06-13,15.245999
2021-06-14,19.066
2021-06-15,18.172
2021-06-16,20.744
2021-06-17,26.838001
2021-06-18,26.728
2021-06-19,25.689999
2021-06-20,23.196
2021-06-21,17.946
2021-06-22,15.172
2021-06-23,15.8619995
2021-06-24,16.949999
2021-06-25,16.918
2021-06-26,18.675999
2021-06-27,20.924
2021-06-28,22.938
2021-06-29,20.232
2021-06-30,16.648
2021-07-01,15.166
2021-07-02,16.652
2021-07-03,17.748
2021-07-04,19.383999
2021-07-05,18.26
2021-07-06,20.273998
2021-07-07,19.558
2021-07-08,19.35
2021-07-09,17.068
2021-07-10,17.998
2021-07-11,20.364
2021-07-12,21.071999
2021-07-13,22.762
2021-07-14,20.043999
2021-07-15,21.004
2021-07-16,20.368
2021-07-17,21.039999
2021-07-18,19.874
2021-07-19,16.407999
2021-07-20,17.026001
2021-07-21,18.378
2021-07-22,17.581999
2021-07-23,15.145999
2021-07-24,20.147999
2021-07-25,21.828
2021-07-26,21.404
2021-07-27,20.128
2021-07-28,18.835999
2021-07-29,17.816
2021-07-30,18.772
2021-07-31,17.223999
2021-08-01,16.716
2021-08-02,15.487999
2021-08-03,16.168001
2021-08-04,17.486
2021-08-05,16.939999
2021-08-06,17.352
2021-08-07,17.842
2021-08-08,16.906
2021-08-09,16.198
2021-08-10,16.414
2021-08-11,16.862
2021-08-12,19.822
2021-08-13,21.018
2021-08-14,18.855999
2021-08-15,19.380001
2021-08-16,15.259999
2021-08-17,14.595999
2021-08-18,16.216
2021-08-19,16.567999
2021-08-20,16.913998
2021-08-21,17.880001
2021-08-22,16.815998
2021-08-23,17.178
2021-08-24,14.758
2021-08-25,14.544001
2021-08-26,14.948
2021-08-27,13.673999
2021-08-28,14.224001
2021-08-29,15.358
2021-08-30,16.3
2021-08-31,16.688
2021-09-01,16.084
2021-09-02,14.659999
2021-09-03,14.722
2021-09-04,14.32
2021-09-05,12.602
2021-09-06,14.18
2021-09-07,16.628
2021-09-08,17.498
2021-09-09,19.334
2021-09-10,20.0
2021-09-11,18.456
2021-09-12,17.692
2021-09-13,14.258
2021-09-14,16.6
2021-09-15,18.006
2021-09-16,15.747999
2021-09-17,14.444
2021-09-18,13.842
2021-09-19,12.676
2021-09-20,12.1
2021-09-21,11.868
2021-09-22,13.908
2021-09-23,13.8
2021-09-24,15.042
2021-09-25,17.560001
2021-09-26,18.08
2021-09-27,18.428
2021-09-28,13.614
2021-09-29,11.446
2021-09-30,11.625999
2021-10-01,13.167999
2021-10-02,14.122
2021-10-03,19.105999
2021-10-04,12.87
2021-10-05,10.952001
2021-10-06,12.082
2021-10-07,10.32
2021-10-08,9.594
2021-10-09,8.654
2021-10-10,6.499999
2021-10-11,9.46
2021-10-12,8.624
2021-10-13,7.324
2021-10-14,11.546
2021-10-15,10.636
2021-10-16,7.87
2021-10-17,9.326
2021-10-18,10.974
2021-10-19,12.8220005
2021-10-20,15.485998
2021-10-21,10.242001
2021-10-22,6.9339995
2021-10-23,6.8719993
2021-10-24,5.814
2021-10-25,7.502
2021-10-26,11.815999
2021-10-27,13.152
2021-10-28,10.476
2021-10-29,10.026
2021-10-30,10.962
2021-10-31,13.672
2021-11-01,11.255999
2021-11-02,6.364
2021-11-03,6.1459994
2021-11-04,6.884
2021-11-05,8.024
2021-11-06,8.3220005
2021-11-07,9.258
2021-11-08,8.086
2021-11-09,8.109999
2021-11-10,4.462
2021-11-11,7.2739997
2021-11-12,6.928
2021-11-13,5.672
2021-11-14,6.9199996
2021-11-15,5.5379996
2021-11-16,4.4519997
2021-11-17,5.3719997
2021-11-18,8.272
2021-11-19,11.256
2021-11-20,10.158
2021-11-21,7.1080003
2021-11-22,2.6699998
2021-11-23,5.9439993
2021-11-24,6.332
2021-11-25,4.496
2021-11-26,3.248
2021-11-27,2.8059998
2021-11-28,1.528
2021-11-29,2.118
2021-11-30,4.434
2021-12-01,6.968
2021-12-02,1.332
2021-12-03,1.134
2021-12-04,2.888
2021-12-05,2.222
2021-12-06,0.63799995
2021-12-07,1.2839999
2021-12-08,1.6519998
2021-12-09,1.232
2021-12-10,1.6199999
2021-12-11,0.886
2021-12-12,4.22
2021-12-13,8.99
2021-12-14,7.735999
2021-12-15,8.648
2021-12-16,7.7279997
2021-12-17,6.81
2021-12-18,7.046
2021-12-19,6.2559996
2021-12-20,-0.934
2021-12-21,-4.1559997
2021-12-22,-3.7319999
2021-12-23,-0.85999995
2021-12-24,2.9559999
2021-12-25,-6.192
2021-12-26,-7.5520005
2021-12-27,-1.64
2021-12-28,3.252
2021-12-29,5.554
2021-12-30,10.889999
2021-12-31,12.724
