time,DEE0D
2021-01-01,2.646
2021-01-02,3.8700001
2021-01-03,3.2619998
2021-01-04,2.418
2021-01-05,2.738
2021-01-06,1.2260001
2021-01-07,0.928
2021-01-08,1.094
2021-01-09,0.618
2021-01-10,1.4399999
2021-01-11,3.8579998
2021-01-12,3.984
2021-01-13,2.516
2021-01-14,0.73800004
2021-01-15,-0.29
2021-01-16,-0.938
2021-01-17,-0.21999998
2021-01-18,3.362
2021-01-19,5.884
2021-01-20,8.018
2021-01-21,7.69
2021-01-22,4.1600003
2021-01-23,2.0379999
2021-01-24,0.932
2021-01-25,0.53
2021-01-26,1.684
2021-01-27,1.8659999
2021-01-28,0.99599993
2021-01-29,-0.77
2021-01-30,-3.788
2021-01-31,-7.042
2021-02-01,-3.7319999
2021-02-02,-0.566
2021-02-03,0.754
2021-02-04,0.76199996
2021-02-05,0.864
2021-02-06,-0.688
2021-02-07,-3.7740002
2021-02-08,-2.52
2021-02-09,-3.4739997
2021-02-10,-3.534
2021-02-11,-5.068
2021-02-12,-6.588
2021-02-13,-7.0240006
2021-02-14,-4.782
2021-02-15,0.013999997
2021-02-16,3.2400002
2021-02-17,6.238
2021-02-18,7.9499993
2021-02-19,6.16
2021-02-20,9.388
2021-02-21,10.214
2021-02-22,10.406
2021-02-23,11.046
2021-02-24,12.654
2021-02-25,10.221999
2021-02-26,5.66
2021-02-27,5.0299997
2021-02-28,3.5239997
2021-03-01,2.8639998
2021-03-02,4.5199995
2021-03-03,4.2539997
2021-03-04,3.2699997
2021-03-05,1.382
2021-03-06,3.0099998
2021-03-07,3.5540001
2021-03-08,2.202
2021-03-09,1.508
2021-03-10,4.466
2021-03-11,7.4919996
2021-03-12,5.81
2021-03-13,5.3200006
2021-03-14,5.79
2021-03-15,4.8719997
2021-03-16,4.436
2021-03-17,3.834
2021-03-18,3.172
2021-03-19,1.6379999
2021-03-20,2.1039999
2021-03-21,5.704
2021-03-22,5.4579997
2021-03-23,6.206
2021-03-24,8.631999
2021-03-25,8.4800005
2021-03-26,9.676001
2021-03-27,6.2839994
2021-03-28,7.4539995
2021-03-29,11.759999
2021-03-30,11.951999
2021-03-31,12.148
2021-04-01,8.092
2021-04-02,5.098
2021-04-03,5.744
2021-04-04,5.958
2021-04-05,3.0939999
2021-04-06,2.156
2021-04-07,2.92
2021-04-08,4.584
2021-04-09,5.982
2021-04-10,5.608
2021-04-11,5.06
2021-04-12,3.934
2021-04-13,4.3760004
2021-04-14,3.78
2021-04-15,4.646
2021-04-16,6.6120005
2021-04-17,7.134
2021-04-18,10.19
2021-04-19,9.9
2021-04-20,9.865999
2021-04-21,6.908
2021-04-22,7.0080004
2021-04-23,7.118
2021-04-24,6.628
2021-04-25,6.62
2021-04-26,5.4800005
2021-04-27,7.586
2021-04-28,9.838
2021-04-29,8.539999
2021-04-30,8.8359995
2021-05-01,8.104
2021-05-02,6.428
2021-05-03,6.474
2021-05-04,8.589999
2021-05-05,6.7880006
2021-05-06,6.3879995
2021-05-07,6.7579994
2021-05-08,8.592
2021-05-09,18.656
2021-05-10,18.163998
2021-05-11,12.629999
2021-05-12,11.758
2021-05-13,9.707999
2021-05-14,9.07
2021-05-15,9.665999
2021-05-16,10.814
2021-05-17,10.940001
2021-05-18,10.558001
2021-05-19,9.799999
2021-05-20,11.496
2021-05-21,11.775999
2021-05-22,10.598001
2021-05-23,10.42
2021-05-24,13.263998
2021-05-25,9.921999
2021-05-26,10.481999
2021-05-27,10.932
2021-05-28,10.533999
2021-05-29,9.994
2021-05-30,10.483999
2021-05-31,15.44
2021-06-01,16.873999
2021-06-02,17.658
2021-06-03,18.223999
2021-06-04,19.826
2021-06-05,18.416
2021-06-06,15.844
2021-06-07,15.337999
2021-06-08,17.248
2021-06-09,18.484
2021-06-10,18.880001
2021-06-11,18.734
2021-06-12,16.198
2021-06-13,15.219999
2021-06-14,18.387999
2021-06-15,15.589999
2021-06-16,20.268
2021-06-17,26.277996
2021-06-18,23.344
2021-06-19,21.713999
2021-06-20,19.163998
2021-06-21,13.844
2021-06-22,14.546
2021-06-23,14.874001
2021-06-24,14.92
2021-06-25,17.034
2021-06-26,18.976002
2021-06-27,18.983997
2021-06-28,22.241999
2021-06-29,19.84
2021-06-30,16.808
2021-07-01,17.692
2021-07-02,17.39
2021-07-03,16.952
2021-07-04,18.665998
2021-07-05,17.764
2021-07-06,20.086
2021-07-07,18.774
2021-07-08,19.622
2021-07-09,17.99
2021-07-10,17.592
2021-07-11,19.814
2021-07-12,22.039999
2021-07-13,22.47
2021-07-14,21.506
2021-07-15,20.315998
2021-07-16,19.241999
2021-07-17,19.539999
2021-07-18,18.742
2021-07-19,16.652
2021-07-20,17.004002
2021-07-21,17.336002
2021-07-22,16.7
2021-07-23,16.633999
2021-07-24,20.039999
2021-07-25,21.920002
2021-07-26,21.328
2021-07-27,19.88
2021-07-28,18.703999
2021-07-29,17.238
2021-07-30,17.974
2021-07-31,16.626
2021-08-01,16.203999
2021-08-02,15.386
2021-08-03,15.946001
2021-08-04,16.338001
2021-08-05,17.607998
2021-08-06,17.219997
2021-08-07,17.835999
2021-08-08,16.826
2021-08-09,16.256
2021-08-10,15.696001
2021-08-11,17.355999
2021-08-12,19.564
2021-08-13,19.368
2021-08-14,17.635998
2021-08-15,18.708002
2021-08-16,15.525999
2021-08-17,15.392
2021-08-18,16.057999
2021-08-19,16.316
2021-08-20,15.857999
2021-08-21,16.982
2021-08-22,16.008
2021-08-23,17.278
2021-08-24,16.05
2021-08-25,15.074
2021-08-26,15.575999
2021-08-27,15.325999
2021-08-28,15.522
2021-08-29,15.9800005
2021-08-30,16.920002
2021-08-31,15.801999
2021-09-01,15.735998
2021-09-02,14.466001
2021-09-03,14.578
2021-09-04,15.780001
2021-09-05,14.745999
2021-09-06,14.289999
2021-09-07,16.636
2021-09-08,18.289999
2021-09-09,19.324001
2021-09-10,18.630001
2021-09-11,18.348001
2021-09-12,17.235998
2021-09-13,15.081999
2021-09-14,15.967999
2021-09-15,17.411999
2021-09-16,15.995999
2021-09-17,14.578
2021-09-18,14.817999
2021-09-19,12.606
2021-09-20,12.172
2021-09-21,13.414
2021-09-22,14.594
2021-09-23,14.106
2021-09-24,15.444
2021-09-25,17.092
2021-09-26,18.166
2021-09-27,17.854
2021-09-28,13.719999
2021-09-29,11.867999
2021-09-30,12.151999
2021-10-01,13.797999
2021-10-02,14.429998
2021-10-03,16.691998
2021-10-04,12.534
2021-10-05,11.76
2021-10-06,11.853999
2021-10-07,11.02
2021-10-08,10.842
2021-10-09,10.271999
2021-10-10,8.048
2021-10-11,11.426
2021-10-12,9.275999
2021-10-13,8.332
2021-10-14,12.735999
2021-10-15,11.278
2021-10-16,9.67
2021-10-17,10.558
2021-10-18,11.458
2021-10-19,13.764
2021-10-20,15.334
2021-10-21,10.046
2021-10-22,7.905999
2021-10-23,8.059999
2021-10-24,7.31
2021-10-25,8.134001
2021-10-26,11.403999
2021-10-27,13.279999
2021-10-28,11.747999
2021-10-29,11.366
2021-10-30,11.325999
2021-10-31,12.7
2021-11-01,10.257999
2021-11-02,7.364
2021-11-03,7.21
2021-11-04,7.827999
2021-11-05,8.912001
2021-11-06,9.298
2021-11-07,9.365999
2021-11-08,8.542
2021-11-09,8.466
2021-11-10,7.1699996
2021-11-11,9.101999
2021-11-12,8.012
2021-11-13,7.276
2021-11-14,7.7599998
2021-11-15,5.9759994
2021-11-16,4.548
2021-11-17,6.1879997
2021-11-18,9.146
2021-11-19,11.892
2021-11-20,10.242
2021-11-21,7.7799997
2021-11-22,4.2219996
2021-11-23,7.528
2021-11-24,6.5659995
2021-11-25,5.06
2021-11-26,3.794
2021-11-27,2.7699997
2021-11-28,2.954
2021-11-29,2.438
2021-11-30,5.676
2021-12-01,7.044
2021-12-02,1.486
2021-12-03,2.074
2021-12-04,3.65
2021-12-05,0.846
2021-12-06,0.80599993
2021-12-07,2.07
2021-12-08,2.7139997
2021-12-09,1.9919999
2021-12-10,2.8579998
2021-12-11,2.272
2021-12-12,5.56
2021-12-13,8.55
2021-12-14,7.804
2021-12-15,8.8619995
2021-12-16,8.038
2021-12-17,7.018
2021-12-18,7.3739996
2021-12-19,6.2160006
2021-12-20,0.92999995
2021-12-21,-2.07
2021-12-22,-3.7759998
2021-12-23,-0.504
2021-12-24,1.8959999
2021-12-25,-4.604
2021-12-26,-5.452
2021-12-27,-1.3399999
2021-12-28,3.7039998
2021-12-29,4.7539997
2021-12-30,9.731999
2021-12-31,11.992
