time,DEE0E
2021-01-01,2.5133333
2021-01-02,3.32
2021-01-03,3.03
2021-01-04,2.6666665
2021-01-05,2.76
2021-01-06,0.99333334
2021-01-07,0.59
2021-01-08,0.50666666
2021-01-09,0.43666664
2021-01-10,0.98
2021-01-11,2.76
2021-01-12,3.6966665
2021-01-13,1.4766666
2021-01-14,0.60999995
2021-01-15,-0.7166667
2021-01-16,-1.4566666
2021-01-17,-1.6033331
2021-01-18,2.4133332
2021-01-19,4.793333
2021-01-20,7.89
2021-01-21,7.44
2021-01-22,4.7066665
2021-01-23,2.4466665
2021-01-24,1.38
2021-01-25,0.14666666
2021-01-26,0.17333333
2021-01-27,1.66
2021-01-28,0.97999996
2021-01-29,-1.2199999
2021-01-30,-2.22
2021-01-31,-6.0699997
2021-02-01,-4.293333
2021-02-02,-0.8433333
2021-02-03,0.29999998
2021-02-04,0.47333333
2021-02-05,0.006666666
2021-02-06,-1.5766667
2021-02-07,-4.5099998
2021-02-08,-4.3033333
2021-02-09,-5.5066667
2021-02-10,-3.8566666
2021-02-11,-5.94
2021-02-12,-6.8133335
2021-02-13,-7.2166667
2021-02-14,-6.056666
2021-02-15,-1.4833332
2021-02-16,2.89
2021-02-17,5.93
2021-02-18,6.9833336
2021-02-19,6.0699997
2021-02-20,8.723333
2021-02-21,9.4
2021-02-22,10.586666
2021-02-23,12.16
2021-02-24,13.329999
2021-02-25,11.646667
2021-02-26,6.6066666
2021-02-27,4.8466663
2021-02-28,4.2233334
2021-03-01,4.103333
2021-03-02,2.89
2021-03-03,5.376667
2021-03-04,2.99
2021-03-05,0.96999997
2021-03-06,2.0199997
2021-03-07,3.1066666
2021-03-08,1.36
2021-03-09,1.3533334
2021-03-10,3.92
2021-03-11,7.306666
2021-03-12,6.0033326
2021-03-13,5.0299997
2021-03-14,5.4599996
2021-03-15,4.736666
2021-03-16,3.8133333
2021-03-17,2.34
2021-03-18,1.7866665
2021-03-19,0.84666663
2021-03-20,1.4366666
2021-03-21,5.84
2021-03-22,4.92
2021-03-23,5.596667
2021-03-24,8.5199995
2021-03-25,8.32
2021-03-26,10.296666
2021-03-27,6.1866665
2021-03-28,7.2466664
2021-03-29,12.903333
2021-03-30,13.196667
2021-03-31,14.196667
2021-04-01,9.013333
2021-04-02,5.0333333
2021-04-03,6.103333
2021-04-04,5.1266665
2021-04-05,2.9166667
2021-04-06,1.1966666
2021-04-07,1.9966666
2021-04-08,3.6466665
2021-04-09,6.1733336
2021-04-10,5.853333
2021-04-11,6.27
2021-04-12,4.103333
2021-04-13,4.1566663
2021-04-14,3.7733333
2021-04-15,4.87
2021-04-16,6.6299996
2021-04-17,7.97
2021-04-18,9.31
2021-04-19,9.196667
2021-04-20,9.533333
2021-04-21,7.2833333
2021-04-22,7.0533333
2021-04-23,7.896666
2021-04-24,7.066667
2021-04-25,6.0499997
2021-04-26,5.91
2021-04-27,6.7100005
2021-04-28,10.2
2021-04-29,8.196667
2021-04-30,8.546666
2021-05-01,8.576667
2021-05-02,7.123333
2021-05-03,6.28
2021-05-04,8.599999
2021-05-05,6.8566666
2021-05-06,6.2700005
2021-05-07,6.28
2021-05-08,8.776668
2021-05-09,19.57
2021-05-10,19.99
2021-05-11,12.673332
2021-05-12,12.0199995
2021-05-13,10.8
2021-05-14,8.91
2021-05-15,10.403333
2021-05-16,11.18
2021-05-17,11.593333
2021-05-18,10.916667
2021-05-19,10.106666
2021-05-20,11.329999
2021-05-21,11.613334
2021-05-22,10.673332
2021-05-23,10.713333
2021-05-24,14.48
2021-05-25,10.506667
2021-05-26,10.683333
2021-05-27,10.959999
2021-05-28,10.723334
2021-05-29,11.046666
2021-05-30,13.203334
2021-05-31,15.73
2021-06-01,16.686666
2021-06-02,17.519999
2021-06-03,19.326666
2021-06-04,21.32
2021-06-05,20.456667
2021-06-06,17.253332
2021-06-07,16.966667
2021-06-08,18.98
2021-06-09,19.66
2021-06-10,20.119997
2021-06-11,19.796667
2021-06-12,16.61
2021-06-13,15.106667
2021-06-14,19.173334
2021-06-15,16.903334
2021-06-16,20.426666
2021-06-17,26.769999
2021-06-18,26.62
2021-06-19,25.423332
2021-06-20,21.623335
2021-06-21,15.793332
2021-06-22,14.766666
2021-06-23,15.696667
2021-06-24,16.75
2021-06-25,17.043333
2021-06-26,18.960001
2021-06-27,20.556665
2021-06-28,22.893333
2021-06-29,20.693335
2021-06-30,17.643333
2021-07-01,16.46
2021-07-02,18.013334
2021-07-03,17.566666
2021-07-04,19.859999
2021-07-05,18.109999
2021-07-06,20.566666
2021-07-07,19.92
2021-07-08,19.866667
2021-07-09,17.766668
2021-07-10,17.960001
2021-07-11,19.856665
2021-07-12,21.916666
2021-07-13,23.126665
2021-07-14,22.07
2021-07-15,22.123335
2021-07-16,21.373331
2021-07-17,20.779999
2021-07-18,19.716667
2021-07-19,16.39
2021-07-20,16.706665
2021-07-21,17.58
2021-07-22,16.5
2021-07-23,15.616666
2021-07-24,20.75
2021-07-25,22.656668
2021-07-26,21.156666
2021-07-27,20.34
2021-07-28,19.49
2021-07-29,17.840002
2021-07-30,18.536667
2021-07-31,16.933332
2021-08-01,16.723333
2021-08-02,14.923332
2021-08-03,16.11
2021-08-04,16.486666
2021-08-05,17.453333
2021-08-06,17.869999
2021-08-07,17.409998
2021-08-08,16.653334
2021-08-09,16.363333
2021-08-10,15.44
2021-08-11,17.186666
2021-08-12,20.013334
2021-08-13,20.480001
2021-08-14,18.306665
2021-08-15,19.16
2021-08-16,15.283333
2021-08-17,14.553333
2021-08-18,15.823334
2021-08-19,16.143333
2021-08-20,15.57
2021-08-21,16.546667
2021-08-22,15.799999
2021-08-23,17.039999
2021-08-24,15.056666
2021-08-25,14.433333
2021-08-26,14.663333
2021-08-27,14.72
2021-08-28,14.75
2021-08-29,15.503333
2021-08-30,16.22
2021-08-31,16.486666
2021-09-01,16.933332
2021-09-02,14.623333
2021-09-03,14.716667
2021-09-04,14.783333
2021-09-05,14.28
2021-09-06,14.733333
2021-09-07,16.213333
2021-09-08,17.766666
2021-09-09,19.07
2021-09-10,19.046667
2021-09-11,18.38
2021-09-12,17.4
2021-09-13,14.803333
2021-09-14,16.073334
2021-09-15,16.24
2021-09-16,15.923333
2021-09-17,14.173333
2021-09-18,14.32
2021-09-19,12.683333
2021-09-20,11.7699995
2021-09-21,11.806666
2021-09-22,13.976666
2021-09-23,13.7699995
2021-09-24,14.543332
2021-09-25,16.873335
2021-09-26,18.269999
2021-09-27,18.096666
2021-09-28,13.943334
2021-09-29,11.670001
2021-09-30,11.946666
2021-10-01,13.343333
2021-10-02,14.033333
2021-10-03,17.859999
2021-10-04,12.693333
2021-10-05,10.656667
2021-10-06,11.976666
2021-10-07,10.03
2021-10-08,10.073334
2021-10-09,9.3
2021-10-10,6.983333
2021-10-11,10.153333
2021-10-12,8.21
2021-10-13,7.09
2021-10-14,11.986667
2021-10-15,11.033333
2021-10-16,9.136666
2021-10-17,9.703334
2021-10-18,11.283333
2021-10-19,13.283333
2021-10-20,15.623333
2021-10-21,9.6866665
2021-10-22,6.84
2021-10-23,7.363333
2021-10-24,6.773333
2021-10-25,8.293332
2021-10-26,11.536667
2021-10-27,13.213333
2021-10-28,11.63
2021-10-29,10.53
2021-10-30,11.383334
2021-10-31,13.443333
2021-11-01,11.37
2021-11-02,7.133333
2021-11-03,6.39
2021-11-04,7.36
2021-11-05,8.266666
2021-11-06,8.723332
2021-11-07,8.87
2021-11-08,8.253333
2021-11-09,8.196667
2021-11-10,7.146666
2021-11-11,8.743333
2021-11-12,7.41
2021-11-13,6.0866666
2021-11-14,7.1966667
2021-11-15,5.9233336
2021-11-16,4.533333
2021-11-17,5.4133334
2021-11-18,8.426666
2021-11-19,11.866666
2021-11-20,10.206666
2021-11-21,7.41
2021-11-22,3.04
2021-11-23,6.9500003
2021-11-24,6.53
2021-11-25,4.8233333
2021-11-26,3.4099998
2021-11-27,2.27
2021-11-28,2.2933333
2021-11-29,1.4733334
2021-11-30,4.6066666
2021-12-01,6.3466663
2021-12-02,0.9066667
2021-12-03,1.59
2021-12-04,3.263333
2021-12-05,0.62666667
2021-12-06,0.123333335
2021-12-07,0.5466667
2021-12-08,1.5366668
2021-12-09,1.03
2021-12-10,1.7233334
2021-12-11,2.29
2021-12-12,4.92
2021-12-13,9.3133335
2021-12-14,7.9133334
2021-12-15,9.143333
2021-12-16,7.903333
2021-12-17,6.5933337
2021-12-18,7.1666665
2021-12-19,6.01
2021-12-20,0.033333328
2021-12-21,-2.7299998
2021-12-22,-4.2566667
2021-12-23,-1.0333333
2021-12-24,1.0766667
2021-12-25,-6.02
2021-12-26,-7.3266664
2021-12-27,-2.756667
2021-12-28,1.6633333
2021-12-29,3.9433334
2021-12-30,9.953332
2021-12-31,12.13
