time,DEF02
2021-01-01,1.7099999
2021-01-02,2.77
2021-01-03,2.07
2021-01-04,2.1
2021-01-05,2.18
2021-01-06,0.62
2021-01-07,0.13
2021-01-08,0.26999998
2021-01-09,-0.19999999
2021-01-10,0.29999998
2021-01-11,2.2
2021-01-12,3.1399999
2021-01-13,1.2099999
2021-01-14,0.31
2021-01-15,-1.3399999
2021-01-16,-2.04
2021-01-17,-1.7099999
2021-01-18,2.1
2021-01-19,4.4
2021-01-20,7.46
2021-01-21,6.98
2021-01-22,4.5899997
2021-01-23,1.66
2021-01-24,0.94
2021-01-25,-0.39
2021-01-26,0.04
2021-01-27,1.4399999
2021-01-28,1.0699999
2021-01-29,-1.5699999
2021-01-30,-2.52
2021-01-31,-7.3399997
2021-02-01,-5.13
2021-02-02,-0.96
2021-02-03,0.45
2021-02-04,0.01
2021-02-05,-0.28
2021-02-06,-1.88
2021-02-07,-5.16
2021-02-08,-5.89
2021-02-09,-7.45
2021-02-10,-4.63
2021-02-11,-7.29
2021-02-12,-8.21
2021-02-13,-9.16
2021-02-14,-8.17
2021-02-15,-2.2
2021-02-16,2.75
2021-02-17,5.4
2021-02-18,6.42
2021-02-19,5.66
2021-02-20,8.46
2021-02-21,9.07
2021-02-22,10.0199995
2021-02-23,11.75
2021-02-24,12.17
2021-02-25,10.679999
2021-02-26,6.6
2021-02-27,4.87
2021-02-28,3.53
2021-03-01,3.54
2021-03-02,2.21
2021-03-03,5.15
2021-03-04,2.71
2021-03-05,0.63
2021-03-06,1.06
2021-03-07,2.45
2021-03-08,1.26
2021-03-09,0.96
2021-03-10,3.6399999
2021-03-11,7.0699997
2021-03-12,5.75
2021-03-13,4.8199997
2021-03-14,4.69
2021-03-15,4.36
2021-03-16,3.53
2021-03-17,1.91
2021-03-18,0.53999996
2021-03-19,0.5
2021-03-20,0.71
2021-03-21,5.43
2021-03-22,4.75
2021-03-23,5.18
2021-03-24,7.68
2021-03-25,7.3999996
2021-03-26,9.7
2021-03-27,5.6299996
2021-03-28,6.92
2021-03-29,13.24
2021-03-30,12.509999
2021-03-31,13.25
2021-04-01,9.16
2021-04-02,4.89
2021-04-03,5.96
2021-04-04,4.73
2021-04-05,2.33
2021-04-06,0.78
2021-04-07,1.54
2021-04-08,3.12
2021-04-09,6.12
2021-04-10,5.5099998
2021-04-11,6.18
2021-04-12,3.62
2021-04-13,3.55
2021-04-14,3.12
2021-04-15,4.4
2021-04-16,6.5699997
2021-04-17,7.7
2021-04-18,8.95
2021-04-19,8.96
2021-04-20,9.099999
2021-04-21,7.0899997
2021-04-22,6.5699997
2021-04-23,7.74
2021-04-24,6.6099997
2021-04-25,5.3399997
2021-04-26,5.02
2021-04-27,6.37
2021-04-28,10.0199995
2021-04-29,8.34
2021-04-30,8.13
2021-05-01,8.49
2021-05-02,6.2599998
2021-05-03,5.46
2021-05-04,8.61
2021-05-05,6.75
2021-05-06,6.17
2021-05-07,6.0899997
2021-05-08,8.38
2021-05-09,19.609999
2021-05-10,19.99
2021-05-11,12.809999
2021-05-12,11.79
2021-05-13,10.94
2021-05-14,9.13
2021-05-15,10.349999
2021-05-16,11.16
2021-05-17,11.639999
2021-05-18,10.82
2021-05-19,10.17
2021-05-20,11.179999
2021-05-21,11.4
2021-05-22,10.29
2021-05-23,10.2699995
