time,DEF0A
2021-01-01,4.809583
2021-01-02,2.9787502
2021-01-03,2.4845831
2021-01-04,1.6770834
2021-01-05,1.4445833
2021-01-06,2.3291667
2021-01-07,2.57
2021-01-08,3.8991668
2021-01-09,4.1658335
2021-01-10,1.7633334
2021-01-11,1.5745834
2021-01-12,1.5537499
2021-01-13,3.5970833
2021-01-14,3.3108332
2021-01-15,4.3416667
2021-01-16,6.0874996
2021-01-17,6.287916
2021-01-18,5.921249
2021-01-19,6.1387496
2021-01-20,6.395001
2021-01-21,10.104167
2021-01-22,10.211666
2021-01-23,8.307916
2021-01-24,11.105832
2021-01-25,11.452499
2021-01-26,13.215
2021-01-27,14.239582
2021-01-28,13.544998
2021-01-29,12.6329155
2021-01-30,11.2225
2021-01-31,9.914166
2021-02-01,12.090833
2021-02-02,10.502917
2021-02-03,10.617916
2021-02-04,11.280833
2021-02-05,11.972916
2021-02-06,9.882083
2021-02-07,8.102917
2021-02-08,9.227917
2021-02-09,9.682084
2021-02-10,11.045417
2021-02-11,12.379998
2021-02-12,11.205001
2021-02-13,10.201666
2021-02-14,10.225417
2021-02-15,10.763332
2021-02-16,10.611667
2021-02-17,11.806666
2021-02-18,11.319167
2021-02-19,11.780833
2021-02-20,12.947499
2021-02-21,10.204167
2021-02-22,8.286667
2021-02-23,9.557916
2021-02-24,11.795417
2021-02-25,11.811252
2021-02-26,12.192916
2021-02-27,10.202084
2021-02-28,10.179999
2021-03-01,10.296249
2021-03-02,11.217083
2021-03-03,12.127915
2021-03-04,10.929584
2021-03-05,10.804999
2021-03-06,10.9175
2021-03-07,9.668334
2021-03-08,8.350417
2021-03-09,8.75
2021-03-10,9.2612505
2021-03-11,11.485
2021-03-12,11.4325
2021-03-13,10.737083
2021-03-14,11.003333
2021-03-15,11.486249
2021-03-16,12.340417
2021-03-17,13.054582
2021-03-18,9.402083
2021-03-19,6.932083
2021-03-20,6.6249995
2021-03-21,6.7866664
2021-03-22,9.330416
2021-03-23,11.152916
2021-03-24,12.868335
2021-03-25,13.899583
2021-03-26,14.429166
2021-03-27,14.34125
2021-03-28,15.774999
2021-03-29,16.379166
2021-03-30,17.6
2021-03-31,17.970415
2021-04-01,16.382917
2021-04-02,14.737499
2021-04-03,13.514167
2021-04-04,13.871667
2021-04-05,15.062916
2021-04-06,15.347083
2021-04-07,15.364582
2021-04-08,14.676665
2021-04-09,13.505
2021-04-10,14.600417
2021-04-11,13.387916
2021-04-12,13.6779175
2021-04-13,15.0925
2021-04-14,14.396249
2021-04-15,11.315831
2021-04-16,11.987916
2021-04-17,11.667084
2021-04-18,12.400832
2021-04-19,15.044167
2021-04-20,14.657083
2021-04-21,14.242084
2021-04-22,14.242499
2021-04-23,14.766667
2021-04-24,13.431666
2021-04-25,13.707915
2021-04-26,14.38375
2021-04-27,13.967083
2021-04-28,15.019168
2021-04-29,13.505834
2021-04-30,12.017085
2021-05-01,12.063333
2021-05-02,12.483334
2021-05-03,13.350418
2021-05-04,15.687083
2021-05-05,16.457502
2021-05-06,17.74
2021-05-07,18.654583
2021-05-08,19.35875
2021-05-09,16.712082
2021-05-10,13.572083
2021-05-11,12.555417
2021-05-12,14.170418
2021-05-13,15.891666
2021-05-14,17.278334
2021-05-15,19.467916
2021-05-16,20.495832
2021-05-17,20.63
2021-05-18,20.31
2021-05-19,20.397083
2021-05-20,20.740416
2021-05-21,21.747917
2021-05-22,19.351248
2021-05-23,14.790001
2021-05-24,15.353748
2021-05-25,18.1675
2021-05-26,19.977915
2021-05-27,18.91375
2021-05-28,20.274168
2021-05-29,21.859583
2021-05-30,22.96625
2021-05-31,22.728333
2021-06-01,20.145834
2021-06-02,20.38125
2021-06-03,22.100832
2021-06-04,22.475
2021-06-05,19.634583
2021-06-06,20.965414
2021-06-07,23.937912
2021-06-08,25.154165
2021-06-09,25.935417
2021-06-10,26.322916
2021-06-11,25.487082
2021-06-12,24.762499
2021-06-13,25.444166
2021-06-14,25.7325
2021-06-15,25.623331
2021-06-16,23.658335
2021-06-17,19.637917
2021-06-18,20.115831
2021-06-19,18.494585
2021-06-20,18.928331
2021-06-21,19.129583
2021-06-22,19.435833
2021-06-23,20.16
2021-06-24,23.221664
2021-06-25,24.985832
2021-06-26,25.411661
2021-06-27,24.537498
