time,DEF0B
2021-01-01,7.183333
2021-01-02,5.278333
2021-01-03,4.653333
2021-01-04,3.6500003
2021-01-05,4.4249997
2021-01-06,5.659167
2021-01-07,5.511667
2021-01-08,7.9175
2021-01-09,6.32
2021-01-10,2.2958333
2021-01-11,3.9416666
2021-01-12,4.2833333
2021-01-13,5.5249996
2021-01-14,7.3449993
2021-01-15,6.7500005
2021-01-16,7.8899994
2021-01-17,6.865
2021-01-18,7.476666
2021-01-19,8.139167
2021-01-20,7.9308324
2021-01-21,11.159167
2021-01-22,12.949166
2021-01-23,10.934166
2021-01-24,13.051665
2021-01-25,13.005833
2021-01-26,15.183334
2021-01-27,16.279165
2021-01-28,14.659165
2021-01-29,13.765834
2021-01-30,14.025833
2021-01-31,12.113334
2021-02-01,13.4925
2021-02-02,13.777499
2021-02-03,13.07
2021-02-04,12.654166
2021-02-05,11.805
2021-02-06,11.000833
2021-02-07,9.516667
2021-02-08,10.7275
2021-02-09,10.855834
2021-02-10,13.004166
2021-02-11,13.900833
2021-02-12,12.701667
2021-02-13,11.755833
2021-02-14,10.935834
2021-02-15,10.662499
2021-02-16,10.410832
2021-02-17,11.2891655
2021-02-18,10.304999
2021-02-19,11.6275
2021-02-20,11.8949995
2021-02-21,9.435832
2021-02-22,9.693334
2021-02-23,10.703334
2021-02-24,12.472501
2021-02-25,12.195834
2021-02-26,12.3975
2021-02-27,11.829166
2021-02-28,11.626667
2021-03-01,10.833333
2021-03-02,11.086666
2021-03-03,12.125
2021-03-04,11.469166
2021-03-05,10.9425
2021-03-06,11.578334
2021-03-07,11.486667
2021-03-08,10.212501
2021-03-09,10.121667
2021-03-10,10.026666
2021-03-11,11.051666
2021-03-12,12.701667
2021-03-13,10.849167
2021-03-14,11.824166
2021-03-15,11.8949995
2021-03-16,12.054166
2021-03-17,12.439166
2021-03-18,10.729167
2021-03-19,10.204166
2021-03-20,8.412499
2021-03-21,7.3399997
2021-03-22,10.374166
2021-03-23,11.060833
2021-03-24,13.398334
2021-03-25,12.859166
2021-03-26,13.052501
2021-03-27,14.039166
2021-03-28,14.8933325
2021-03-29,15.844167
2021-03-30,15.756667
2021-03-31,16.246666
2021-04-01,15.420833
2021-04-02,14.255
2021-04-03,14.6016655
2021-04-04,15.2475
2021-04-05,14.454999
2021-04-06,14.1033325
2021-04-07,14.993333
2021-04-08,13.7525
2021-04-09,13.5583315
2021-04-10,14.77
2021-04-11,14.379167
2021-04-12,14.404167
2021-04-13,15.209999
2021-04-14,12.906666
2021-04-15,11.545001
2021-04-16,12.534167
2021-04-17,14.119999
2021-04-18,13.851666
2021-04-19,15.359166
2021-04-20,15.892499
2021-04-21,15.150833
2021-04-22,15.876667
2021-04-23,14.659167
2021-04-24,12.869167
2021-04-25,12.400001
2021-04-26,15.017499
2021-04-27,15.648334
2021-04-28,16.0225
2021-04-29,13.952499
2021-04-30,12.805
2021-05-01,11.8975
2021-05-02,12.931666
2021-05-03,12.9349985
2021-05-04,14.544999
2021-05-05,14.895833
2021-05-06,16.253334
2021-05-07,17.186666
2021-05-08,18.5025
2021-05-09,16.435833
2021-05-10,14.110833
2021-05-11,13.449166
2021-05-12,17.219166
2021-05-13,17.621668
2021-05-14,18.789167
2021-05-15,18.300001
2021-05-16,23.18
2021-05-17,21.622498
2021-05-18,19.547499
2021-05-19,20.176666
2021-05-20,19.565832
2021-05-21,20.07
2021-05-22,20.8925
2021-05-23,15.441667
2021-05-24,15.834999
2021-05-25,17.475834
2021-05-26,18.950834
2021-05-27,17.341667
2021-05-28,18.968332
2021-05-29,20.619165
2021-05-30,21.2475
2021-05-31,21.4325
2021-06-01,19.041666
2021-06-02,18.375834
2021-06-03,19.328333
2021-06-04,20.529165
2021-06-05,19.326666
2021-06-06,19.821667
2021-06-07,21.639166
2021-06-08,22.754166
2021-06-09,23.291666
2021-06-10,23.098333
2021-06-11,22.422499
2021-06-12,22.294998
2021-06-13,22.900833
2021-06-14,23.516665
2021-06-15,22.819166
2021-06-16,22.841667
2021-06-17,19.714165
2021-06-18,19.681665
2021-06-19,18.826666
2021-06-20,20.015
2021-06-21,20.418333
2021-06-22,20.755835
2021-06-23,20.62
2021-06-24,21.225832
2021-06-25,22.888334
2021-06-26,23.123331
2021-06-27,23.539167
2021-06-28,24.272501
2021-06-29,22.018333
2021-06-30,21.713333
2021-07-01,23.525
2021-07-02,23.165833
2021-07-03,25.520834
2021-07-04,26.555832
2021-07-05,25.417498
2021-07-06,25.204165
2021-07-07,24.582499
2021-07-08,22.740831
2021-07-09,25.711668
2021-07-10,26.668335
2021-07-11,26.351667
2021-07-12,26.158333
2021-07-13,22.470833
2021-07-14,22.498335
2021-07-15,23.792501
