time,DEF0C
2021-01-01,8.352858
2021-01-02,5.68
2021-01-03,4.8704762
2021-01-04,5.0119042
2021-01-05,6.261428
2021-01-06,6.235238
2021-01-07,6.8142853
2021-01-08,7.986191
2021-01-09,6.2766666
2021-01-10,5.0466666
2021-01-11,5.602857
2021-01-12,4.91619
2021-01-13,5.9542856
2021-01-14,5.552381
2021-01-15,6.5595236
2021-01-16,7.6966667
2021-01-17,8.259999
2021-01-18,8.090952
2021-01-19,8.378096
2021-01-20,11.550476
2021-01-21,12.741429
2021-01-22,13.854286
2021-01-23,11.633809
2021-01-24,14.190953
2021-01-25,14.500477
2021-01-26,15.640475
2021-01-27,16.094284
2021-01-28,15.111427
2021-01-29,11.980476
2021-01-30,14.44
2021-01-31,13.386666
2021-02-01,13.945714
2021-02-02,13.710952
2021-02-03,14.52
2021-02-04,14.326191
2021-02-05,12.037142
2021-02-06,11.723332
2021-02-07,11.259999
2021-02-08,13.118094
2021-02-09,12.5
2021-02-10,15.007141
2021-02-11,15.496666
2021-02-12,13.558571
2021-02-13,12.439525
2021-02-14,13.627619
2021-02-15,13.636666
2021-02-16,12.503809
2021-02-17,13.801905
2021-02-18,11.721429
2021-02-19,12.428572
2021-02-20,13.771904
2021-02-21,10.876667
2021-02-22,9.82762
2021-02-23,11.727619
2021-02-24,13.2228565
2021-02-25,12.937619
2021-02-26,13.9619055
2021-02-27,12.213809
2021-02-28,13.08619
2021-03-01,14.144761
2021-03-02,14.034285
2021-03-03,14.176666
2021-03-04,13.893333
2021-03-05,12.844762
2021-03-06,13.148094
2021-03-07,14.042381
2021-03-08,12.101428
2021-03-09,12.091429
2021-03-10,12.320951
2021-03-11,13.240476
2021-03-12,14.170476
2021-03-13,12.491429
2021-03-14,13.31
2021-03-15,14.714286
2021-03-16,14.578096
2021-03-17,15.307619
2021-03-18,13.388097
2021-03-19,11.410476
2021-03-20,10.974285
2021-03-21,9.11381
2021-03-22,11.750476
2021-03-23,13.02238
2021-03-24,14.348095
2021-03-25,14.3461895
2021-03-26,14.534286
2021-03-27,16.987143
2021-03-28,17.70143
2021-03-29,18.767143
2021-03-30,19.430475
2021-03-31,21.578096
2021-04-01,18.282381
2021-04-02,16.543331
2021-04-03,15.88238
2021-04-04,17.223333
2021-04-05,17.751904
2021-04-06,18.136667
2021-04-07,17.47381
2021-04-08,16.975714
2021-04-09,16.66619
2021-04-10,17.47
2021-04-11,17.46143
2021-04-12,17.586191
2021-04-13,17.808096
2021-04-14,17.041904
2021-04-15,16.054762
2021-04-16,16.890476
2021-04-17,17.47143
2021-04-18,16.681429
2021-04-19,17.798573
2021-04-20,16.729523
2021-04-21,16.143332
2021-04-22,18.534285
2021-04-23,18.054762
2021-04-24,16.3
2021-04-25,16.61143
2021-04-26,17.195236
2021-04-27,17.826666
2021-04-28,17.05143
2021-04-29,15.413333
2021-04-30,15.139047
2021-05-01,13.796666
2021-05-02,14.584285
2021-05-03,15.716666
2021-05-04,18.338572
2021-05-05,19.479048
2021-05-06,20.261429
2021-05-07,20.92381
2021-05-08,21.376667
2021-05-09,17.304287
2021-05-10,14.79238
2021-05-11,14.377142
2021-05-12,17.19143
2021-05-13,18.321905
2021-05-14,19.398094
2021-05-15,21.72
2021-05-16,23.600475
2021-05-17,23.210476
2021-05-18,22.506666
2021-05-19,24.13
2021-05-20,23.173332
2021-05-21,23.594284
2021-05-22,21.389523
2021-05-23,19.382381
2021-05-24,18.284761
2021-05-25,22.537619
2021-05-26,22.439524
2021-05-27,19.280952
2021-05-28,22.572857
2021-05-29,24.329046
2021-05-30,24.874762
2021-05-31,23.625713
2021-06-01,20.141903
2021-06-02,20.607143
2021-06-03,21.523333
2021-06-04,21.919521
2021-06-05,22.686666
2021-06-06,23.96381
2021-06-07,25.823336
2021-06-08,26.843332
2021-06-09,27.015238
2021-06-10,27.111904
2021-06-11,25.339523
2021-06-12,24.738571
2021-06-13,25.387142
2021-06-14,24.947144
2021-06-15,24.562382
2021-06-16,23.533808
2021-06-17,20.906668
2021-06-18,20.296188
2021-06-19,19.797142
2021-06-20,19.910954
2021-06-21,20.757618
2021-06-22,21.19381
2021-06-23,22.833332
2021-06-24,24.999523
2021-06-25,26.62
2021-06-26,25.47619
2021-06-27,24.646664
2021-06-28,23.595238
2021-06-29,23.87238
