time,DEF0D
2021-01-01,6.6163154
2021-01-02,4.586316
2021-01-03,4.598947
2021-01-04,3.7242107
2021-01-05,2.787368
2021-01-06,3.45421
2021-01-07,3.5489473
2021-01-08,3.8321056
2021-01-09,5.3578944
2021-01-10,3.0500002
2021-01-11,3.4710524
2021-01-12,3.1310527
2021-01-13,4.5594735
2021-01-14,5.2442102
2021-01-15,6.7657895
2021-01-16,6.545263
2021-01-17,7.552105
2021-01-18,7.593684
2021-01-19,7.2468414
2021-01-20,5.9994736
2021-01-21,10.646315
2021-01-22,13.55
2021-01-23,9.438947
2021-01-24,14.541053
2021-01-25,13.340527
2021-01-26,14.51421
2021-01-27,15.689474
2021-01-28,16.291578
2021-01-29,15.445788
2021-01-30,13.652104
2021-01-31,11.987369
2021-02-01,16.774736
2021-02-02,14.256843
2021-02-03,11.467369
2021-02-04,12.018948
2021-02-05,12.858947
2021-02-06,11.781579
2021-02-07,10.32
2021-02-08,12.036841
2021-02-09,10.742104
2021-02-10,13.527895
2021-02-11,13.261052
2021-02-12,14.784739
2021-02-13,13.233157
2021-02-14,10.0199995
2021-02-15,9.897895
2021-02-16,10.894737
2021-02-17,11.512631
2021-02-18,11.82421
2021-02-19,11.418947
2021-02-20,11.721579
2021-02-21,11.30421
2021-02-22,11.098947
2021-02-23,11.40421
2021-02-24,11.493685
2021-02-25,12.405789
2021-02-26,11.929474
2021-02-27,11.074211
2021-02-28,11.393683
2021-03-01,10.978948
2021-03-02,10.891052
2021-03-03,12.472105
2021-03-04,11.015263
2021-03-05,11.241579
2021-03-06,11.388421
2021-03-07,10.487369
2021-03-08,10.872105
2021-03-09,10.399473
2021-03-10,10.323684
2021-03-11,12.229473
2021-03-12,12.932105
2021-03-13,11.961578
2021-03-14,12.646843
2021-03-15,11.938947
2021-03-16,11.464736
2021-03-17,11.630527
2021-03-18,9.221579
2021-03-19,8.17
2021-03-20,7.2442107
2021-03-21,7.9499984
2021-03-22,10.25842
2021-03-23,11.280525
2021-03-24,12.39842
2021-03-25,14.104736
2021-03-26,15.483157
2021-03-27,13.559999
2021-03-28,12.8536825
2021-03-29,13.68842
2021-03-30,14.532631
2021-03-31,13.123684
2021-04-01,14.655789
2021-04-02,14.838421
2021-04-03,15.029473
2021-04-04,13.518421
2021-04-05,14.530525
2021-04-06,15.850527
2021-04-07,13.4642105
2021-04-08,12.544737
2021-04-09,12.085263
2021-04-10,13.205264
2021-04-11,15.200526
2021-04-12,13.253685
2021-04-13,14.549474
2021-04-14,13.516841
2021-04-15,10.674211
2021-04-16,11.190527
2021-04-17,11.064736
2021-04-18,12.647368
2021-04-19,14.940526
