time,DEG03
2021-01-01,14.16
2021-01-02,14.57
2021-01-03,14.38
2021-01-04,15.679999
2021-01-05,18.619999
2021-01-06,19.05
2021-01-07,18.369999
2021-01-08,14.09
2021-01-09,11.21
2021-01-10,11.2
2021-01-11,11.69
2021-01-12,11.66
2021-01-13,15.21
2021-01-14,14.58
2021-01-15,14.73
2021-01-16,15.889999
2021-01-17,15.63
2021-01-18,17.31
2021-01-19,17.68
2021-01-20,15.19
2021-01-21,18.35
2021-01-22,18.15
2021-01-23,17.64
2021-01-24,18.07
2021-01-25,16.76
2021-01-26,17.43
2021-01-27,17.85
2021-01-28,18.33
2021-01-29,19.279999
2021-01-30,18.619999
2021-01-31,19.57
2021-02-01,21.18
2021-02-02,18.43
2021-02-03,15.92
2021-02-04,14.36
2021-02-05,11.509999
2021-02-06,13.059999
2021-02-07,14.929999
2021-02-08,15.349999
2021-02-09,15.759999
2021-02-10,16.24
2021-02-11,14.46
2021-02-12,16.779999
2021-02-13,17.5
2021-02-14,16.97
2021-02-15,17.55
2021-02-16,17.71
2021-02-17,16.82
2021-02-18,15.79
2021-02-19,16.359999
2021-02-20,16.6
2021-02-21,15.33
2021-02-22,15.96
2021-02-23,18.42
2021-02-24,16.6
2021-02-25,15.63
2021-02-26,13.849999
2021-02-27,14.009999
2021-02-28,15.2699995
2021-03-01,15.33
2021-03-02,16.94
2021-03-03,16.69
2021-03-04,16.119999
2021-03-05,15.79
2021-03-06,13.98
2021-03-07,15.759999
2021-03-08,17.13
2021-03-09,16.76
2021-03-10,16.49
2021-03-11,15.91
2021-03-12,18.01
2021-03-13,17.07
2021-03-14,19.17
2021-03-15,17.83
2021-03-16,17.23
2021-03-17,15.92
2021-03-18,16.55
2021-03-19,17.21
2021-03-20,16.57
2021-03-21,15.28
2021-03-22,16.119999
2021-03-23,15.07
2021-03-24,16.5
2021-03-25,19.289999
2021-03-26,18.49
2021-03-27,16.609999
2021-03-28,15.61
2021-03-29,16.32
2021-03-30,16.279999
2021-03-31,16.69
2021-04-01,17.77
2021-04-02,16.67
2021-04-03,18.039999
2021-04-04,17.9
2021-04-05,16.47
2021-04-06,17.34
2021-04-07,17.59
2021-04-08,16.17
2021-04-09,16.609999
2021-04-10,17.59
2021-04-11,18.72
2021-04-12,19.43
2021-04-13,18.55
2021-04-14,17.58
2021-04-15,17.08
2021-04-16,18.31
2021-04-17,19.59
2021-04-18,19.16
2021-04-19,17.63
2021-04-20,19.449999
2021-04-21,18.65
2021-04-22,18.699999
2021-04-23,17.779999
2021-04-24,16.73
2021-04-25,15.719999
2021-04-26,19.119999
2021-04-27,19.39
2021-04-28,18.21
2021-04-29,17.32
2021-04-30,15.69
2021-05-01,16.08
2021-05-02,17.47
2021-05-03,16.65
2021-05-04,17.789999
2021-05-05,17.869999
2021-05-06,18.539999
2021-05-07,19.07
2021-05-08,19.859999
2021-05-09,18.81
2021-05-10,18.57
2021-05-11,17.09
2021-05-12,18.75
2021-05-13,18.0
2021-05-14,19.359999
2021-05-15,19.92
2021-05-16,20.93
2021-05-17,21.32
2021-05-18,21.77
2021-05-19,20.56
2021-05-20,22.529999
2021-05-21,24.89
2021-05-22,21.8
2021-05-23,18.21
2021-05-24,17.65
2021-05-25,18.039999
2021-05-26,18.72
2021-05-27,19.529999
2021-05-28,18.779999
2021-05-29,19.73
2021-05-30,21.52
2021-05-31,20.539999
2021-06-01,18.949999
2021-06-02,19.07
2021-06-03,19.77
2021-06-04,18.51
2021-06-05,19.18
2021-06-06,19.66
2021-06-07,20.25
2021-06-08,21.31
2021-06-09,24.42
2021-06-10,24.65
2021-06-11,24.06
2021-06-12,21.85
2021-06-13,21.43
2021-06-14,22.14
2021-06-15,21.25
2021-06-16,22.6
2021-06-17,20.64
2021-06-18,19.689999
2021-06-19,19.359999
2021-06-20,19.34
2021-06-21,20.17
2021-06-22,20.3
2021-06-23,19.83
2021-06-24,19.57
2021-06-25,20.14
2021-06-26,21.49
2021-06-27,21.16
2021-06-28,20.35
2021-06-29,20.16
2021-06-30,20.63
2021-07-01,20.02
2021-07-02,20.939999
2021-07-03,22.519999
2021-07-04,21.1
2021-07-05,21.58
2021-07-06,20.99
2021-07-07,21.689999
2021-07-08,21.16
2021-07-09,21.97
2021-07-10,21.56
2021-07-11,22.89
2021-07-12,25.83
2021-07-13,23.07
2021-07-14,23.019999
2021-07-15,21.96
2021-07-16,22.96
2021-07-17,23.39
2021-07-18,26.23
2021-07-19,25.779999
2021-07-20,23.09
2021-07-21,23.189999
2021-07-22,24.15
2021-07-23,24.76
2021-07-24,23.05
2021-07-25,22.02
2021-07-26,21.92
2021-07-27,22.99
2021-07-28,23.32
2021-07-29,23.41
2021-07-30,23.5
2021-07-31,23.01
2021-08-01,21.699999
2021-08-02,21.279999
2021-08-03,21.88
2021-08-04,22.519999
2021-08-05,22.109999
2021-08-06,22.49
2021-08-07,21.98
2021-08-08,21.82
2021-08-09,22.34
2021-08-10,22.31
2021-08-11,22.73
2021-08-12,23.81
2021-08-13,24.119999
2021-08-14,25.789999
2021-08-15,27.599998
2021-08-16,28.9
2021-08-17,27.22
2021-08-18,27.91
2021-08-19,25.66
2021-08-20,23.74
2021-08-21,23.4
2021-08-22,22.21
2021-08-23,21.41
2021-08-24,21.869999
2021-08-25,22.15
2021-08-26,22.57
2021-08-27,22.92
2021-08-28,22.97
2021-08-29,22.15
2021-08-30,22.39
2021-08-31,22.119999
2021-09-01,23.769999
2021-09-02,23.609999
2021-09-03,22.74
2021-09-04,23.82
2021-09-05,23.65
2021-09-06,24.789999
2021-09-07,25.699999
2021-09-08,25.91
2021-09-09,25.07
2021-09-10,24.14
2021-09-11,24.99
2021-09-12,25.21
2021-09-13,23.34
2021-09-14,20.689999
2021-09-15,22.22
2021-09-16,21.6
2021-09-17,22.529999
2021-09-18,22.949999
2021-09-19,21.73
2021-09-20,22.47
2021-09-21,22.439999
2021-09-22,21.81
2021-09-23,21.47
2021-09-24,20.5
2021-09-25,20.52
2021-09-26,19.89
2021-09-27,22.619999
2021-09-28,23.76
2021-09-29,22.6
2021-09-30,24.269999
2021-10-01,24.15
2021-10-02,24.71
2021-10-03,22.359999
2021-10-04,21.63
2021-10-05,22.15
2021-10-06,22.71
2021-10-07,21.32
2021-10-08,22.8
2021-10-09,22.75
2021-10-10,22.199999
2021-10-11,21.26
2021-10-12,21.42
2021-10-13,21.82
2021-10-14,21.039999
2021-10-15,22.4
2021-10-16,22.369999
2021-10-17,23.14
2021-10-18,23.0
2021-10-19,22.89
2021-10-20,22.82
2021-10-21,21.96
2021-10-22,20.89
2021-10-23,19.59
2021-10-24,19.31
2021-10-25,18.99
2021-10-26,19.93
2021-10-27,19.21
2021-10-28,20.39
2021-10-29,19.949999
2021-10-30,20.02
2021-10-31,19.67
2021-11-01,22.32
2021-11-02,21.38
2021-11-03,21.779999
2021-11-04,20.32
2021-11-05,19.97
2021-11-06,19.51
2021-11-07,18.09
2021-11-08,18.51
2021-11-09,17.029999
2021-11-10,16.58
2021-11-11,18.19
2021-11-12,18.64
2021-11-13,19.48
2021-11-14,18.23
2021-11-15,17.98
2021-11-16,18.49
2021-11-17,17.94
2021-11-18,16.039999
2021-11-19,15.74
2021-11-20,16.859999
2021-11-21,17.65
2021-11-22,18.81
2021-11-23,17.73
2021-11-24,17.93
2021-11-25,16.43
2021-11-26,14.679999
2021-11-27,15.75
2021-11-28,16.14
2021-11-29,16.199999
2021-11-30,16.4
2021-12-01,16.34
2021-12-02,17.24
2021-12-03,16.58
2021-12-04,16.029999
2021-12-05,17.55
2021-12-06,17.619999
2021-12-07,15.96
2021-12-08,17.13
2021-12-09,16.58
2021-12-10,16.859999
2021-12-11,17.619999
2021-12-12,17.029999
2021-12-13,16.18
2021-12-14,15.86
2021-12-15,12.61
2021-12-16,12.7699995
2021-12-17,14.96
2021-12-18,15.69
2021-12-19,16.06
2021-12-20,17.9
2021-12-21,16.38
2021-12-22,15.969999
2021-12-23,16.289999
2021-12-24,17.26
2021-12-25,17.98
2021-12-26,19.75
2021-12-27,20.939999
2021-12-28,19.81
2021-12-29,17.73
2021-12-30,18.99
2021-12-31,20.1
