time,DEG0A
2021-01-01,-3.84535
2021-01-02,-4.7907643
2021-01-03,-11.233822
2021-01-04,-13.518281
2021-01-05,-16.057707
2021-01-06,-16.854395
2021-01-07,-13.168471
2021-01-08,-12.207961
2021-01-09,-11.400446
2021-01-10,-8.977835
2021-01-11,-11.898852
2021-01-12,-8.037069
2021-01-13,-12.1440115
2021-01-14,-15.427324
2021-01-15,-14.76363
2021-01-16,-13.929554
2021-01-17,-17.230572
2021-01-18,-18.89344
2021-01-19,-15.343247
2021-01-20,-9.175796
2021-01-21,-5.7445226
2021-01-22,-2.1168153
2021-01-23,-7.900191
2021-01-24,-10.081082
2021-01-25,-11.451655
2021-01-26,-14.409999
2021-01-27,-13.354077
2021-01-28,-15.681848
2021-01-29,-20.079872
2021-01-30,-17.635605
2021-01-31,-14.445541
2021-02-01,-15.564458
2021-02-02,-17.529234
2021-02-03,-17.12191
2021-02-04,-14.834204
2021-02-05,-11.443949
2021-02-06,-13.284394
2021-02-07,-11.448726
2021-02-08,-11.196688
2021-02-09,-14.10503
2021-02-10,-15.369618
2021-02-11,-17.160892
2021-02-12,-7.9230566
2021-02-13,-6.0985985
2021-02-14,-5.516114
2021-02-15,-12.632675
2021-02-16,-13.372739
2021-02-17,-9.673184
2021-02-18,-7.2721653
2021-02-19,-5.2935667
2021-02-20,-2.5295541
2021-02-21,-2.0430574
2021-02-22,-5.5991716
2021-02-23,-1.728981
2021-02-24,1.9056689
2021-02-25,1.2696815
2021-02-26,1.2319108
2021-02-27,1.3791082
2021-02-28,2.9505095
2021-03-01,1.5722294
2021-03-02,0.5480892
2021-03-03,-0.50757957
2021-03-04,-4.493567
2021-03-05,-4.61465
2021-03-06,-2.669618
2021-03-07,-6.224013
2021-03-08,-6.5143948
2021-03-09,-6.318153
2021-03-10,-11.134904
2021-03-11,-5.495541
2021-03-12,-2.3712738
2021-03-13,-3.4815922
2021-03-14,-4.461847
2021-03-15,-1.6626753
2021-03-16,-2.6128025
2021-03-17,-3.5215921
2021-03-18,-3.0134394
2021-03-19,-6.9716563
2021-03-20,1.9910828
2021-03-21,-2.3169425
2021-03-22,1.9580253
2021-03-23,4.097962
2021-03-24,2.721274
2021-03-25,0.760828
2021-03-26,0.25356686
2021-03-27,2.7232482
2021-03-28,-0.18261145
2021-03-29,2.0284712
2021-03-30,2.5298727
2021-03-31,0.8303821
2021-04-01,0.039745223
2021-04-02,-0.62936306
2021-04-03,0.41070062
2021-04-04,1.8533119
2021-04-05,-2.9467516
2021-04-06,-0.5400637
2021-04-07,-2.02535
2021-04-08,-3.4958596
2021-04-09,-2.2549043
2021-04-10,-2.4810193
2021-04-11,-1.488535
2021-04-12,-2.3544588
2021-04-13,-2.7548406
2021-04-14,-0.8605095
2021-04-15,0.5523567
2021-04-16,2.8496814
2021-04-17,3.2164333
2021-04-18,4.5264964
2021-04-19,5.54879
2021-04-20,5.8799367
2021-04-21,1.1483439
2021-04-22,-0.9254141
2021-04-23,-0.92
2021-04-24,-1.1273248
2021-04-25,-1.0911465
2021-04-26,-0.65503186
2021-04-27,-0.16808918
2021-04-28,-0.44796175
2021-04-29,-0.6643949
2021-04-30,-0.12350317
2021-05-01,-0.13318472
2021-05-02,-0.14178345
2021-05-03,0.14891718
2021-05-04,1.255223
2021-05-05,0.88503176
2021-05-06,-1.2515924
2021-05-07,0.33273885
2021-05-08,0.99273896
2021-05-09,1.1719745
2021-05-10,5.648535
2021-05-11,9.2015915
2021-05-12,6.7996817
2021-05-13,7.973121
2021-05-14,7.6818476
2021-05-15,5.074777
2021-05-16,6.7610826
2021-05-17,5.508726
2021-05-18,7.1971335
2021-05-19,7.1561785
2021-05-20,7.187452
2021-05-21,7.118344
2021-05-22,6.180828
2021-05-23,3.7892997
2021-05-24,7.452484
2021-05-25,7.8829927
2021-05-26,8.922357
2021-05-27,8.2307005
2021-05-28,8.5531845
2021-05-29,9.986561
2021-05-30,13.7917185
2021-05-31,12.039745
2021-06-01,13.388025
2021-06-02,15.166751
2021-06-03,16.136433
2021-06-04,15.9041395
2021-06-05,16.001019
2021-06-06,15.158343
2021-06-07,13.686306
2021-06-08,13.995667
2021-06-09,14.937388
2021-06-10,16.405224
2021-06-11,16.482294
2021-06-12,9.881337
2021-06-13,8.423376
2021-06-14,9.5742035
2021-06-15,7.588917
2021-06-16,7.055605
2021-06-17,14.866304
2021-06-18,12.652548
2021-06-19,7.410573
2021-06-20,9.599426
2021-06-21,11.754331
2021-06-22,10.394267
2021-06-23,13.57465
2021-06-24,13.716433
2021-06-25,13.016688
2021-06-26,14.020764
2021-06-27,12.749107
2021-06-28,13.4834385
2021-06-29,11.078789
2021-06-30,10.982866
2021-07-01,15.172102
2021-07-02,18.729172
2021-07-03,20.671782
2021-07-04,19.287899
2021-07-05,18.869427
2021-07-06,16.741655
2021-07-07,16.782549
2021-07-08,16.4807
2021-07-09,17.425285
2021-07-10,15.383567
2021-07-11,16.709745
2021-07-12,16.512165
2021-07-13,18.50363
2021-07-14,17.9528
2021-07-15,15.832038
2021-07-16,13.385542
2021-07-17,14.313184
2021-07-18,10.285542
2021-07-19,10.097261
2021-07-20,9.914968
2021-07-21,10.587452
2021-07-22,11.27898
2021-07-23,12.186306
2021-07-24,15.263628
2021-07-25,18.522676
2021-07-26,19.652483
2021-07-27,18.600637
2021-07-28,18.177326
2021-07-29,16.768152
2021-07-30,12.816241
2021-07-31,10.70242
2021-08-01,10.0349045
2021-08-02,8.410892
2021-08-03,8.979044
2021-08-04,10.683949
2021-08-05,13.354203
2021-08-06,14.369427
2021-08-07,13.207196
2021-08-08,13.257452
2021-08-09,14.21949
2021-08-10,14.073376
2021-08-11,13.563757
2021-08-12,13.676751
2021-08-13,14.1697445
2021-08-14,12.363629
2021-08-15,11.023758
2021-08-16,10.964458
2021-08-17,11.264967
2021-08-18,9.450191
2021-08-19,9.62242
2021-08-20,9.282166
2021-08-21,8.770956
2021-08-22,7.4936943
2021-08-23,7.48465
2021-08-24,7.58465
2021-08-25,8.307198
2021-08-26,7.7185354
2021-08-27,9.487006
2021-08-28,10.191147
2021-08-29,11.031719
2021-08-30,9.618472
2021-08-31,9.289171
2021-09-01,8.551528
2021-09-02,8.85121
2021-09-03,6.0263057
2021-09-04,5.9519105
2021-09-05,7.3265605
2021-09-06,8.422038
2021-09-07,10.9210825
2021-09-08,12.619044
2021-09-09,10.288853
2021-09-10,7.784458
2021-09-11,10.430383
2021-09-12,9.26363
2021-09-13,5.49
2021-09-14,5.9256053
2021-09-15,5.462484
2021-09-16,6.249427
2021-09-17,4.588344
2021-09-18,4.9724846
2021-09-19,5.7407637
2021-09-20,4.311847
2021-09-21,4.79
2021-09-22,8.2923565
2021-09-23,5.8768787
2021-09-24,3.713885
2021-09-25,5.959363
2021-09-26,7.678853
2021-09-27,8.907197
2021-09-28,7.624841
2021-09-29,7.5700636
2021-09-30,6.7185993
2021-10-01,7.4572616
2021-10-02,8.459744
2021-10-03,8.964204
2021-10-04,9.546051
2021-10-05,8.64828
2021-10-06,6.6068153
2021-10-07,6.0585985
2021-10-08,8.165032
2021-10-09,9.473185
2021-10-10,8.04758
2021-10-11,3.695159
2021-10-12,2.202038
2021-10-13,0.67751586
2021-10-14,4.0381527
2021-10-15,1.7600636
2021-10-16,0.89127386
2021-10-17,0.31872612
2021-10-18,-0.60987264
2021-10-19,-1.5950955
2021-10-20,3.1140764
2021-10-21,1.0973247
2021-10-22,-0.92210186
2021-10-23,-1.836051
2021-10-24,1.051847
2021-10-25,3.1196177
2021-10-26,2.5525477
2021-10-27,2.7870064
2021-10-28,3.9284716
2021-10-29,6.4886622
2021-10-30,5.47293
2021-10-31,3.619618
2021-11-01,4.183694
2021-11-02,5.625541
2021-11-03,3.8086622
2021-11-04,2.6107004
2021-11-05,0.43700632
2021-11-06,-0.49662417
2021-11-07,-3.7971976
2021-11-08,-6.8746495
2021-11-09,-1.341019
2021-11-10,-0.33267513
2021-11-11,0.07089172
2021-11-12,-1.3017834
2021-11-13,-5.6610823
2021-11-14,-6.419554
2021-11-15,-2.2581527
2021-11-16,0.4091719
2021-11-17,1.5136943
2021-11-18,-2.1215286
2021-11-19,-0.2835032
2021-11-20,-0.5976433
2021-11-21,-5.118726
2021-11-22,-3.653121
2021-11-23,-0.2996178
2021-11-24,-0.33700633
2021-11-25,-4.875923
2021-11-26,-10.686942
2021-11-27,-11.459744
2021-11-28,-12.009809
2021-11-29,-14.098662
2021-11-30,-14.581274
2021-12-01,-13.608725
2021-12-02,-14.491719
2021-12-03,-13.268153
2021-12-04,-10.522421
2021-12-05,-14.999235
2021-12-06,-15.734266
2021-12-07,-13.957261
2021-12-08,-10.223631
2021-12-09,-5.3852863
2021-12-10,-3.9114652
2021-12-11,-2.6363692
2021-12-12,-2.3786626
2021-12-13,-4.467006
2021-12-14,-7.0868783
2021-12-15,-3.2161145
2021-12-16,0.59707004
2021-12-17,1.9242036
2021-12-18,2.9238214
2021-12-19,-0.34484076
2021-12-20,-6.643503
2021-12-21,-11.485287
2021-12-22,-10.874586
2021-12-23,-8.123693
2021-12-24,-12.862993
2021-12-25,-6.7830567
2021-12-26,-8.499745
2021-12-27,-10.614394
2021-12-28,-11.521592
2021-12-29,-12.693821
2021-12-30,-9.709045
2021-12-31,-7.047516
