time,DEG0B
2021-01-01,-5.1617875
2021-01-02,-9.727095
2021-01-03,-14.048602
2021-01-04,-15.94687
2021-01-05,-18.172401
2021-01-06,-13.249944
2021-01-07,-13.295866
2021-01-08,-12.35039
2021-01-09,-9.440056
2021-01-10,-6.8565917
2021-01-11,-10.440782
2021-01-12,-8.094246
2021-01-13,-15.084692
2021-01-14,-18.237654
2021-01-15,-13.948882
2021-01-16,-14.966201
2021-01-17,-19.190224
2021-01-18,-23.939943
2021-01-19,-20.602123
2021-01-20,-11.590782
2021-01-21,-9.301508
2021-01-22,-7.8640227
2021-01-23,-11.1817875
2021-01-24,-13.377766
2021-01-25,-14.006703
2021-01-26,-17.735474
2021-01-27,-14.566536
2021-01-28,-13.582067
2021-01-29,-21.730558
2021-01-30,-20.966314
2021-01-31,-16.860838
2021-02-01,-17.713463
2021-02-02,-21.77106
2021-02-03,-16.515976
2021-02-04,-11.428939
2021-02-05,-10.059273
2021-02-06,-11.405306
2021-02-07,-10.297318
2021-02-08,-12.447373
2021-02-09,-13.191843
2021-02-10,-19.718212
2021-02-11,-15.278491
2021-02-12,-5.7352514
2021-02-13,-5.910503
2021-02-14,-10.262403
2021-02-15,-15.508099
2021-02-16,-15.967374
2021-02-17,-19.537653
2021-02-18,-12.414469
2021-02-19,-9.016424
2021-02-20,-7.3540773
2021-02-21,-11.722067
2021-02-22,-12.081565
2021-02-23,-8.363017
2021-02-24,-2.3311172
2021-02-25,1.029218
2021-02-26,0.64882684
2021-02-27,-0.566257
2021-02-28,3.2783237
2021-03-01,1.5946369
2021-03-02,0.4706704
2021-03-03,-1.3949721
2021-03-04,-5.883407
2021-03-05,-8.773967
2021-03-06,-4.7346926
2021-03-07,-6.012793
2021-03-08,-8.324079
2021-03-09,-10.2411175
2021-03-10,-15.601565
2021-03-11,-6.8139663
2021-03-12,-4.3226814
2021-03-13,-3.698771
2021-03-14,-2.9518995
2021-03-15,-2.6232402
2021-03-16,-6.6959214
2021-03-17,-7.6534634
2021-03-18,-7.5201125
2021-03-19,-9.799608
2021-03-20,0.9422905
2021-03-21,-2.8828492
2021-03-22,-1.65581
2021-03-23,3.4489944
2021-03-24,2.022961
2021-03-25,0.7773742
2021-03-26,-0.17290503
2021-03-27,2.1902235
2021-03-28,0.61491615
2021-03-29,0.5710055
2021-03-30,2.6882682
2021-03-31,1.5251954
2021-04-01,0.27106142
2021-04-02,-0.3018995
2021-04-03,0.047318444
2021-04-04,2.4254189
2021-04-05,-1.8173186
2021-04-06,-1.3060894
2021-04-07,-1.4792179
2021-04-08,-4.2032404
2021-04-09,-3.8758101
2021-04-10,-3.2722905
2021-04-11,-0.7174302
2021-04-12,-3.051173
2021-04-13,-3.044469
2021-04-14,-1.5738548
2021-04-15,1.6818994
2021-04-16,2.592458
2021-04-17,2.979944
2021-04-18,3.993799
2021-04-19,4.9045253
2021-04-20,5.0217876
2021-04-21,2.1618433
2021-04-22,-0.23815636
2021-04-23,-1.0850278
2021-04-24,-1.1480447
2021-04-25,-0.95564246
2021-04-26,-0.97446924
2021-04-27,-0.08731842
2021-04-28,-0.58027923
2021-04-29,-0.30977657
2021-04-30,0.18810064
2021-05-01,-0.9992737
2021-05-02,-0.18268155
2021-05-03,-0.47631282
2021-05-04,1.3726815
2021-05-05,0.86709493
2021-05-06,-0.81932956
2021-05-07,0.15759772
2021-05-08,1.0143576
2021-05-09,2.5773742
2021-05-10,3.455642
2021-05-11,7.843352
