time,DEG0C
2021-01-01,-5.2503433
2021-01-02,-9.65828
2021-01-03,-14.249342
2021-01-04,-15.49977
2021-01-05,-12.902177
2021-01-06,-11.066733
2021-01-07,-14.282435
2021-01-08,-14.301347
2021-01-09,-12.080344
2021-01-10,-10.584355
2021-01-11,-13.817077
2021-01-12,-13.74702
2021-01-13,-21.76851
2021-01-14,-20.371574
2021-01-15,-8.744327
2021-01-16,-12.199113
2021-01-17,-17.23739
2021-01-18,-20.666876
2021-01-19,-15.510314
2021-01-20,-13.827478
2021-01-21,-15.205042
2021-01-22,-14.419312
2021-01-23,-15.542951
2021-01-24,-17.107336
2021-01-25,-20.99911
2021-01-26,-17.361002
2021-01-27,-12.52977
2021-01-28,-12.453925
2021-01-29,-20.653696
2021-01-30,-16.180487
2021-01-31,-11.420917
2021-02-01,-13.727908
2021-02-02,-17.05017
2021-02-03,-14.571978
2021-02-04,-8.490888
2021-02-05,-7.676046
2021-02-06,-8.482578
2021-02-07,-8.167421
2021-02-08,-10.699312
2021-02-09,-15.691202
2021-02-10,-17.346388
2021-02-11,-13.162378
2021-02-12,-8.407134
2021-02-13,-10.99023
2021-02-14,-13.675272
2021-02-15,-8.274183
2021-02-16,-14.652436
2021-02-17,-21.447908
2021-02-18,-19.843325
2021-02-19,-14.455672
2021-02-20,-13.603837
2021-02-21,-15.977709
2021-02-22,-14.434957
2021-02-23,-13.393724
2021-02-24,-9.148997
2021-02-25,-1.2751288
2021-02-26,-1.255702
2021-02-27,-2.9372206
2021-02-28,1.5230659
2021-03-01,0.052521497
2021-03-02,-2.0066473
2021-03-03,-4.2957306
2021-03-04,-8.366475
2021-03-05,-9.6842985
2021-03-06,-7.491891
2021-03-07,-7.298452
2021-03-08,-10.823496
2021-03-09,-13.708366
2021-03-10,-15.783869
2021-03-11,-10.8143835
2021-03-12,-7.036819
2021-03-13,-5.99871
2021-03-14,-5.9273634
2021-03-15,-4.5746703
2021-03-16,-7.559054
2021-03-17,-10.197794
2021-03-18,-11.875931
2021-03-19,-9.797249
2021-03-20,-0.9803152
2021-03-21,-5.2152433
2021-03-22,-6.2937536
2021-03-23,1.4887106
2021-03-24,1.9779083
2021-03-25,-0.8413753
2021-03-26,-3.2337534
2021-03-27,0.45553002
2021-03-28,0.77469915
2021-03-29,-0.23641832
2021-03-30,1.0287392
2021-03-31,0.99507153
2021-04-01,-0.9420631
2021-04-02,-1.4269054
2021-04-03,-0.5720057
2021-04-04,0.7069342
2021-04-05,-2.8033237
2021-04-06,-2.057593
2021-04-07,-2.825043
2021-04-08,-6.122206
2021-04-09,-7.785874
2021-04-10,-4.3339825
2021-04-11,-1.2144699
2021-04-12,-3.221461
2021-04-13,-5.0308595
2021-04-14,-2.9824355
2021-04-15,1.7789971
2021-04-16,2.1523495
2021-04-17,2.0233238
2021-04-18,2.1032665
2021-04-19,3.9629226
2021-04-20,4.408281
2021-04-21,1.4783094
2021-04-22,-1.8792264
2021-04-23,-2.2439253
2021-04-24,-2.655358
2021-04-25,-2.4543839
2021-04-26,-1.7893983
2021-04-27,-1.718023
2021-04-28,-2.6836388
2021-04-29,-1.9295127
2021-04-30,-2.8506014
2021-05-01,-3.257278
2021-05-02,-2.4693694
2021-05-03,-2.5480227
2021-05-04,-0.8997134
2021-05-05,-1.4227794
2021-05-06,-2.9365046
2021-05-07,-2.532894
2021-05-08,-0.31957024
2021-05-09,1.159341
2021-05-10,1.008596
2021-05-11,4.0649
2021-05-12,5.5351286
2021-05-13,4.698023
2021-05-14,1.3866762
2021-05-15,1.9521776
2021-05-16,3.4627507
2021-05-17,6.610516
2021-05-18,8.007049
2021-05-19,6.908911
2021-05-20,6.0312605
2021-05-21,3.2260745
2021-05-22,0.048624646
2021-05-23,0.29724926
2021-05-24,2.6847563
2021-05-25,5.0029225
2021-05-26,5.8699136
2021-05-27,6.5869346
2021-05-28,5.4942408
2021-05-29,6.09212
2021-05-30,7.7615466
2021-05-31,8.780687
2021-06-01,11.9389105
2021-06-02,15.506045
2021-06-03,16.650173
2021-06-04,17.000286
2021-06-05,14.993724
2021-06-06,13.81957
2021-06-07,12.693667
2021-06-08,13.565273
2021-06-09,14.750716
2021-06-10,16.100718
2021-06-11,17.070858
2021-06-12,10.731546
2021-06-13,8.5779085
2021-06-14,8.762549
2021-06-15,7.8256164
2021-06-16,6.66722
2021-06-17,9.205759
2021-06-18,10.279599
2021-06-19,10.062865
2021-06-20,11.183639
2021-06-21,10.282979
2021-06-22,11.668338
2021-06-23,11.785759
2021-06-24,14.305844
2021-06-25,11.453295
2021-06-26,11.747936
2021-06-27,12.58444
2021-06-28,12.096618
2021-06-29,10.593867
2021-06-30,10.651319
2021-07-01,15.417594
2021-07-02,17.816734
2021-07-03,19.954124
2021-07-04,22.06295
2021-07-05,21.75719
2021-07-06,20.692263
2021-07-07,19.182749
2021-07-08,16.391003
2021-07-09,16.797363
2021-07-10,19.001804
2021-07-11,17.218195
2021-07-12,17.139713
2021-07-13,16.339455
2021-07-14,16.490631
2021-07-15,15.62447
2021-07-16,12.256016
2021-07-17,13.441146
2021-07-18,10.560601
2021-07-19,9.676591
2021-07-20,7.102865
2021-07-21,8.198968
2021-07-22,10.3313465
2021-07-23,9.147048
2021-07-24,11.135328
2021-07-25,14.960602
2021-07-26,17.305157
2021-07-27,19.127218
2021-07-28,19.036905
2021-07-29,14.9623785
2021-07-30,11.571976
2021-07-31,11.477994
2021-08-01,9.536762
2021-08-02,8.608309
2021-08-03,8.991662
2021-08-04,10.477821
2021-08-05,11.447221
2021-08-06,13.655872
2021-08-07,14.604727
2021-08-08,12.786074
2021-08-09,13.038395
2021-08-10,13.6565895
2021-08-11,13.55295
2021-08-12,13.327822
2021-08-13,13.436876
2021-08-14,12.403982
2021-08-15,11.556476
2021-08-16,9.392321
2021-08-17,9.946962
2021-08-18,9.688623
2021-08-19,11.323839
2021-08-20,10.644039
2021-08-21,8.342579
2021-08-22,6.9343843
2021-08-23,6.8560743
2021-08-24,6.313009
2021-08-25,6.2799997
2021-08-26,7.3274784
2021-08-27,8.248969
2021-08-28,9.343008
2021-08-29,9.89341
2021-08-30,9.7355585
2021-08-31,8.691061
2021-09-01,6.483352
2021-09-02,4.3554444
2021-09-03,5.138223
2021-09-04,4.3163323
2021-09-05,5.9603724
2021-09-06,8.235014
2021-09-07,9.148853
2021-09-08,8.917879
2021-09-09,6.289541
2021-09-10,4.8637247
2021-09-11,4.675587
2021-09-12,5.8863034
2021-09-13,3.8324642
2021-09-14,3.0161602
2021-09-15,2.8152146
2021-09-16,3.160917
2021-09-17,4.0064754
2021-09-18,3.6386821
2021-09-19,4.8653007
2021-09-20,3.7288249
2021-09-21,2.7129512
2021-09-22,5.46659
2021-09-23,5.1120915
2021-09-24,3.6619198
2021-09-25,3.95553
2021-09-26,4.5232086
2021-09-27,8.565643
2021-09-28,6.75851
2021-09-29,6.663037
2021-09-30,5.214498
2021-10-01,5.331461
2021-10-02,8.023294
2021-10-03,6.7114034
2021-10-04,9.003868
2021-10-05,8.326705
2021-10-06,6.0194836
2021-10-07,3.8330371
2021-10-08,1.9439541
2021-10-09,4.335243
2021-10-10,7.8302293
2021-10-11,4.433266
2021-10-12,1.907765
2021-10-13,-1.5136104
2021-10-14,-1.5151576
2021-10-15,-1.3591118
2021-10-16,-0.89355296
2021-10-17,0.3893983
2021-10-18,-2.1880803
2021-10-19,-7.2041545
2021-10-20,-4.734212
2021-10-21,-4.2963324
2021-10-22,-3.75298
2021-10-23,-8.90808
2021-10-24,-9.149226
2021-10-25,-3.0328078
2021-10-26,-2.7969627
2021-10-27,-4.168367
2021-10-28,-1.7887678
2021-10-29,-1.8637536
2021-10-30,-1.3817765
2021-10-31,-1.5483094
2021-11-01,0.13833813
2021-11-02,3.1016905
2021-11-03,2.111232
2021-11-04,0.24653295
2021-11-05,-0.91578794
2021-11-06,-2.592321
2021-11-07,-9.674756
2021-11-08,-11.039656
2021-11-09,-6.816619
2021-11-10,-1.2895129
2021-11-11,-1.4029799
