time,DEG0D
2021-01-01,2.8049998
2021-01-02,3.935
2021-01-03,4.495
2021-01-04,4.1349998
2021-01-05,4.555
2021-01-06,2.725
2021-01-07,0.78499997
2021-01-08,0.555
2021-01-09,-1.19
2021-01-10,-0.97999996
2021-01-11,-1.6199999
2021-01-12,-2.3
2021-01-13,0.14
2021-01-14,0.15499999
2021-01-15,-0.995
2021-01-16,-1.76
2021-01-17,-2.35
2021-01-18,-2.435
2021-01-19,2.1399999
2021-01-20,6.965
2021-01-21,8.95
2021-01-22,10.855
2021-01-23,6.73
2021-01-24,2.59
2021-01-25,0.034999996
2021-01-26,0.445
2021-01-27,-0.265
2021-01-28,2.6599998
2021-01-29,4.79
2021-01-30,4.0299997
2021-01-31,-0.8249999
2021-02-01,-2.77
2021-02-02,-0.97
2021-02-03,7.22
2021-02-04,9.725
2021-02-05,7.615
2021-02-06,4.725
2021-02-07,7.3549995
2021-02-08,3.205
2021-02-09,2.1499999
2021-02-10,1.935
2021-02-11,-3.065
2021-02-12,-5.265
2021-02-13,-4.765
2021-02-14,-2.975
2021-02-15,-2.505
2021-02-16,2.0549998
2021-02-17,3.0349998
2021-02-18,4.295
2021-02-19,6.45
2021-02-20,5.21
2021-02-21,6.5249996
2021-02-22,7.8849998
2021-02-23,7.845
2021-02-24,10.135
2021-02-25,10.235
2021-02-26,9.4
2021-02-27,6.805
2021-02-28,3.665
2021-03-01,4.5
2021-03-02,4.6899996
2021-03-03,6.2799997
2021-03-04,8.83
2021-03-05,6.05
2021-03-06,1.035
2021-03-07,1.0
2021-03-08,4.625
2021-03-09,3.31
2021-03-10,2.935
2021-03-11,5.71
2021-03-12,8.844999
2021-03-13,8.805
2021-03-14,6.3199997
2021-03-15,5.2200003
2021-03-16,4.545
2021-03-17,3.6499999
2021-03-18,3.315
2021-03-19,1.8050001
2021-03-20,0.79999995
2021-03-21,1.005
2021-03-22,3.9199998
2021-03-23,5.4399996
2021-03-24,6.0299997
2021-03-25,6.35
2021-03-26,9.975
2021-03-27,11.914999
2021-03-28,7.6299996
2021-03-29,11.125
2021-03-30,15.035
2021-03-31,14.559999
2021-04-01,15.73
2021-04-02,14.215
2021-04-03,8.48
2021-04-04,4.7999997
2021-04-05,8.585
2021-04-06,1.42
2021-04-07,1.105
2021-04-08,4.115
2021-04-09,8.135
2021-04-10,10.799999
2021-04-11,12.485
2021-04-12,10.535
2021-04-13,3.75
2021-04-14,5.14
2021-04-15,5.17
2021-04-16,5.58
2021-04-17,6.965
2021-04-18,8.025
2021-04-19,7.58
2021-04-20,8.844999
2021-04-21,10.834999
2021-04-22,11.025
2021-04-23,9.289999
2021-04-24,10.905
2021-04-25,12.195
2021-04-26,7.35
2021-04-27,6.9300003
2021-04-28,9.709999
2021-04-29,15.434999
2021-04-30,17.05
2021-05-01,19.0
2021-05-02,14.21
2021-05-03,10.615
2021-05-04,13.955
2021-05-05,13.03
2021-05-06,9.075
2021-05-07,8.5
2021-05-08,10.215
2021-05-09,15.3949995
2021-05-10,19.489998
2021-05-11,20.215
2021-05-12,15.655
2021-05-13,14.455
2021-05-14,13.715
2021-05-15,14.129999
2021-05-16,15.985001
2021-05-17,12.51
2021-05-18,14.0
2021-05-19,10.93
2021-05-20,12.74
2021-05-21,15.065
2021-05-22,16.05
2021-05-23,12.389999
2021-05-24,10.69
2021-05-25,10.52
2021-05-26,12.62
2021-05-27,13.93
2021-05-28,14.219999
2021-05-29,13.004999
2021-05-30,12.754999
2021-05-31,13.83
2021-06-01,14.32
2021-06-02,15.76
2021-06-03,17.02
2021-06-04,19.685
