time,DEG0E
2021-01-01,-0.6754545
2021-01-02,-1.0145453
2021-01-03,-1.0272727
2021-01-04,-0.48090908
2021-01-05,1.4990909
2021-01-06,0.9745455
2021-01-07,-0.54727274
2021-01-08,-1.5
2021-01-09,-1.5772728
2021-01-10,-3.6200004
2021-01-11,-2.3836362
2021-01-12,-2.602727
2021-01-13,-1.889091
2021-01-14,-3.830909
2021-01-15,-10.007273
2021-01-16,-14.448181
2021-01-17,-19.739998
2021-01-18,-16.448181
2021-01-19,-14.360908
2021-01-20,-9.779091
2021-01-21,0.2581818
2021-01-22,2.9645455
2021-01-23,1.030909
2021-01-24,1.4063636
2021-01-25,-0.42454547
2021-01-26,-0.57272726
2021-01-27,-0.85909086
2021-01-28,-2.04
2021-01-29,-3.6699998
2021-01-30,-3.7363634
2021-01-31,-2.9700003
2021-02-01,-6.3154545
2021-02-02,-5.0254545
2021-02-03,-0.6736363
2021-02-04,-3.9654548
2021-02-05,-8.729091
2021-02-06,-13.331818
2021-02-07,-18.033636
2021-02-08,-14.154545
2021-02-09,-10.450909
2021-02-10,-12.339999
2021-02-11,-11.723636
2021-02-12,-14.074545
2021-02-13,-10.099091
2021-02-14,-3.6645453
2021-02-15,-7.254545
2021-02-16,-6.9072723
2021-02-17,-7.085454
2021-02-18,-13.431818
2021-02-19,-12.372726
2021-02-20,-3.299091
2021-02-21,1.9799999
2021-02-22,3.7827272
2021-02-23,1.3627273
2021-02-24,4.6200004
2021-02-25,6.340909
2021-02-26,5.405454
2021-02-27,2.719091
2021-02-28,2.2745454
2021-03-01,2.4745452
2021-03-02,3.8845453
2021-03-03,2.0854545
2021-03-04,1.3909091
2021-03-05,-1.6463635
2021-03-06,-1.9963635
2021-03-07,0.17636363
2021-03-08,-2.3672729
2021-03-09,-4.0436363
2021-03-10,-2.628182
2021-03-11,-2.6736364
2021-03-12,2.441818
2021-03-13,3.3663635
2021-03-14,3.700909
2021-03-15,2.6572728
2021-03-16,1.82
2021-03-17,0.18818182
2021-03-18,-0.047272727
2021-03-19,-2.0990908
2021-03-20,-3.5063636
2021-03-21,-0.9018182
2021-03-22,-0.013636365
2021-03-23,1.2709091
2021-03-24,2.7118182
2021-03-25,4.8536367
2021-03-26,5.9518185
2021-03-27,7.2372727
2021-03-28,5.7572727
2021-03-29,4.3554544
2021-03-30,8.075454
2021-03-31,10.696363
2021-04-01,7.6772733
2021-04-02,4.185455
2021-04-03,3.3627272
2021-04-04,3.4681816
2021-04-05,4.8772726
2021-04-06,2.6645453
2021-04-07,1.8863636
2021-04-08,3.0627272
2021-04-09,4.073636
2021-04-10,7.3963637
2021-04-11,11.118182
2021-04-12,12.743636
2021-04-13,6.691818
2021-04-14,4.2563634
2021-04-15,6.6463637
2021-04-16,8.25
2021-04-17,10.782726
2021-04-18,11.41
2021-04-19,11.008182
2021-04-20,9.971817
2021-04-21,9.702727
2021-04-22,7.6027265
2021-04-23,4.360909
2021-04-24,3.5090911
2021-04-25,3.1472726
2021-04-26,2.3936362
2021-04-27,3.4445455
2021-04-28,5.1336365
2021-04-29,9.037272
2021-04-30,10.714545
2021-05-01,7.7290907
2021-05-02,8.840909
2021-05-03,4.436363
2021-05-04,6.697273
2021-05-05,11.67909
2021-05-06,8.721818
2021-05-07,6.909091
2021-05-08,5.9763637
2021-05-09,7.962726
2021-05-10,16.039091
2021-05-11,17.537273
2021-05-12,17.210909
2021-05-13,12.145453
2021-05-14,13.45
2021-05-15,12.9236355
2021-05-16,13.591818
2021-05-17,15.143635
2021-05-18,13.725454
2021-05-19,12.0254545
2021-05-20,11.209999
2021-05-21,10.834545
2021-05-22,13.20909
2021-05-23,11.973636
2021-05-24,12.111819
2021-05-25,14.112726
2021-05-26,12.835453
2021-05-27,13.5309105
2021-05-28,12.404547
2021-05-29,11.600908
2021-05-30,12.390908
2021-05-31,11.762729
2021-06-01,13.095453
2021-06-02,14.604545
2021-06-03,16.343636
2021-06-04,16.924545
2021-06-05,17.565454
2021-06-06,16.936365
2021-06-07,18.395454
2021-06-08,18.73818
2021-06-09,17.94
2021-06-10,18.082726
2021-06-11,18.031816
2021-06-12,17.96
2021-06-13,15.099091
2021-06-14,15.256364
2021-06-15,16.52909
2021-06-16,16.288181
2021-06-17,17.860909
2021-06-18,19.899092
2021-06-19,23.055454
2021-06-20,23.720001
2021-06-21,25.260908
2021-06-22,25.237272
2021-06-23,25.34182
2021-06-24,22.449999
2021-06-25,22.174543
2021-06-26,19.967272
2021-06-27,18.48091
2021-06-28,20.092726
2021-06-29,19.703636
2021-06-30,21.731817
2021-07-01,23.401817
2021-07-02,20.930908
2021-07-03,19.926363
2021-07-04,20.960909
2021-07-05,21.706364
2021-07-06,22.10182
2021-07-07,23.504545
2021-07-08,24.565454
2021-07-09,25.551819
2021-07-10,23.410908
2021-07-11,21.014544
2021-07-12,24.59818
2021-07-13,24.78727
2021-07-14,24.116362
2021-07-15,24.991816
2021-07-16,25.466364
2021-07-17,24.910908
2021-07-18,23.152727
2021-07-19,20.190908
2021-07-20,19.112728
2021-07-21,18.48
2021-07-22,18.365454
2021-07-23,18.29909
2021-07-24,18.590908
2021-07-25,19.986364
2021-07-26,23.004547
2021-07-27,22.383636
2021-07-28,22.789091
2021-07-29,22.051817
2021-07-30,19.435453
2021-07-31,19.984545
2021-08-01,19.920908
2021-08-02,17.12
2021-08-03,16.869091
2021-08-04,15.883636
2021-08-05,16.56727
2021-08-06,16.02909
2021-08-07,17.751818
2021-08-08,17.792727
2021-08-09,17.859999
2021-08-10,17.462727
2021-08-11,17.359089
2021-08-12,16.550909
2021-08-13,17.695456
2021-08-14,19.805456
2021-08-15,19.752728
2021-08-16,19.635454
2021-08-17,18.557272
2021-08-18,14.855454
2021-08-19,15.741818
2021-08-20,17.303637
2021-08-21,15.920908
2021-08-22,14.216364
2021-08-23,14.778182
2021-08-24,12.596363
2021-08-25,12.151818
2021-08-26,12.950909
2021-08-27,15.042726
2021-08-28,15.703635
2021-08-29,14.931818
2021-08-30,15.448182
2021-08-31,15.03909
2021-09-01,14.292728
2021-09-02,12.134545
2021-09-03,12.790909
2021-09-04,9.841817
2021-09-05,8.0936365
2021-09-06,9.388182
2021-09-07,13.228181
2021-09-08,14.649998
2021-09-09,16.855453
2021-09-10,17.127272
2021-09-11,16.781818
2021-09-12,16.656364
2021-09-13,15.542726
2021-09-14,12.314546
2021-09-15,11.826364
2021-09-16,11.625454
2021-09-17,11.95909
2021-09-18,8.766364
2021-09-19,6.6600003
2021-09-20,4.8681817
2021-09-21,6.4109087
2021-09-22,7.288182
2021-09-23,7.7172728
2021-09-24,10.074546
2021-09-25,11.733636
2021-09-26,11.808181
2021-09-27,9.517272
2021-09-28,9.243635
2021-09-29,9.978182
2021-09-30,8.637272
2021-10-01,9.591818
2021-10-02,10.342727
2021-10-03,11.918182
2021-10-04,11.553636
2021-10-05,12.650908
2021-10-06,12.324545
2021-10-07,8.576364
2021-10-08,5.0063634
2021-10-09,5.5427275
2021-10-10,6.3272724
2021-10-11,5.038182
2021-10-12,5.977272
2021-10-13,5.0136356
2021-10-14,5.2727275
2021-10-15,8.147273
2021-10-16,8.751818
2021-10-17,7.9518185
2021-10-18,6.2900004
2021-10-19,5.5354548
2021-10-20,10.596364
2021-10-21,13.377273
2021-10-22,8.594545
2021-10-23,6.114545
2021-10-24,4.2263637
2021-10-25,4.3390903
2021-10-26,4.8536363
2021-10-27,8.567273
2021-10-28,11.738181
2021-10-29,10.470908
2021-10-30,9.793635
2021-10-31,9.5
2021-11-01,6.879091
2021-11-02,4.8136363
2021-11-03,7.074545
2021-11-04,6.3981814
2021-11-05,8.295455
2021-11-06,6.923636
2021-11-07,6.6727266
2021-11-08,4.738182
2021-11-09,0.54818183
2021-11-10,2.8863637
2021-11-11,4.6463633
2021-11-12,5.288182
2021-11-13,2.7472727
2021-11-14,2.9945457
2021-11-15,1.0827272
2021-11-16,1.0690907
2021-11-17,1.4581817
2021-11-18,3.4463637
2021-11-19,6.179091
2021-11-20,7.11
