time,DEG0F
2021-01-01,-0.8310526
2021-01-02,-1.1221052
2021-01-03,-1.5605263
2021-01-04,-1.1789473
2021-01-05,0.9163158
2021-01-06,0.908421
2021-01-07,-1.3000001
2021-01-08,-1.8421053
2021-01-09,-2.4805262
2021-01-10,-3.863158
2021-01-11,-2.136842
2021-01-12,-2.5163157
2021-01-13,-2.0221052
2021-01-14,-4.1115785
2021-01-15,-11.109473
2021-01-16,-14.392106
2021-01-17,-19.446842
2021-01-18,-14.208947
2021-01-19,-12.710526
2021-01-20,-9.759473
2021-01-21,0.1742105
2021-01-22,3.166842
2021-01-23,0.9563157
2021-01-24,1.1605263
2021-01-25,-0.77
2021-01-26,-0.5589474
2021-01-27,-0.82842106
2021-01-28,-2.153158
2021-01-29,-3.4294734
2021-01-30,-3.94
2021-01-31,-3.2842107
2021-02-01,-5.998421
2021-02-02,-5.2684207
2021-02-03,-1.7278948
2021-02-04,-5.59421
2021-02-05,-9.667895
2021-02-06,-14.372631
2021-02-07,-17.317368
2021-02-08,-14.176314
2021-02-09,-10.5042095
2021-02-10,-13.054211
2021-02-11,-13.031578
2021-02-12,-14.553157
2021-02-13,-8.987369
2021-02-14,-3.8378947
2021-02-15,-7.8547363
2021-02-16,-6.819474
2021-02-17,-7.643158
2021-02-18,-14.648947
2021-02-19,-12.698947
2021-02-20,-3.5331573
2021-02-21,2.0826316
2021-02-22,2.9884212
2021-02-23,1.5084211
2021-02-24,4.107368
2021-02-25,5.8973684
2021-02-26,4.786316
2021-02-27,2.3973684
2021-02-28,2.0573685
2021-03-01,2.6552632
2021-03-02,4.0200005
2021-03-03,1.8263156
2021-03-04,1.1910527
2021-03-05,-1.5436842
2021-03-06,-1.7478946
2021-03-07,0.31210527
2021-03-08,-2.5663157
2021-03-09,-3.208947
2021-03-10,-1.6489474
2021-03-11,-1.9278946
2021-03-12,2.4415789
2021-03-13,3.1326313
2021-03-14,3.5426314
2021-03-15,2.3589473
2021-03-16,1.4073684
2021-03-17,0.16421051
2021-03-18,-0.18473685
2021-03-19,-2.4763157
2021-03-20,-3.6942108
2021-03-21,-0.1905263
2021-03-22,0.4310526
2021-03-23,1.348421
2021-03-24,3.1036842
2021-03-25,5.023684
2021-03-26,5.4536843
2021-03-27,7.3263154
2021-03-28,5.6168423
2021-03-29,4.655263
2021-03-30,7.9589477
2021-03-31,9.378947
2021-04-01,6.5489473
2021-04-02,3.6684208
2021-04-03,3.2689474
2021-04-04,3.328947
2021-04-05,4.7563157
2021-04-06,2.7415788
2021-04-07,2.1426315
2021-04-08,3.2147365
2021-04-09,4.287368
2021-04-10,6.6752634
2021-04-11,9.676842
2021-04-12,12.4
2021-04-13,6.4531574
2021-04-14,4.5
2021-04-15,6.7947373
2021-04-16,8.815264
2021-04-17,11.231052
2021-04-18,11.606842
2021-04-19,11.254737
2021-04-20,10.021053
2021-04-21,9.604736
2021-04-22,6.9089475
2021-04-23,4.0378947
2021-04-24,3.517368
2021-04-25,3.0957894
2021-04-26,2.8768418
