time,DEG0G
2021-01-01,-0.85555553
2021-01-02,-0.4122222
2021-01-03,-0.5544445
2021-01-04,-1.1244444
2021-01-05,0.83555555
2021-01-06,1.4955556
2021-01-07,-0.05888888
2021-01-08,-0.15777777
2021-01-09,-1.8455557
2021-01-10,-2.2755556
2021-01-11,0.10333332
2021-01-12,-0.88222224
2021-01-13,-1.4633334
2021-01-14,-3.2966664
2021-01-15,-8.522222
2021-01-16,-8.884444
2021-01-17,-15.0199995
2021-01-18,-9.917777
2021-01-19,-8.236667
2021-01-20,-5.9099994
2021-01-21,2.4955554
2021-01-22,4.2833333
2021-01-23,2.4788888
2021-01-24,2.278889
2021-01-25,0.6588889
2021-01-26,0.5633333
2021-01-27,0.01888889
2021-01-28,-0.8955556
2021-01-29,-2.503333
2021-01-30,-2.4711108
2021-01-31,-2.5544446
2021-02-01,-3.2833333
2021-02-02,-3.483333
2021-02-03,-1.5055555
2021-02-04,-5.0355554
2021-02-05,-8.44
2021-02-06,-12.693333
2021-02-07,-13.926666
2021-02-08,-12.833333
2021-02-09,-9.344444
2021-02-10,-12.05
2021-02-11,-11.674443
2021-02-12,-10.612222
2021-02-13,-3.2055554
2021-02-14,-0.5711111
2021-02-15,-4.3999996
2021-02-16,-4.226667
2021-02-17,-5.866667
2021-02-18,-11.718889
2021-02-19,-7.3399997
2021-02-20,-0.8144444
2021-02-21,3.0288887
2021-02-22,2.8122222
2021-02-23,2.441111
2021-02-24,4.724445
2021-02-25,6.884444
2021-02-26,4.9422216
2021-02-27,3.43
2021-02-28,3.1544445
2021-03-01,2.6955557
2021-03-02,3.9122221
2021-03-03,1.1844444
2021-03-04,1.3766665
2021-03-05,-1.0411111
2021-03-06,0.0211111
2021-03-07,1.2144444
2021-03-08,-1.3022223
2021-03-09,-1.8499999
2021-03-10,-0.13555557
2021-03-11,-0.35333332
2021-03-12,3.5244443
2021-03-13,3.872222
2021-03-14,3.6633334
2021-03-15,3.1366665
2021-03-16,2.6733332
2021-03-17,0.6577778
2021-03-18,0.69777775
2021-03-19,-1.5722222
2021-03-20,-2.1344442
2021-03-21,2.2066667
2021-03-22,2.3544443
2021-03-23,4.071111
2021-03-24,4.1144443
2021-03-25,5.7822223
2021-03-26,5.5844445
