time,DEG0H
2021-01-01,-1.278
2021-01-02,-1.1110001
2021-01-03,-0.978
2021-01-04,-0.93500006
2021-01-05,1.167
2021-01-06,1.209
2021-01-07,-0.81799996
2021-01-08,-1.129
2021-01-09,-2.2469997
2021-01-10,-3.418
2021-01-11,-1.9749998
2021-01-12,-2.5180001
2021-01-13,-1.779
2021-01-14,-4.2579994
2021-01-15,-10.327
2021-01-16,-13.301
2021-01-17,-18.886
2021-01-18,-15.873998
2021-01-19,-12.668
2021-01-20,-8.542999
2021-01-21,0.17999999
2021-01-22,3.296
2021-01-23,1.42
2021-01-24,1.6520001
2021-01-25,-0.788
2021-01-26,-0.49400002
2021-01-27,-1.132
2021-01-28,-2.3419998
2021-01-29,-4.021
2021-01-30,-4.07
2021-01-31,-3.7329998
2021-02-01,-6.325
2021-02-02,-5.1039996
2021-02-03,-1.459
2021-02-04,-4.358
2021-02-05,-9.107
2021-02-06,-12.878
2021-02-07,-17.392
2021-02-08,-13.708
2021-02-09,-10.284
2021-02-10,-13.061999
2021-02-11,-12.792
2021-02-12,-13.553999
2021-02-13,-7.94
2021-02-14,-3.138
2021-02-15,-6.729
2021-02-16,-5.653
2021-02-17,-6.7209997
2021-02-18,-12.514
2021-02-19,-10.82
2021-02-20,-2.485
2021-02-21,1.6830002
2021-02-22,2.6139998
2021-02-23,1.124
2021-02-24,5.0669994
2021-02-25,6.166
2021-02-26,5.095
2021-02-27,2.801
2021-02-28,2.138
2021-03-01,2.4299998
2021-03-02,3.6430001
2021-03-03,1.474
2021-03-04,1.3139999
2021-03-05,-1.5040001
2021-03-06,-1.633
2021-03-07,0.427
2021-03-08,-2.366
2021-03-09,-3.7899997
2021-03-10,-2.641
2021-03-11,-2.016
2021-03-12,2.9119997
2021-03-13,3.024
2021-03-14,3.6109996
2021-03-15,2.576
2021-03-16,2.077
2021-03-17,0.74499995
2021-03-18,-0.0059999963
2021-03-19,-2.1069999
2021-03-20,-3.3499997
2021-03-21,-0.308
2021-03-22,0.5659999
2021-03-23,2.1840003
2021-03-24,2.9779997
2021-03-25,5.316
2021-03-26,6.1610003
2021-03-27,7.4909997
2021-03-28,5.8669996
2021-03-29,4.2079997
2021-03-30,8.393
2021-03-31,10.843
2021-04-01,7.519
2021-04-02,4.142
2021-04-03,3.5649998
2021-04-04,3.435
2021-04-05,4.891
2021-04-06,2.808
2021-04-07,1.9609998
2021-04-08,3.8130002
2021-04-09,4.5269995
2021-04-10,7.1399994
2021-04-11,10.611
2021-04-12,12.261999
2021-04-13,6.207
2021-04-14,3.9579997
2021-04-15,6.233
2021-04-16,8.150999
2021-04-17,10.783
2021-04-18,11.235001
2021-04-19,11.009999
2021-04-20,9.911
2021-04-21,9.729
2021-04-22,7.067
2021-04-23,3.9580002
2021-04-24,3.704
2021-04-25,3.0899997
2021-04-26,2.0619998
2021-04-27,3.553
2021-04-28,5.3849998
2021-04-29,9.264999
2021-04-30,10.205
2021-05-01,6.9799995
2021-05-02,7.893
2021-05-03,4.4760003
2021-05-04,6.9829993
2021-05-05,11.607
2021-05-06,8.675
2021-05-07,6.224
2021-05-08,6.121
2021-05-09,8.018
2021-05-10,16.074
2021-05-11,18.254
2021-05-12,17.845
2021-05-13,12.856999
2021-05-14,13.153999
2021-05-15,12.358999
2021-05-16,13.152
2021-05-17,14.927
2021-05-18,13.754999
2021-05-19,12.080999
2021-05-20,11.711
2021-05-21,11.267
2021-05-22,12.859999
2021-05-23,11.962
2021-05-24,11.943
2021-05-25,13.8949995
2021-05-26,12.594999
2021-05-27,13.2039995
2021-05-28,11.498
2021-05-29,11.031
2021-05-30,12.312999
2021-05-31,12.445
2021-06-01,13.136999
2021-06-02,15.269999
2021-06-03,16.925001
2021-06-04,17.064
2021-06-05,17.274
2021-06-06,16.831999
2021-06-07,18.603998
2021-06-08,18.786001
2021-06-09,18.087002
2021-06-10,18.413998
2021-06-11,18.185
2021-06-12,17.759998
2021-06-13,15.465001
2021-06-14,15.361
2021-06-15,16.364
2021-06-16,15.358999
2021-06-17,17.700998
2021-06-18,20.546999
2021-06-19,23.153002
2021-06-20,24.026001
2021-06-21,25.944
2021-06-22,25.035
2021-06-23,24.385998
2021-06-24,21.609
2021-06-25,21.639
2021-06-26,19.32
2021-06-27,18.390999
