time,DEG0I
2021-01-01,-0.7144444
2021-01-02,-1.0272222
2021-01-03,-1.6377778
2021-01-04,-1.5538888
2021-01-05,0.33222225
2021-01-06,-0.27166665
2021-01-07,-1.4494443
2021-01-08,-2.4433336
2021-01-09,-3.5049999
2021-01-10,-4.3511105
2021-01-11,-2.4905555
2021-01-12,-2.0077777
2021-01-13,-1.7605555
2021-01-14,-5.8677773
2021-01-15,-13.606112
2021-01-16,-17.09
2021-01-17,-20.294443
2021-01-18,-12.943889
2021-01-19,-11.473332
2021-01-20,-9.719444
2021-01-21,-0.25055555
2021-01-22,2.3044443
2021-01-23,0.8527778
2021-01-24,1.5
2021-01-25,0.04333333
2021-01-26,-0.29833332
2021-01-27,-0.0049999985
2021-01-28,-2.035
2021-01-29,-2.876111
2021-01-30,-3.0227776
2021-01-31,-3.1488886
2021-02-01,-4.9294443
2021-02-02,-5.4111114
2021-02-03,-2.9827778
2021-02-04,-7.1666665
2021-02-05,-10.589443
2021-02-06,-15.931111
2021-02-07,-16.930555
2021-02-08,-15.07111
2021-02-09,-10.1044445
2021-02-10,-12.751111
2021-02-11,-14.053888
2021-02-12,-14.946666
2021-02-13,-8.994444
2021-02-14,-4.176111
2021-02-15,-9.414999
2021-02-16,-7.5555553
2021-02-17,-9.480556
2021-02-18,-16.310555
2021-02-19,-13.845555
2021-02-20,-5.125555
2021-02-21,1.8588889
2021-02-22,1.6944444
2021-02-23,1.3322222
2021-02-24,2.8333333
2021-02-25,5.7250004
2021-02-26,4.291111
2021-02-27,2.1938887
2021-02-28,2.0883334
2021-03-01,2.7544441
2021-03-02,3.8638887
2021-03-03,1.7416667
2021-03-04,0.61944443
2021-03-05,-2.2033334
2021-03-06,-2.0066667
2021-03-07,-0.6166666
2021-03-08,-4.1549997
2021-03-09,-4.592222
2021-03-10,-2.2188888
2021-03-11,-2.2794445
2021-03-12,1.7333332
2021-03-13,2.9166667
2021-03-14,3.5161111
2021-03-15,2.419444
2021-03-16,1.5761112
2021-03-17,-0.22777778
2021-03-18,-0.20333332
2021-03-19,-2.8794444
2021-03-20,-3.7194443
2021-03-21,-0.1038889
2021-03-22,0.25555554
2021-03-23,0.5655556
2021-03-24,3.195
2021-03-25,4.875
2021-03-26,5.3483334
2021-03-27,7.033333
2021-03-28,5.6355553
2021-03-29,5.1538887
2021-03-30,8.215
2021-03-31,8.412777
2021-04-01,5.3194447
2021-04-02,3.0216665
2021-04-03,2.7655554
2021-04-04,3.0861108
2021-04-05,4.2955556
2021-04-06,2.237222
2021-04-07,1.9461111
2021-04-08,2.6488888
2021-04-09,4.1711106
2021-04-10,5.736111
2021-04-11,8.301111
2021-04-12,12.967221
2021-04-13,6.5333333
2021-04-14,5.013889
2021-04-15,7.2772217
2021-04-16,9.600555
2021-04-17,12.134999
2021-04-18,11.921111
2021-04-19,11.040555
2021-04-20,9.981667
2021-04-21,9.610555
2021-04-22,6.7755556
2021-04-23,3.835555
2021-04-24,3.159444
2021-04-25,2.8422222
2021-04-26,3.2027776
2021-04-27,3.7349997
2021-04-28,4.855555
2021-04-29,7.9750004
2021-04-30,7.318333
2021-05-01,6.5777774
2021-05-02,6.9722223
2021-05-03,3.5655556
2021-05-04,6.2977777
2021-05-05,9.496111
2021-05-06,7.207222
2021-05-07,7.233333
2021-05-08,5.4094443
2021-05-09,7.671111
2021-05-10,16.316666
2021-05-11,17.42
2021-05-12,17.274445
2021-05-13,12.831112
2021-05-14,11.545
2021-05-15,13.321667
2021-05-16,13.976111
2021-05-17,14.236668
2021-05-18,12.481667
2021-05-19,11.391666
2021-05-20,10.505
2021-05-21,10.361667
2021-05-22,13.138332
2021-05-23,11.2283325
2021-05-24,11.441666
2021-05-25,13.135555
2021-05-26,11.542777
2021-05-27,11.856667
2021-05-28,12.261666
2021-05-29,11.493333
2021-05-30,11.609445
2021-05-31,11.848332
2021-06-01,13.127777
2021-06-02,15.1455555
2021-06-03,16.157778
2021-06-04,17.337776
2021-06-05,17.587223
2021-06-06,17.47611
2021-06-07,19.02611
2021-06-08,18.029444
2021-06-09,17.78611
2021-06-10,17.76389
2021-06-11,18.375
2021-06-12,17.392221
2021-06-13,14.792779
2021-06-14,15.41389
2021-06-15,16.647776
2021-06-16,15.717222
2021-06-17,17.879444
2021-06-18,20.957777
2021-06-19,23.32389
2021-06-20,24.484444
2021-06-21,25.361666
2021-06-22,25.390001
2021-06-23,24.945
2021-06-24,21.837221
2021-06-25,20.989445
2021-06-26,20.190556
2021-06-27,18.745554
2021-06-28,19.576668
2021-06-29,19.474443
2021-06-30,20.955557
2021-07-01,23.010555
2021-07-02,21.205557
2021-07-03,19.247223
2021-07-04,21.32611
2021-07-05,20.862223
2021-07-06,22.137777
2021-07-07,23.879444
2021-07-08,23.925
2021-07-09,25.025
2021-07-10,24.784998
2021-07-11,22.345001
2021-07-12,24.128334
2021-07-13,24.524445
2021-07-14,22.937222
2021-07-15,24.949999
2021-07-16,25.500555
2021-07-17,23.586111
2021-07-18,22.664442
2021-07-19,19.57111
2021-07-20,18.475555
2021-07-21,18.033333
2021-07-22,17.83
2021-07-23,18.498888
2021-07-24,17.553333
2021-07-25,19.679443
2021-07-26,22.92611
2021-07-27,21.568333
2021-07-28,21.867777
2021-07-29,21.032223
2021-07-30,19.21889
2021-07-31,20.037224
2021-08-01,19.331667
2021-08-02,16.505556
2021-08-03,15.826667
2021-08-04,15.634443
2021-08-05,16.203331
2021-08-06,15.562778
2021-08-07,17.329445
2021-08-08,18.102776
2021-08-09,17.598331
2021-08-10,17.23611
2021-08-11,16.599998
2021-08-12,16.44889
2021-08-13,18.006666
2021-08-14,19.011665
2021-08-15,17.689999
2021-08-16,18.357779
2021-08-17,17.197222
2021-08-18,14.559444
2021-08-19,15.328334
2021-08-20,16.068888
2021-08-21,14.983889
2021-08-22,13.62611
2021-08-23,13.583333
2021-08-24,11.620556
2021-08-25,11.62389
2021-08-26,13.1016655
2021-08-27,15.234445
2021-08-28,16.529444
2021-08-29,15.464443
2021-08-30,15.424999
2021-08-31,14.526112
2021-09-01,13.567223
2021-09-02,11.615557
2021-09-03,12.283334
2021-09-04,9.024444
2021-09-05,8.038889
2021-09-06,10.186666
2021-09-07,13.863888
2021-09-08,15.764999
2021-09-09,17.913334
2021-09-10,16.969444
2021-09-11,16.95111
2021-09-12,16.76
2021-09-13,14.845554
2021-09-14,11.218333
2021-09-15,9.746667
2021-09-16,9.514999
2021-09-17,10.212777
2021-09-18,8.381111
2021-09-19,6.8938885
2021-09-20,5.5855556
2021-09-21,6.1061115
2021-09-22,6.9344444
2021-09-23,7.616111
2021-09-24,9.777223
2021-09-25,11.429999
2021-09-26,10.510555
2021-09-27,8.911111
2021-09-28,9.314445
2021-09-29,9.649444
2021-09-30,9.017222
2021-10-01,9.222222
2021-10-02,9.948888
2021-10-03,11.149445
2021-10-04,11.446667
2021-10-05,11.815556
2021-10-06,11.792223
2021-10-07,8.124445
2021-10-08,4.786111
2021-10-09,5.3794446
2021-10-10,6.832222
2021-10-11,5.2744446
2021-10-12,5.695555
2021-10-13,5.646666
2021-10-14,5.7227774
2021-10-15,7.7199993
2021-10-16,7.963333
2021-10-17,7.7394443
2021-10-18,5.3977776
2021-10-19,4.5805554
2021-10-20,9.523334
2021-10-21,13.085
2021-10-22,7.274999
2021-10-23,5.136667
2021-10-24,3.1444445
2021-10-25,4.895
2021-10-26,5.1694446
2021-10-27,8.547778
2021-10-28,11.753333
2021-10-29,9.944445
2021-10-30,8.873889
2021-10-31,8.556666
2021-11-01,6.695555
2021-11-02,5.081111
2021-11-03,6.7805552
2021-11-04,6.7377777
2021-11-05,7.8994436
2021-11-06,6.0561113
2021-11-07,6.71
2021-11-08,4.118889
2021-11-09,-0.082777776
2021-11-10,3.7444441
2021-11-11,6.1038885
2021-11-12,5.3566666
2021-11-13,1.9544444
2021-11-14,2.047778
2021-11-15,-1.1405555
2021-11-16,1.0033333
2021-11-17,2.1894445
2021-11-18,3.9394445
2021-11-19,5.517222
2021-11-20,6.0672216
2021-11-21,3.7149997
2021-11-22,-1.7488887
2021-11-23,-0.7494444
2021-11-24,3.1000001
2021-11-25,4.3544445
2021-11-26,2.996667
2021-11-27,0.9266667
2021-11-28,0.1511111
2021-11-29,-0.50777775
2021-11-30,-2.5338888
2021-12-01,-3.1172223
2021-12-02,-0.0072222287
2021-12-03,-1.3788888
2021-12-04,-2.8005552
2021-12-05,-5.998333
2021-12-06,-12.587221
2021-12-07,-14.400557
2021-12-08,-14.652778
2021-12-09,-12.250554
2021-12-10,-2.0877776
2021-12-11,1.7177777
2021-12-12,0.55888885
2021-12-13,-1.5066667
2021-12-14,-1.2900001
2021-12-15,1.5338888
2021-12-16,3.6299999
2021-12-17,2.567222
2021-12-18,2.2749999
2021-12-19,1.9294444
2021-12-20,-4.6566668
2021-12-21,-9.634999
2021-12-22,-10.847222
2021-12-23,-8.123333
2021-12-24,-4.500555
2021-12-25,-5.8827777
2021-12-26,-5.8727775
2021-12-27,-4.991111
2021-12-28,-8.983334
2021-12-29,-9.53
2021-12-30,-6.3133335
2021-12-31,1.2316667
