time,DEG0J
2021-01-01,-1.4721054
2021-01-02,-1.1873684
2021-01-03,-1.5457894
2021-01-04,-1.6405262
2021-01-05,0.2263158
2021-01-06,0.18368421
2021-01-07,-1.5852631
2021-01-08,-2.1942105
2021-01-09,-3.2557895
2021-01-10,-4.118421
2021-01-11,-1.863158
2021-01-12,-2.3373685
2021-01-13,-2.0094738
2021-01-14,-4.5926313
2021-01-15,-11.792105
2021-01-16,-14.124209
2021-01-17,-19.248947
2021-01-18,-12.227895
2021-01-19,-10.45
2021-01-20,-9.204211
2021-01-21,0.55
2021-01-22,2.9205263
2021-01-23,0.6378947
2021-01-24,1.2505262
2021-01-25,-0.6452632
2021-01-26,-0.6363158
2021-01-27,-0.70947367
2021-01-28,-2.3747368
2021-01-29,-3.3994734
2021-01-30,-3.7247367
2021-01-31,-3.4952633
2021-02-01,-5.417895
2021-02-02,-5.309474
2021-02-03,-2.7489474
2021-02-04,-6.7715793
2021-02-05,-10.554211
2021-02-06,-14.59579
2021-02-07,-15.581578
2021-02-08,-14.939472
2021-02-09,-10.215789
2021-02-10,-12.9642105
2021-02-11,-13.291053
2021-02-12,-13.436841
2021-02-13,-6.325789
2021-02-14,-3.4426317
2021-02-15,-8.103684
2021-02-16,-6.5405264
2021-02-17,-8.252105
2021-02-18,-15.521578
2021-02-19,-12.268421
2021-02-20,-3.4242103
2021-02-21,2.3610525
2021-02-22,2.0105262
2021-02-23,1.4863157
2021-02-24,3.2710526
2021-02-25,5.9689474
2021-02-26,4.5321054
2021-02-27,2.598421
2021-02-28,2.4263158
2021-03-01,2.6994736
2021-03-02,3.696842
2021-03-03,1.4894737
2021-03-04,0.56526315
2021-03-05,-2.231579
2021-03-06,-1.6363157
2021-03-07,-0.09052632
2021-03-08,-3.422105
2021-03-09,-3.203158
2021-03-10,-1.4773684
2021-03-11,-1.8478948
2021-03-12,2.2773683
2021-03-13,2.4894736
2021-03-14,3.1863155
2021-03-15,2.2857895
2021-03-16,1.4515789
2021-03-17,-0.29578948
2021-03-18,-0.2905263
2021-03-19,-2.8347368
2021-03-20,-3.6868422
2021-03-21,0.29
2021-03-22,0.64842105
2021-03-23,1.8352631
2021-03-24,2.8731577
2021-03-25,4.938947
2021-03-26,5.313684
2021-03-27,7.59421
2021-03-28,5.196316
2021-03-29,4.9368424
2021-03-30,7.9199996
2021-03-31,8.0236845
2021-04-01,5.2568417
2021-04-02,3.0257893
2021-04-03,2.6926315
2021-04-04,3.208421
2021-04-05,3.559474
2021-04-06,2.2652633
2021-04-07,2.026842
2021-04-08,3.098421
2021-04-09,4.272105
2021-04-10,5.5368414
2021-04-11,7.132106
2021-04-12,11.406315
2021-04-13,5.598421
2021-04-14,4.1957893
2021-04-15,6.686842
2021-04-16,8.605263
2021-04-17,11.040001
2021-04-18,11.292105
2021-04-19,11.250526
2021-04-20,9.53842
2021-04-21,9.162631
2021-04-22,5.615789
2021-04-23,3.2005265
2021-04-24,3.0721052
2021-04-25,2.34
2021-04-26,2.7894738
2021-04-27,3.3410525
2021-04-28,4.5310526
2021-04-29,7.7821054
2021-04-30,7.0736837
2021-05-01,6.2200003
2021-05-02,6.138421
2021-05-03,4.022105
2021-05-04,6.4068418
2021-05-05,9.484736
2021-05-06,7.028421
2021-05-07,6.4947367
2021-05-08,5.518421
2021-05-09,8.024736
2021-05-10,16.398947
2021-05-11,18.037369
2021-05-12,18.203157
2021-05-13,13.515262
2021-05-14,11.613157
2021-05-15,12.127894
2021-05-16,13.443684
2021-05-17,13.942106
2021-05-18,12.12
2021-05-19,12.066315
2021-05-20,11.105788
2021-05-21,10.633158
2021-05-22,12.98421
2021-05-23,11.308421
2021-05-24,11.694737
2021-05-25,13.48
2021-05-26,11.537368
2021-05-27,11.848421
2021-05-28,11.35421
2021-05-29,10.769473
2021-05-30,11.701052
2021-05-31,12.159473
